Slovo;Pád;Slovo2;Pád2
kapitola;nominatív;kapitola;nominatív
Zmeravela;;Zmeravela;
som;;som;
keď;;keď;
na;;na;
druhý;nominatív;druhý;akuzatív
deň;nominatív;deň;akuzatív
meškal;;meškal;
celých;genitív;celých;akuzatív
desať;nominatív;desať;akuzatív
minút;genitív;minút;genitív
na;;na;
hodinu;akuzatív;hodinu;akuzatív
astronómie;nominatív;astronómie;genitív
Trúfa;;Trúfa;
si;datív;si;
pošepla;;pošepla;
som;;som;
Mlčky;;Mlčky;
ho;;ho;akuzatív
sledovala;;sledovala;
celá;nominatív;celá;nominatív
trieda;nominatív;trieda;nominatív
Vtom;;Vtom;
si;datív;si;
všimol;;všimol;
model;nominatív;model;akuzatív
vesmíru;genitív;vesmíru;genitív
ktorý;nominatív;ktorý;akuzatív
učiteľ;nominatív;učiteľ;nominatív
vytiahol;;vytiahol;
na;;na;
ukážku;akuzatív;ukážku;akuzatív
chytil;;chytil;
sa;akuzatív;sa;
za;genitív;za;
srdce;nominatív;srdce;akuzatív
a;nominatív;a;
predstieral;;predstieral;
že;;že;
padá;;padá;
dozadu;;dozadu;
V;;V;
poslednej;genitív;poslednej;lokál
chvíli;datív;chvíli;lokál
sa;akuzatív;sa;
chytil;;chytil;
zárubne;nominatív;zárubne;genitív
Zastavte;;Zastavte;
svet;nominatív;svet;akuzatív
nech;;nech;
sa;akuzatív;sa;
prestane;;prestane;
krútiť;;krútiť;
zvolal;;zvolal;
Fajn;nominatív;Fajn;
odvetil;;odvetil;
ale;;ale;
keď;;keď;
prechádzal;;prechádzal;
okolo;;okolo;
modelu;genitív;modelu;genitív
rozkrútil;;rozkrútil;
prstence;nominatív;prstence;akuzatív
Zatiaľ;;Zatiaľ;
čo;nominatív;čo;
sa;akuzatív;sa;
profesora;genitív;profesora;genitív
na;;na;
všeličo;nominatív;všeličo;akuzatív
vypytoval;;vypytoval;
si;datív;si;
pedantne;;pedantne;
zapisoval;;zapisoval;
každé;nominatív;každé;akuzatív
jeho;nominatív;jeho;akuzatív
slovo;nominatív;slovo;akuzatív
Pokiaľ;;Pokiaľ;
išlo;;išlo;
o;;o;
poznámky;nominatív;poznámky;akuzatív
bol;genitív;bol;
takpovediac;;takpovediac;
profesionál;nominatív;profesionál;nominatív
Mal;;Mal;
ohromnú;akuzatív;ohromnú;akuzatív
prax;nominatív;prax;akuzatív
zo;;zo;
školských;genitív;školských;genitív
novín;genitív;novín;genitív
Hrom;nominatív;Hrom;nominatív
Pán;nominatív;Pán;nominatív
povedal;;povedal;
profesor;nominatív;profesor;nominatív
a;nominatív;a;
kývol;;kývol;
rukou;inštrumentál;rukou;inštrumentál
si;datív;si;
že;;že;
som;;som;
lístok;nominatív;lístok;akuzatív
ktorý;nominatív;ktorý;akuzatív
ste;lokál;ste;
dali;;dali;
pred;akuzatív;pred;
chvíľou;inštrumentál;chvíľou;inštrumentál
slečne;datív;slečne;datív
Hotová;nominatív;Hotová;nominatív
čierna;;čierna;nominatív
mora;nominatív;mora;nominatív
To;nominatív;To;nominatív
je;;je;
legálne;;legálne;nominatív
vykríkol;;vykríkol;
ktosi;nominatív;ktosi;nominatív
a;nominatív;a;
všetci;nominatív;všetci;nominatív
sa;akuzatív;sa;
pustili;;pustili;
do;;do;
rehotu;genitív;rehotu;genitív
Je;;Je;
to;nominatív;to;nominatív
tradícia;nominatív;tradícia;nominatív
som;;som;
naňho;akuzatív;naňho;akuzatív
pozrieť;;pozrieť;
Jeho;nominatív;Jeho;nominatív
monotónny;nominatív;monotónny;nominatív
hlas;nominatív;hlas;nominatív
mi;datív;mi;datív
pripadal;;pripadal;
znesiteľný;nominatív;znesiteľný;nominatív
až;;až;
dovčera;;dovčera;
keď;;keď;
povedal;;povedal;
že;;že;
mu;datív;mu;datív
chýba;;chýba;
iskra;nominatív;iskra;nominatív
Usilujem;;Usilujem;
sa;akuzatív;sa;
počúvať;;počúvať;
ale;;ale;
myslím;;myslím;
pritom;;pritom;
na;;na;
Podchvíľou;;Podchvíľou;
naňho;akuzatív;naňho;akuzatív
ukradomky;;ukradomky;
pozriem;;pozriem;
bez;genitív;bez;
toho;genitív;toho;genitív
aby;;aby;
som;;som;
pohla;;pohla;
hlavou;inštrumentál;hlavou;inštrumentál
Zrazu;;Zrazu;
stratil;;stratil;
prehľad;nominatív;prehľad;akuzatív
kde;;kde;
je;;je;
ale;;ale;
v;akuzatív;v;
triede;datív;triede;lokál
bolo;;bolo;
ticho;nominatív;ticho;nominatív
Snažili;;Snažili;
sa;akuzatív;sa;
zachytiť;;zachytiť;
každučké;nominatív;každučké;akuzatív
jeho;nominatív;jeho;akuzatív
slovo;nominatív;slovo;akuzatív
Iba;;Iba;
my;nominatív;my;nominatív
s;nominatív;s;
sme;;sme;
tak;;tak;
zúrivo;;zúrivo;
a;nominatív;a;
sa;akuzatív;sa;
nad;akuzatív;nad;
lavicami;inštrumentál;lavicami;inštrumentál
Ak;;Ak;
mám;;mám;
byť;;byť;
úprimná;nominatív;úprimná;nominatív
ešte;;ešte;
včera;;včera;
by;;by;
som;;som;
odušu;;odušu;
písala;;písala;
ako;;ako;
ostatní;nominatív;ostatní;nominatív
spolužiaci;nominatív;spolužiaci;nominatív
sa;akuzatív;sa;
obrátil;;obrátil;
a;nominatív;a;
zbadal;;zbadal;
že;;že;
naňho;akuzatív;naňho;akuzatív
pozerám;;pozerám;
akoby;;akoby;
mi;datív;mi;datív
čítal;;čítal;
myšlienky;nominatív;myšlienky;akuzatív
Asi;;Asi;
mal;;mal;
na;;na;
mysli;;mysli;lokál
ten;nominatív;ten;akuzatív
lístok;nominatív;lístok;akuzatív
Začervenala;;Začervenala;
som;;som;
sa;akuzatív;sa;
ale;;ale;
s;nominatív;s;
úsmevom;datív;úsmevom;inštrumentál
som;;som;
pokrčila;;pokrčila;
plecami;inštrumentál;plecami;inštrumentál
Škoda;nominatív;Škoda;
že;;že;
je;;je;
taký;nominatív;taký;nominatív
nezáživný;nominatív;nezáživný;nominatív
profesor;nominatív;profesor;nominatív
pretože;;pretože;
astronómia;nominatív;astronómia;nominatív
ktorú;akuzatív;ktorú;akuzatív
sme;;sme;
tento;nominatív;tento;akuzatív
týždeň;nominatív;týždeň;akuzatív
preberali;;preberali;
mi;datív;mi;datív
pripadala;;pripadala;
nesmierne;;nesmierne;
zaujímavá;nominatív;zaujímavá;nominatív
Teraz;;Teraz;
som;;som;
však;;však;
pocítila;;pocítila;
akúsi;akuzatív;akúsi;akuzatív
neznámu;akuzatív;neznámu;akuzatív
magnetickú;akuzatív;magnetickú;akuzatív
silu;akuzatív;silu;akuzatív
sa;akuzatív;sa;
mi;datív;mi;datív
že;;že;
veštia;;veštia;
nejaké;nominatív;nejaké;akuzatív
zásadné;nominatív;zásadné;akuzatív
zmeny;nominatív;zmeny;akuzatív
Prekvapil;;Prekvapil;
ma;genitív;ma;akuzatív
pokus;nominatív;pokus;nominatív
o;;o;
humor;nominatív;humor;akuzatív
Keď;;Keď;
povedal;;povedal;
slovo;nominatív;slovo;akuzatív
dvojica;nominatív;dvojica;nominatív
sa;akuzatív;sa;
otočil;;otočil;
a;nominatív;a;
spýtavo;;spýtavo;
na;;na;
mňa;genitív;mňa;akuzatív
pozrel;;pozrel;
pričom;;pričom;
nadvihol;;nadvihol;
obočie;nominatív;obočie;akuzatív
Prikývla;;Prikývla;
som;;som;
Vzápätí;;Vzápätí;
som;;som;
to;nominatív;to;akuzatív
však;;však;
oľutovala;;oľutovala;
Spomenula;;Spomenula;
som;;som;
si;datív;si;
na;;na;
Mala;;Mala;
by;;by;
si;datív;si;
sa;akuzatív;sa;
dať;;dať;
dokopy;;dokopy;
s;nominatív;s;
radila;;radila;
som;;som;
jej;nominatív;jej;datív
šeptom;;šeptom;
pokrútila;;pokrútila;
hlavou;inštrumentál;hlavou;inštrumentál
Vyspevovali;;Vyspevovali;
sme;;sme;
odrhovačky;nominatív;odrhovačky;akuzatív
občas;;občas;
sme;;sme;
lúštili;;lúštili;
krížovky;nominatív;krížovky;akuzatív
alebo;;alebo;
sa;akuzatív;sa;
hrali;;hrali;
slovné;nominatív;slovné;akuzatív
hry;nominatív;hry;akuzatív
dobre;;dobre;
vedela;;vedela;
že;;že;
mama;nominatív;mama;nominatív
by;;by;
ma;genitív;ma;akuzatív
pustila;;pustila;
Uvítala;;Uvítala;
každú;akuzatív;každú;akuzatív
príležitosť;nominatív;príležitosť;akuzatív
aby;;aby;
som;;som;
vypadla;;vypadla;
z;nominatív;z;
mesta;genitív;mesta;genitív
na;;na;
čerstvý;nominatív;čerstvý;akuzatív
vzduch;nominatív;vzduch;akuzatív
Tento;nominatív;Tento;akuzatív
víkend;nominatív;víkend;akuzatív
ostanem;;ostanem;
doma;;doma;
Chcem;;Chcem;
dokončiť;;dokončiť;
prácu;akuzatív;prácu;akuzatív
z;nominatív;z;
angličtiny;nominatív;angličtiny;genitív
kapitola;nominatív;kapitola;nominatív
S;;S;
Rýchlikom;datív;Rýchlikom;inštrumentál
povedal;;povedal;
Tá;nominatív;Tá;nominatív
prezývka;nominatív;prezývka;nominatív
mu;datív;mu;datív
prischla;;prischla;
preto;;preto;
lebo;;lebo;
sa;akuzatív;sa;
v;akuzatív;v;
bazéne;lokál;bazéne;lokál
rútil;;rútil;
ako;;ako;
rýchlik;nominatív;rýchlik;nominatív
To;nominatív;To;
nič;nominatív;nič;
odvetila;;odvetila;
som;;som;
ale;;ale;
pripúšťam;;pripúšťam;
že;;že;
som;;som;
bola;nominatív;bola;
sklamaná;nominatív;sklamaná;nominatív
Keď;;Keď;
otvorila;;otvorila;
dvere;nominatív;dvere;akuzatív
sprisahanecky;;sprisahanecky;
ma;genitív;ma;akuzatív
objal;;objal;
okolo;;okolo;
pliec;genitív;pliec;genitív
a;nominatív;a;
vliezol;;vliezol;
na;;na;
zadné;nominatív;zadné;akuzatív
sedadlo;nominatív;sedadlo;akuzatív
od;genitív;od;
nej;genitív;nej;genitív
nič;nominatív;nič;akuzatív
zašepkal;;zašepkal;
Smiala;;Smiala;
som;;som;
sa;akuzatív;sa;
akoby;;akoby;
sme;;sme;
boli;;boli;
len;;len;
kamoši;nominatív;kamoši;nominatív
ale;;ale;
keď;;keď;
som;;som;
si;datív;si;
sadla;genitív;sadla;
do;;do;
auta;genitív;auta;genitív
vedľa;;vedľa;
naskočili;;naskočili;
mi;datív;mi;datív
na;;na;
ruke;datív;ruke;lokál
zimomriavky;nominatív;zimomriavky;nominatív
keď;;keď;
sa;akuzatív;sa;
ma;genitív;ma;akuzatív
dotkol;;dotkol;
Počkajte;;Počkajte;
zakričal;;zakričal;
niekto;nominatív;niekto;nominatív
Švihaj;;Švihaj;
zakričal;;zakričal;
Rýchlik;nominatív;Rýchlik;nominatív
Trochu;nominatív;Trochu;
sme;;sme;
sa;akuzatív;sa;
potlačili;;potlačili;
aby;;aby;
sme;;sme;
mu;datív;mu;datív
urobili;;urobili;
miesto;nominatív;miesto;akuzatív
Tak;;Tak;
toto;nominatív;toto;nominatív
je;;je;
ten;nominatív;ten;nominatív
pocit;nominatív;pocit;nominatív
ktorý;nominatív;ktorý;nominatív
znamená;;znamená;
že;;že;
sú;;sú;
dvaja;nominatív;dvaja;nominatív
zaľúbení;genitív;zaľúbení;nominatív
O;;O;
toto;nominatív;toto;akuzatív
som;;som;
prišla;;prišla;
Všetci;nominatív;Všetci;nominatív
zakričal;;zakričal;
Rýchlik;nominatív;Rýchlik;nominatív
Páčilo;;Páčilo;
sa;akuzatív;sa;
mu;datív;mu;datív
že;;že;
je;;je;
kapitánom;datív;kapitánom;inštrumentál
nášho;genitív;nášho;genitív
tímu;genitív;tímu;genitív
Dobre;;Dobre;
povedal;;povedal;
Počas;genitív;Počas;
jazdy;nominatív;jazdy;genitív
sa;akuzatív;sa;
Rýchlik;nominatív;Rýchlik;nominatív
a;nominatív;a;
hádali;;hádali;
ktorú;akuzatív;ktorú;akuzatív
stanicu;akuzatív;stanicu;akuzatív
naladia;;naladia;
s;nominatív;s;
sa;akuzatív;sa;
hrabali;;hrabali;
vo;akuzatív;vo;
vreckách;lokál;vreckách;lokál
aby;;aby;
dali;;dali;
dokopy;;dokopy;
drobáky;nominatív;drobáky;akuzatív
na;;na;
prvú;akuzatív;prvú;akuzatív
pizzu;akuzatív;pizzu;akuzatív
Čo;nominatív;Čo;akuzatív
by;;by;
si;datív;si;
chcela;;chcela;
robiť;;robiť;
v;akuzatív;v;
sobotu;akuzatív;sobotu;akuzatív
spýtal;;spýtal;
sa;akuzatív;sa;
a;nominatív;a;
ja;nominatív;ja;nominatív
som;;som;
na;;na;
uchu;datív;uchu;lokál
zacítila;;zacítila;
jeho;nominatív;jeho;akuzatív
dych;nominatív;dych;akuzatív
Tá;nominatív;Tá;nominatív
otázka;nominatív;otázka;nominatív
ma;genitív;ma;akuzatív
zmiatla;;zmiatla;
Kino;nominatív;Kino;nominatív
navrhla;;navrhla;
som;;som;
a;nominatív;a;
uprene;;uprene;
som;;som;
sa;akuzatív;sa;
dívala;;dívala;
na;;na;
sedadlo;nominatív;sedadlo;akuzatív
pred;akuzatív;pred;
sebou;inštrumentál;sebou;inštrumentál
som;;som;
naňho;akuzatív;naňho;akuzatív
pozrieť;;pozrieť;
som;;som;
lebo;;lebo;
skúmavo;;skúmavo;
na;;na;
mňa;genitív;mňa;akuzatív
pozeral;;pozeral;
Začervenala;;Začervenala;
som;;som;
sa;akuzatív;sa;
a;nominatív;a;
zľahka;;zľahka;
som;;som;
ho;;ho;akuzatív
plesla;;plesla;
po;akuzatív;po;
kolene;lokál;kolene;lokál
Zasmial;;Zasmial;
sa;akuzatív;sa;
a;nominatív;a;
ja;nominatív;ja;nominatív
som;;som;
si;datív;si;
uvedomila;;uvedomila;
že;;že;
napätie;nominatív;napätie;nominatív
pominulo;;pominulo;
Vezmi;;Vezmi;
ju;akuzatív;ju;akuzatív
na;;na;
preteky;nominatív;preteky;akuzatív
chrtov;genitív;chrtov;genitív
navrhol;;navrhol;
som;;som;
že;;že;
počúvajú;;počúvajú;
ale;;ale;
zrazu;;zrazu;
všetci;nominatív;všetci;nominatív
hýrili;;hýrili;
nápadmi;inštrumentál;nápadmi;inštrumentál
Radšej;;Radšej;nominatív
choďte;;choďte;
na;;na;
večeru;datív;večeru;akuzatív
ku;datív;ku;
Kojotovi;datív;Kojotovi;datív
pokračovala;;pokračovala;
Určite;;Určite;
pomyslela;;pomyslela;
som;;som;
si;datív;si;
Ani;;Ani;
jeden;nominatív;jeden;nominatív
návrh;nominatív;návrh;nominatív
ma;genitív;ma;akuzatív
za;genitív;za;
srdce;nominatív;srdce;akuzatív
Vtom;;Vtom;
mi;datív;mi;datív
stisol;;stisol;
ruku;akuzatív;ruku;akuzatív
Našťastie;;Našťastie;
sme;;sme;
zastali;;zastali;
pri;lokál;pri;
obrubníku;datív;obrubníku;lokál
pred;akuzatív;pred;
pizzeriou;inštrumentál;pizzeriou;inštrumentál
Rajské;nominatív;Rajské;nominatív
slasti;nominatív;slasti;nominatív
a;nominatív;a;
všetci;nominatív;všetci;nominatív
náhle;;náhle;
stratili;;stratili;
o;;o;
nás;genitív;nás;akuzatív
záujem;nominatív;záujem;akuzatív
keďže;;keďže;
snívali;;snívali;
o;;o;
pizze;datív;pizze;lokál
Zaplaťte;;Zaplaťte;
povedal;;povedal;
Rýchlik;nominatív;Rýchlik;nominatív
ktorý;nominatív;ktorý;nominatív
dal;;dal;
kolovať;;kolovať;
plaveckú;akuzatív;plaveckú;akuzatív
čiapku;akuzatív;čiapku;akuzatív
Veľká;nominatív;Veľká;nominatív
vegetariánska;nominatív;vegetariánska;nominatív
stojí;;stojí;
deväť;nominatív;deväť;akuzatív
dolárov;genitív;dolárov;genitív
Mám;;Mám;
len;;len;
dvadsiatku;akuzatív;dvadsiatku;akuzatív
povedala;;povedala;
keď;;keď;
čiapka;nominatív;čiapka;nominatív
prišla;;prišla;
až;;až;
k;nominatív;k;
nej;genitív;nej;datív
Môžeš;;Môžeš;
si;datív;si;
dať;;dať;
za;genitív;za;
mňa;genitív;mňa;akuzatív
povedala;;povedala;
som;;som;
Máš;;Máš;
žalúdočné;nominatív;žalúdočné;akuzatív
problémy;nominatív;problémy;akuzatív
spýtala;;spýtala;
sa;akuzatív;sa;
s;nominatív;s;
záujmom;datív;záujmom;inštrumentál
Nie;;Nie;
odvetila;;odvetila;
som;;som;
a;nominatív;a;
žmurkla;;žmurkla;
na;;na;
chvíľu;;chvíľu;
rozmýšľala;;rozmýšľala;
Klobáska;nominatív;Klobáska;nominatív
povedala;;povedala;
Na;;Na;
tú;;tú;akuzatív
som;;som;
alergický;nominatív;alergický;nominatív
zastonal;;zastonal;
Podľa;genitív;Podľa;
mňa;genitív;mňa;genitív
by;;by;
mal;;mal;
mať;nominatív;mať;
šofér;nominatív;šofér;nominatív
právo;nominatív;právo;akuzatív
veta;nominatív;veta;genitív
navrhol;;navrhol;
Rýchlik;nominatív;Rýchlik;nominatív
zahlásila;;zahlásila;
Otvorila;;Otvorila;
okienko;nominatív;okienko;akuzatív
akože;;akože;
naňho;akuzatív;naňho;akuzatív
zakričí;;zakričí;
ale;;ale;
vzápätí;;vzápätí;
si;datív;si;
to;nominatív;to;akuzatív
rozmyslela;;rozmyslela;
Vybrala;;Vybrala;
peňaženku;akuzatív;peňaženku;akuzatív
a;nominatív;a;
znova;;znova;
ju;akuzatív;ju;akuzatív
dala;;dala;
do;;do;
plecniaka;genitív;plecniaka;genitív
Môžem;;Môžem;
si;datív;si;
to;nominatív;to;akuzatív
ešte;;ešte;
rozmyslieť;;rozmyslieť;
spýtala;;spýtala;
sa;akuzatív;sa;
Šesť;nominatív;Šesť;akuzatív
povedala;;povedala;
Asi;;Asi;
tri;nominatív;tri;akuzatív
odvetil;;odvetil;
Rýchlik;nominatív;Rýchlik;nominatív
Boli;;Boli;
sme;;sme;
až;;až;
po;akuzatív;po;
krk;nominatív;krk;akuzatív
keď;;keď;
Rýchlik;nominatív;Rýchlik;nominatív
vyhlásil;;vyhlásil;
že;;že;
sa;akuzatív;sa;
ide;;ide;
na;;na;
po;akuzatív;po;
ktorých;genitív;ktorých;lokál
zaručene;;zaručene;
zvíťazia;;zvíťazia;
Na;;Na;
príjazdovej;genitív;príjazdovej;lokál
ceste;datív;ceste;lokál
pred;akuzatív;pred;
stál;;stál;
dlhočizný;nominatív;dlhočizný;nominatív
rad;nominatív;rad;nominatív
áut;genitív;áut;genitív
v;akuzatív;v;
ktorých;genitív;ktorých;lokál
sedeli;;sedeli;
decká;nominatív;decká;nominatív
z;nominatív;z;
našej;genitív;našej;genitív
školy;nominatív;školy;genitív
Tú;;Tú;akuzatív
v;akuzatív;v;
žiadnom;lokál;žiadnom;lokál
prípade;lokál;prípade;lokál
povedal;;povedal;
Rýchlik;nominatív;Rýchlik;nominatív
a;nominatív;a;
začal;;začal;
cúvať;;cúvať;
Idem;;Idem;
podujala;;podujala;
som;;som;
sa;akuzatív;sa;
Mala;;Mala;
som;;som;
pocit;nominatív;pocit;akuzatív
že;;že;
potrebujem;;potrebujem;
vypadnúť;;vypadnúť;
na;;na;
čerstvý;nominatív;čerstvý;akuzatív
vzduch;nominatív;vzduch;akuzatív
Chvíľu;;Chvíľu;
sme;;sme;
stáli;nominatív;stáli;
vo;akuzatív;vo;
dverách;lokál;dverách;lokál
pretože;;pretože;
nás;genitív;nás;akuzatív
ovalil;;ovalil;
svieži;nominatív;svieži;nominatív
závan;nominatív;závan;nominatív
klimatizovaného;genitív;klimatizovaného;genitív
vzduchu;genitív;vzduchu;genitív
Absolútna;nominatív;Absolútna;nominatív
odvetil;;odvetil;
Podišli;;Podišli;
sme;;sme;
k;nominatív;k;
pultu;genitív;pultu;datív
kde;;kde;
som;;som;
objednala;;objednala;
so;inštrumentál;so;
syrom;datív;syrom;inštrumentál
Ešte;;Ešte;
by;;by;
som;;som;
si;datív;si;
niečo;nominatív;niečo;akuzatív
dal;;dal;
povedal;;povedal;
keď;;keď;
pozrel;;pozrel;
na;;na;
jedálny;nominatív;jedálny;akuzatív
lístok;nominatív;lístok;akuzatív
Ty;nominatív;Ty;nominatív
žartuješ;;žartuješ;
odvetila;;odvetila;
som;;som;
sa;akuzatív;sa;
zasmial;;zasmial;
Odmlčala;;Odmlčala;
som;;som;
sa;akuzatív;sa;
Cítila;;Cítila;
som;;som;
že;;že;
sa;akuzatív;sa;
červenám;;červenám;
My;nominatív;My;nominatív
spýtala;;spýtala;
som;;som;
sa;akuzatív;sa;
My;nominatív;My;nominatív
dvaja;nominatív;dvaja;nominatív
Tie;nominatív;Tie;nominatív
slová;nominatív;slová;nominatív
akoby;;akoby;
viseli;;viseli;
medzi;akuzatív;medzi;
nami;inštrumentál;nami;inštrumentál
vo;akuzatív;vo;
vzduchu;genitív;vzduchu;lokál
Pozrela;;Pozrela;
som;;som;
na;;na;
jedálny;nominatív;jedálny;akuzatív
lístok;nominatív;lístok;akuzatív
nad;akuzatív;nad;
pultom;datív;pultom;inštrumentál
potom;;potom;
na;;na;
zem;nominatív;zem;akuzatív
a;nominatív;a;
do;;do;
výkladu;genitív;výkladu;genitív
Fajn;nominatív;Fajn;
povedal;;povedal;
so;inštrumentál;so;
sileným;datív;sileným;inštrumentál
smiechom;datív;smiechom;inštrumentál
Ja;nominatív;Ja;nominatív
snívam;;snívam;
o;;o;
tebe;datív;tebe;lokál
a;nominatív;a;
ty;nominatív;ty;nominatív
o;;o;
vysokej;genitív;vysokej;lokál
Chabo;;Chabo;
som;;som;
sa;akuzatív;sa;
zasmiala;;zasmiala;
a;nominatív;a;
zadívala;;zadívala;
sa;akuzatív;sa;
do;;do;
zeme;nominatív;zeme;genitív
Naozaj;;Naozaj;
tu;;tu;
niečo;nominatív;niečo;nominatív
Ďakujem;;Ďakujem;
odvetila;;odvetila;
som;;som;
a;nominatív;a;
zrazu;;zrazu;
som;;som;
znervóznela;;znervóznela;
Sadla;genitív;Sadla;
som;;som;
si;datív;si;
na;;na;
lavičku;akuzatív;lavičku;akuzatív
a;nominatív;a;
zavrela;;zavrela;
oči;nominatív;oči;akuzatív
Modlíš;;Modlíš;
sa;akuzatív;sa;
vyrušil;;vyrušil;
ma;genitív;ma;akuzatív
akýsi;nominatív;akýsi;nominatív
hlas;nominatív;hlas;nominatív
Niečo;nominatív;Niečo;nominatív
na;;na;
ten;nominatív;ten;akuzatív
spôsob;nominatív;spôsob;akuzatív
povedala;;povedala;
som;;som;
Zamračila;;Zamračila;
sa;akuzatív;sa;
Je;;Je;
ťažké;nominatív;ťažké;nominatív
nenávidieť;;nenávidieť;
niekoho;genitív;niekoho;akuzatív
kto;nominatív;kto;nominatív
si;datív;si;
natoľko;;natoľko;
že;;že;
sa;akuzatív;sa;
opičí;nominatív;opičí;
po;akuzatív;po;
druhých;genitív;druhých;lokál
Prišlo;;Prišlo;
mi;datív;mi;datív
jej;nominatív;jej;genitív
tak;;tak;
trochu;nominatív;trochu;
ľúto;;ľúto;
Pretekáme;;Pretekáme;
s;nominatív;s;
tromi;inštrumentál;tromi;inštrumentál
dobrými;inštrumentál;dobrými;inštrumentál
plavkyňami;inštrumentál;plavkyňami;inštrumentál
z;nominatív;z;
a;nominatív;a;
mňa;genitív;mňa;akuzatív
tu;;tu;
deptá;;deptá;
vlastná;nominatív;vlastná;nominatív
kolegyňa;nominatív;kolegyňa;nominatív
Nech;;Nech;
ti;datív;ti;datív
vyhnem;;vyhnem;
sa;akuzatív;sa;
ti;datív;ti;datív
ak;;ak;
sa;akuzatív;sa;
vyhneš;;vyhneš;
ty;nominatív;ty;nominatív
mne;datív;mne;datív
Keď;;Keď;
som;;som;
ho;;ho;akuzatív
zazrela;;zazrela;
usmial;;usmial;
sa;akuzatív;sa;
Vtedy;;Vtedy;
sa;akuzatív;sa;
ma;genitív;ma;genitív
čudný;nominatív;čudný;nominatív
nepríjemný;nominatív;nepríjemný;nominatív
pocit;nominatív;pocit;nominatív
v;akuzatív;v;
plavkách;lokál;plavkách;lokál
smiešne;;smiešne;
Zaznel;;Zaznel;
zvonec;nominatív;zvonec;nominatív
a;nominatív;a;
všetko;nominatív;všetko;nominatív
stíchlo;;stíchlo;
Počula;;Počula;
som;;som;
nástenných;genitív;nástenných;genitív
hodín;genitív;hodín;genitív
a;nominatív;a;
vlastný;nominatív;vlastný;akuzatív
dych;nominatív;dych;akuzatív
Nato;;Nato;
zaznel;;zaznel;
výstrel;nominatív;výstrel;nominatív
odrazila;;odrazila;
som;;som;
sa;akuzatív;sa;
a;nominatív;a;
vyrazila;;vyrazila;
ako;;ako;
šíp;nominatív;šíp;nominatív
Hladko;;Hladko;
som;;som;
vkĺzla;;vkĺzla;
pod;akuzatív;pod;
vodu;akuzatív;vodu;akuzatív
a;nominatív;a;
vynorila;;vynorila;
sa;akuzatív;sa;
na;;na;
hladine;datív;hladine;lokál
Do;;Do;
toho;genitív;toho;genitív
do;;do;
toho;genitív;toho;genitív
do;;do;
toho;genitív;toho;genitív
povzbudzovala;;povzbudzovala;
som;;som;
sa;akuzatív;sa;
v;akuzatív;v;
duchu;datív;duchu;lokál
cítiac;;cítiac;
ako;;ako;
mi;datív;mi;datív
pulzuje;;pulzuje;
celé;nominatív;celé;nominatív
telo;nominatív;telo;nominatív
Odraz;nominatív;Odraz;
sa;akuzatív;sa;
povedala;;povedala;
som;;som;
si;datív;si;
na;;na;
konci;lokál;konci;lokál
dráhy;nominatív;dráhy;genitív
po;akuzatív;po;
prvej;genitív;prvej;lokál
dĺžke;datív;dĺžke;lokál
a;nominatív;a;
hladko;;hladko;
som;;som;
to;nominatív;to;akuzatív
zvládla;;zvládla;
Buch;;Buch;
Tretiu;akuzatív;Tretiu;akuzatív
dĺžku;akuzatív;dĺžku;akuzatív
som;;som;
začala;;začala;
nešťastne;;nešťastne;
Po;akuzatív;Po;
známej;genitív;známej;lokál
zrážke;datív;zrážke;lokál
s;nominatív;s;
okrajom;datív;okrajom;inštrumentál
bazéna;genitív;bazéna;genitív
ma;genitív;ma;akuzatív
boleli;;boleli;
päty;nominatív;päty;nominatív
a;nominatív;a;
prestala;;prestala;
som;;som;
si;datív;si;
veriť;;veriť;
Vyhrala;;Vyhrala;
som;;som;
a;nominatív;a;
tri;nominatív;tri;nominatív
plavkyne;nominatív;plavkyne;nominatív
z;nominatív;z;
plaveckého;genitív;plaveckého;genitív
oddielu;genitív;oddielu;genitív
Žralokov;genitív;Žralokov;genitív
otvárali;;otvárali;
vo;akuzatív;vo;
vode;datív;vode;lokál
oči;nominatív;oči;akuzatív
keď;;keď;
som;;som;
sa;akuzatív;sa;
vyšvihla;;vyšvihla;
hore;;hore;
sa;akuzatív;sa;
na;;na;
mňa;genitív;mňa;akuzatív
usmieval;;usmieval;
a;nominatív;a;
tak;;tak;
som;;som;
sa;akuzatív;sa;
usmiala;;usmiala;
i;nominatív;i;
ja;nominatív;ja;nominatív
naňho;akuzatív;naňho;akuzatív
Bol;genitív;Bol;
to;nominatív;to;nominatív
fantastický;nominatív;fantastický;nominatív
pocit;nominatív;pocit;nominatív
Ešte;;Ešte;
raz;nominatív;raz;
blahoželám;;blahoželám;
povedal;;povedal;
keď;;keď;
si;datív;si;
cestou;;cestou;inštrumentál
späť;;späť;
sadol;;sadol;
v;akuzatív;v;
autobuse;lokál;autobuse;lokál
vedľa;;vedľa;
mňa;genitív;mňa;genitív
Ďakujem;;Ďakujem;
povedala;;povedala;
som;;som;
lebo;;lebo;
nič;nominatív;nič;nominatív
lepšie;;lepšie;nominatív
mi;datív;mi;datív
Pokrčila;;Pokrčila;
som;;som;
plecami;inštrumentál;plecami;inštrumentál
Nahol;;Nahol;
sa;akuzatív;sa;
ku;datív;ku;
mne;datív;mne;datív
a;nominatív;a;
