Slovo;Číslo;Slovo2;Číslo2
Konkrétnym;množné;Konkrétnym;množné
formám;množné;formám;množné
tohto;jednotné;tohto;jednotné
boja;jednotné;boja;jednotné
za;;za;
slobodu;jednotné;slobodu;jednotné
cirkvi;množné;cirkvi;jednotné
počas;;počas;
reformy;množné;reformy;jednotné
sa;;sa;
budeme;množné;budeme;množné
venovať;;venovať;
neskôr;;neskôr;
Zároveň;;Zároveň;
však;;však;
urobilo;jednotné;urobilo;jednotné
veľký;jednotné;veľký;jednotné
krok;jednotné;krok;jednotné
na;;na;
ceste;jednotné;ceste;jednotné
k;množné;k;
lebo;;lebo;
vytvorilo;jednotné;vytvorilo;jednotné
spoločenstvo;jednotné;spoločenstvo;jednotné
zväčša;;zväčša;
úplne;;úplne;
slobodných;množné;slobodných;množné
kláštorov;množné;kláštorov;množné
ktoré;množné;ktoré;množné
laikom;množné;laikom;množné
Ako;;Ako;
sme;množné;sme;množné
už;;už;
spomenuli;množné;spomenuli;množné
reforma;jednotné;reforma;jednotné
sa;;sa;
dostala;jednotné;dostala;jednotné
aj;;aj;
do;;do;
V;;V;
tom;jednotné;tom;jednotné
čase;jednotné;čase;jednotné
bol;množné;bol;jednotné
taký;jednotné;taký;jednotné
postoj;jednotné;postoj;jednotné
niečím;množné;niečím;jednotné
úplne;;úplne;
novým;množné;novým;jednotné
Nemecký;jednotné;Nemecký;jednotné
kráľ;jednotné;kráľ;jednotné
Henrich;jednotné;Henrich;jednotné
sa;;sa;
v;;v;
lete;jednotné;lete;jednotné
nasledujúceho;jednotné;nasledujúceho;jednotné
roku;jednotné;roku;jednotné
vydal;jednotné;vydal;jednotné
do;;do;
Ríma;jednotné;Ríma;jednotné
aby;jednotné;aby;
sa;;sa;
dal;jednotné;dal;jednotné
korunovať;;korunovať;
za;;za;
cisára;jednotné;cisára;jednotné
V;;V;
sa;;sa;
stretol;jednotné;stretol;jednotné
s;množné;s;
novým;množné;novým;jednotné
pápežom;množné;pápežom;jednotné
Gregorom;množné;Gregorom;jednotné
VI;jednotné;VI;
a;množné;a;
prijal;jednotné;prijal;jednotné
ho;;ho;jednotné
s;množné;s;
náležitými;množné;náležitými;množné
poctami;množné;poctami;množné
Budúci;jednotné;Budúci;jednotné
pápež;jednotné;pápež;jednotné
však;;však;
podmienil;jednotné;podmienil;jednotné
svoj;jednotné;svoj;jednotné
nástup;jednotné;nástup;jednotné
do;;do;
úradu;jednotné;úradu;jednotné
a;množné;a;
to;jednotné;to;jednotné
bolo;jednotné;bolo;jednotné
v;;v;
súdobých;množné;súdobých;množné
podmienkach;množné;podmienkach;množné
niečím;množné;niečím;jednotné
úplne;;úplne;
novým;množné;novým;jednotné
vykonaním;jednotné;vykonaním;jednotné
regulárnej;jednotné;regulárnej;jednotné
voľby;množné;voľby;jednotné
klérom;množné;klérom;jednotné
a;množné;a;
ľudom;množné;ľudom;jednotné
Ríma;jednotné;Ríma;jednotné
Nimi;množné;Nimi;množné
vysvätení;množné;vysvätení;množné
kňazi;množné;kňazi;množné
teda;;teda;
nie;;nie;
sú;množné;sú;množné
právoplatne;;právoplatne;
vysvätenými;množné;vysvätenými;množné
a;množné;a;
teda;;teda;
veriacim;množné;veriacim;množné
sprostredkovať;;sprostredkovať;
dary;množné;dary;množné
Ducha;jednotné;Ducha;jednotné
Svätého;jednotné;Svätého;jednotné
V;;V;
konečnom;jednotné;konečnom;jednotné
dôsledku;jednotné;dôsledku;jednotné
je;jednotné;je;jednotné
takto;;takto;
ohrozené;množné;ohrozené;jednotné
spasenie;jednotné;spasenie;jednotné
veriaceho;jednotné;veriaceho;jednotné
ľudu;jednotné;ľudu;jednotné
Tento;jednotné;Tento;jednotné
spor;jednotné;spor;jednotné
priamy;jednotné;priamy;jednotné
dopad;jednotné;dopad;jednotné
na;;na;
reformu;jednotné;reformu;jednotné
Tým;;Tým;jednotné
výrazne;;výrazne;
prispeli;množné;prispeli;množné
ku;;ku;
vzniku;jednotné;vzniku;jednotné
učenia;množné;učenia;jednotné
o;;o;
duchovných;množné;duchovných;množné
do;;do;
úradov;množné;úradov;množné
laikmi;množné;laikmi;množné
bolo;jednotné;bolo;jednotné
bežnou;jednotné;bežnou;jednotné
praxou;jednotné;praxou;jednotné
raného;jednotné;raného;jednotné
stredoveku;jednotné;stredoveku;jednotné
Súviselo;jednotné;Súviselo;jednotné
to;jednotné;to;jednotné
jednak;;jednak;
s;množné;s;
už;;už;
spomenutým;množné;spomenutým;jednotné
rozvinutým;množné;rozvinutým;jednotné
fungovaním;jednotné;fungovaním;jednotné
systému;jednotné;systému;jednotné
vlastníckych;množné;vlastníckych;množné
kostolov;množné;kostolov;množné
a;množné;a;
kláštorov;množné;kláštorov;množné
a;množné;a;
jednak;;jednak;
s;množné;s;
existenciou;jednotné;existenciou;jednotné
ríšskeho;jednotné;ríšskeho;jednotné
cirkevného;jednotné;cirkevného;jednotné
systému;jednotné;systému;jednotné
v;;v;
Nemecku;jednotné;Nemecku;jednotné
Z;;Z;
hľadiska;jednotné;hľadiska;jednotné
reformátorov;množné;reformátorov;množné
bol;množné;bol;jednotné
tento;jednotné;tento;jednotné
fakt;jednotné;fakt;jednotné
jednou;jednotné;jednou;jednotné
z;množné;z;
najvážnejších;množné;najvážnejších;množné
prekážok;množné;prekážok;množné
na;;na;
ceste;jednotné;ceste;jednotné
k;množné;k;
dosiahnutiu;jednotné;dosiahnutiu;jednotné
slobody;množné;slobody;jednotné
cirkvi;množné;cirkvi;jednotné
Našla;jednotné;Našla;jednotné
ho;;ho;jednotné
v;;v;
novo;;novo;
úrade;jednotné;úrade;jednotné
pápeža;jednotné;pápeža;jednotné
Už;;Už;
sme;množné;sme;množné
spomenuli;množné;spomenuli;množné
že;;že;
pápežský;jednotné;pápežský;jednotné
úrad;jednotné;úrad;jednotné
bol;množné;bol;jednotné
v;;v;
desaťročiach;množné;desaťročiach;množné
pred;;pred;
reformou;jednotné;reformou;jednotné
v;;v;
hlbokej;jednotné;hlbokej;jednotné
kríze;jednotné;kríze;jednotné
Lev;jednotné;Lev;jednotné
a;množné;a;
jeho;množné;jeho;množné
nástupcovia;množné;nástupcovia;množné
sa;;sa;
teda;;teda;
snažili;množné;snažili;množné
cirkev;jednotné;cirkev;jednotné
už;;už;
skutočne;;skutočne;
riadiť;;riadiť;
Plnenie;jednotné;Plnenie;jednotné
týchto;množné;týchto;množné
nových;množné;nových;množné
úloh;množné;úloh;množné
vyvolalo;jednotné;vyvolalo;jednotné
viacero;jednotné;viacero;jednotné
závažných;množné;závažných;množné
zmien;množné;zmien;množné
Títo;množné;Títo;množné
naladení;množné;naladení;množné
klerici;množné;klerici;množné
sa;;sa;
stali;množné;stali;množné
najbližšími;množné;najbližšími;množné
pápežovými;množné;pápežovými;množné
spolupracovníkmi;množné;spolupracovníkmi;množné
a;množné;a;
poradcami;množné;poradcami;množné
Zdôrazňoval;jednotné;Zdôrazňoval;jednotné
pritom;;pritom;
výsadné;množné;výsadné;jednotné
postavenie;jednotné;postavenie;jednotné
apoštolom;množné;apoštolom;jednotné
Petrom;množné;Petrom;jednotné
založenej;jednotné;založenej;jednotné
rímskej;jednotné;rímskej;jednotné
cirkvi;množné;cirkvi;jednotné
a;množné;a;
Apoštolského;jednotné;Apoštolského;jednotné
stolca;jednotné;stolca;jednotné
Kráľ;jednotné;Kráľ;jednotné
v;;v;
očiach;množné;očiach;množné
súčasníkov;množné;súčasníkov;množné
obyčajným;množné;obyčajným;jednotné
laikom;množné;laikom;jednotné
Žiaden;jednotné;Žiaden;jednotné
z;množné;z;
pápežov;jednotné;pápežov;množné
pred;;pred;
Gregorom;množné;Gregorom;jednotné
do;;do;
priamej;jednotné;priamej;jednotné
konfrontácie;množné;konfrontácie;jednotné
s;množné;s;
najvyšším;množné;najvyšším;jednotné
reprezentantom;množné;reprezentantom;jednotné
svetskej;jednotné;svetskej;jednotné
moci;množné;moci;jednotné
Rímska;jednotné;Rímska;jednotné
cirkev;jednotné;cirkev;jednotné
a;množné;a;
jej;množné;jej;jednotné
biskup;jednotné;biskup;jednotné
na;;na;
základe;jednotné;základe;jednotné
tohto;jednotné;tohto;jednotné
výnimočného;jednotné;výnimočného;jednotné
postavenia;množné;postavenia;jednotné
disponovali;množné;disponovali;množné
autoritou;jednotné;autoritou;jednotné
ktorej;jednotné;ktorej;jednotné
bol;množné;bol;jednotné
každý;jednotné;každý;jednotné
povinný;jednotné;povinný;jednotné
preukazovať;;preukazovať;
absolútnu;jednotné;absolútnu;jednotné
poslušnosť;jednotné;poslušnosť;jednotné
Účinok;jednotné;Účinok;jednotné
exkomunikácie;množné;exkomunikácie;jednotné
bol;množné;bol;jednotné
nevídaný;jednotné;nevídaný;jednotné
Prirodzene;;Prirodzene;
udalosti;množné;udalosti;množné
okolo;;okolo;
boli;množné;boli;množné
len;;len;
začiatkom;;začiatkom;jednotné
úsilia;množné;úsilia;jednotné
o;;o;
presadenie;jednotné;presadenie;jednotné
takéhoto;jednotné;takéhoto;jednotné
usporiadania;množné;usporiadania;jednotné
sveta;jednotné;sveta;jednotné
Žiadne;množné;Žiadne;množné
údaje;množné;údaje;množné
o;;o;
prípadných;množné;prípadných;množné
ďalších;množné;ďalších;množné
tunajších;množné;tunajších;množné
aktivitách;množné;aktivitách;množné
Leva;množné;Leva;jednotné
napríklad;;napríklad;
o;;o;
snahách;množné;snahách;množné
k;množné;k;
dispozícii;jednotné;dispozícii;jednotné
V;;V;
prvých;množné;prvých;množné
listoch;množné;listoch;množné
reaguje;jednotné;reaguje;jednotné
na;;na;
uhorskú;jednotné;uhorskú;jednotné
vnútropolitickú;jednotné;vnútropolitickú;jednotné
situáciu;jednotné;situáciu;jednotné
keď;;keď;
prebiehali;množné;prebiehali;množné
boje;množné;boje;množné
medzi;;medzi;
Gejzom;množné;Gejzom;jednotné
a;množné;a;
Šalamúnom;množné;Šalamúnom;jednotné
o;;o;
uhorský;jednotné;uhorský;jednotné
trón;jednotné;trón;jednotné
V;;V;
ponímaní;množné;ponímaní;jednotné
by;jednotné;by;
to;jednotné;to;jednotné
znamenalo;jednotné;znamenalo;jednotné
Uhorska;jednotné;Uhorska;jednotné
sv;;sv;
Petrovi;jednotné;Petrovi;jednotné
ktorého;jednotné;ktorého;jednotné
nástupca;jednotné;nástupca;jednotné
by;jednotné;by;
vládcovi;jednotné;vládcovi;jednotné
krajiny;množné;krajiny;jednotné
udelil;jednotné;udelil;jednotné
kráľovskú;jednotné;kráľovskú;jednotné
korunu;jednotné;korunu;jednotné
nádeje;množné;nádeje;množné
sa;;sa;
za;;za;
panovania;množné;panovania;jednotné
Je;jednotné;Je;jednotné
isté;množné;isté;jednotné
že;;že;
v;;v;
Ríme;jednotné;Ríme;jednotné
reformných;množné;reformných;množné
pápežov;jednotné;pápežov;množné
žilo;jednotné;žilo;jednotné
presvedčenie;jednotné;presvedčenie;jednotné
o;;o;
podriadenosti;množné;podriadenosti;jednotné
Uhorska;jednotné;Uhorska;jednotné
Rímu;jednotné;Rímu;jednotné
Gregor;jednotné;Gregor;jednotné
aby;jednotné;aby;
toto;jednotné;toto;jednotné
presvedčenie;jednotné;presvedčenie;jednotné
ešte;;ešte;
zdôraznil;jednotné;zdôraznil;jednotné
a;množné;a;
aby;jednotné;aby;
mohol;jednotné;mohol;jednotné
vyžadovať;;vyžadovať;
poslušnosť;jednotné;poslušnosť;jednotné
od;;od;
uhorských;množné;uhorských;množné
kráľov;jednotné;kráľov;množné
vytvoril;jednotné;vytvoril;jednotné
konštrukciu;jednotné;konštrukciu;jednotné
o;;o;
krajiny;množné;krajiny;jednotné
sv;;sv;
Petrovi;jednotné;Petrovi;jednotné
Chorvátsko;jednotné;Chorvátsko;jednotné
sa;;sa;
totiž;;totiž;
od;;od;
považovalo;jednotné;považovalo;jednotné
za;;za;
pápežské;množné;pápežské;jednotné
léno;jednotné;léno;jednotné
Z;;Z;
politického;jednotné;politického;jednotné
hľadiska;jednotné;hľadiska;jednotné
Koloman;jednotné;Koloman;jednotné
pápežovi;množné;pápežovi;jednotné
vyhovel;jednotné;vyhovel;jednotné
Koloman;jednotné;Koloman;jednotné
sa;;sa;
teda;;teda;
chtiac;;chtiac;
nechtiac;;nechtiac;
dostal;jednotné;dostal;jednotné
do;;do;
pápežského;jednotné;pápežského;jednotné
tábora;jednotné;tábora;jednotné
kde;;kde;
vytrval;jednotné;vytrval;jednotné
až;;až;
do;;do;
konca;jednotné;konca;jednotné
svojej;jednotné;svojej;jednotné
vlády;množné;vlády;jednotné
Okrem;;Okrem;
spomínaných;množné;spomínaných;množné
listov;množné;listov;množné
tomu;jednotné;tomu;jednotné
totiž;;totiž;
nasvedčuje;jednotné;nasvedčuje;jednotné
aj;;aj;
fakt;jednotné;fakt;jednotné
že;;že;
sa;;sa;
do;;do;
niektorých;množné;niektorých;množné
nových;množné;nových;množné
reformných;množné;reformných;množné
zbierok;množné;zbierok;množné
o;;o;
ktorých;množné;ktorých;množné
budeme;množné;budeme;množné
podrobnejšie;;podrobnejšie;
hovoriť;;hovoriť;
v;;v;
nasledujúcej;jednotné;nasledujúcej;jednotné
kapitole;jednotné;kapitole;jednotné
dostali;množné;dostali;množné
aj;;aj;
dokumenty;množné;dokumenty;množné
ktoré;množné;ktoré;množné
mali;množné;mali;množné
doložiť;;doložiť;
oprávnenosť;jednotné;oprávnenosť;jednotné
nárokov;množné;nárokov;množné
pápežstva;jednotné;pápežstva;jednotné
na;;na;
toto;jednotné;toto;jednotné
teritórium;jednotné;teritórium;jednotné
Kresťanská;jednotné;Kresťanská;jednotné
cirkev;jednotné;cirkev;jednotné
v;;v;
prvom;jednotné;prvom;jednotné
storočí;množné;storočí;jednotné
svojej;jednotné;svojej;jednotné
existencie;množné;existencie;jednotné
nejaký;jednotné;nejaký;jednotné
jednotný;jednotné;jednotný;jednotné
právny;jednotné;právny;jednotné
systém;jednotné;systém;jednotné
Rímski;množné;Rímski;množné
reformátori;množné;reformátori;množné
totiž;;totiž;
potrebovali;množné;potrebovali;množné
prostredníctvom;;prostredníctvom;
ktorého;jednotné;ktorého;jednotné
by;jednotné;by;
oprávnenosť;jednotné;oprávnenosť;jednotné
svojich;množné;svojich;množné
požiadaviek;množné;požiadaviek;množné
Najviac;množné;Najviac;jednotné
z;množné;z;
nich;množné;nich;množné
vzniklo;jednotné;vzniklo;jednotné
resp;;resp;
začínalo;jednotné;začínalo;jednotné
vznikať;;vznikať;
v;;v;
rokoch;množné;rokoch;množné
pontifikátu;jednotné;pontifikátu;jednotné
Gregora;jednotné;Gregora;jednotné
Tomuto;jednotné;Tomuto;jednotné
cieľu;jednotné;cieľu;jednotné
bola;jednotné;bola;jednotné
podriadená;jednotné;podriadená;jednotné
aj;;aj;
metóda;jednotné;metóda;jednotné
ich;množné;ich;jednotné
spracovania;množné;spracovania;jednotné
V;;V;
dôsledku;jednotné;dôsledku;jednotné
centralistickej;jednotné;centralistickej;jednotné
tendencie;množné;tendencie;jednotné
zbierok;množné;zbierok;množné
prevzali;množné;prevzali;množné
do;;do;
nich;množné;nich;množné
zostavovatelia;množné;zostavovatelia;množné
i;množné;i;
viaceré;množné;viaceré;množné
úplne;;úplne;
alebo;;alebo;
čiastočne;;čiastočne;
texty;množné;texty;množné
ktoré;množné;ktoré;množné
však;;však;
svojím;jednotné;svojím;jednotné
obsahom;množné;obsahom;jednotné
zodpovedali;množné;zodpovedali;množné
stanoviskám;množné;stanoviskám;množné
a;množné;a;
snaženiam;množné;snaženiam;množné
reformátorov;množné;reformátorov;množné
Z;;Z;
cirkevnoprávnych;množné;cirkevnoprávnych;množné
zbierok;množné;zbierok;množné
ktoré;množné;ktoré;množné
vznikli;množné;vznikli;množné
v;;v;
období;množné;období;jednotné
gregoriánskej;jednotné;gregoriánskej;jednotné
reformy;množné;reformy;jednotné
sa;;sa;
budeme;množné;budeme;množné
venovať;;venovať;
len;;len;
niektorým;množné;niektorým;množné
Je;jednotné;Je;jednotné
to;jednotné;to;jednotné
chronologicky;;chronologicky;
prvá;jednotné;prvá;jednotné
zbierka;jednotné;zbierka;jednotné
ktorú;jednotné;ktorú;jednotné
zostavil;jednotné;zostavil;jednotné
neznámy;jednotné;neznámy;jednotné
autor;jednotné;autor;jednotné
z;množné;z;
rímskych;množné;rímskych;množné
reformných;množné;reformných;množné
kruhov;množné;kruhov;množné
Vznikla;jednotné;Vznikla;jednotné
v;;v;
tretej;jednotné;tretej;jednotné
štvrtine;jednotné;štvrtine;jednotné
storočia;množné;storočia;jednotné
medzi;;medzi;
rokmi;množné;rokmi;množné
a;množné;a;
bola;jednotné;bola;jednotné
určená;jednotné;určená;jednotné
na;;na;
používanie;jednotné;používanie;jednotné
v;;v;
rímskej;jednotné;rímskej;jednotné
kúrii;jednotné;kúrii;jednotné
a;množné;a;
pre;;pre;
pápežských;množné;pápežských;množné
legátov;množné;legátov;množné
Zbierka;jednotné;Zbierka;jednotné
uvádza;jednotné;uvádza;jednotné
pravé;množné;pravé;množné
i;množné;i;
nepravé;množné;nepravé;množné
viacerých;množné;viacerých;množné
pápežov;jednotné;pápežov;množné
ako;;ako;
aj;;aj;
početné;množné;početné;množné
dokumenty;množné;dokumenty;množné
o;;o;
výnimočných;množné;výnimočných;množné
právach;množné;právach;množné
rímskeho;jednotné;rímskeho;jednotné
biskupa;jednotné;biskupa;jednotné
Iba;;Iba;
na;;na;
začiatku;jednotné;začiatku;jednotné
textu;jednotné;textu;jednotné
zbierky;množné;zbierky;jednotné
je;jednotné;je;jednotné
akýsi;jednotné;akýsi;jednotné
tematický;jednotné;tematický;jednotné
zoznam;jednotné;zoznam;jednotné
pri;;pri;
jednotlivých;množné;jednotlivých;množné
častiach;množné;častiach;množné
ktorého;jednotné;ktorého;jednotné
sú;množné;sú;množné
uvedené;množné;uvedené;množné
čísla;množné;čísla;množné
kánonov;množné;kánonov;množné
sa;;sa;
k;množné;k;
tomu;jednotné;tomu;jednotné
ktorému;jednotné;ktorému;jednotné
tematickému;jednotné;tematickému;jednotné
okruhu;jednotné;okruhu;jednotné
Z;;Z;
veľkej;jednotné;veľkej;jednotné
časti;množné;časti;jednotné
ich;množné;ich;množné
recipoval;jednotné;recipoval;jednotné
aj;;aj;
právne;;právne;množné
pamiatky;množné;pamiatky;množné
majú;množné;majú;množné
v;;v;
porovnaní;množné;porovnaní;jednotné
so;;so;
situáciou;jednotné;situáciou;jednotné
v;;v;
ostatných;množné;ostatných;množné
krajinách;množné;krajinách;množné
strednej;jednotné;strednej;jednotné
a;množné;a;
východnej;jednotné;východnej;jednotné
Európy;jednotné;Európy;jednotné
výsostne;;výsostne;
špecifické;množné;špecifické;jednotné
postavenie;jednotné;postavenie;jednotné
Ordinácia;jednotné;Ordinácia;jednotné
je;jednotné;je;jednotné
akt;jednotné;akt;jednotné
ktorým;množné;ktorým;jednotné
kandidát;jednotné;kandidát;jednotné
svätenia;množné;svätenia;jednotné
ordinand;jednotné;ordinand;jednotné
získava;jednotné;získava;jednotné
istý;jednotné;istý;jednotné
stupeň;jednotné;stupeň;jednotné
svätenia;množné;svätenia;jednotné
Každý;jednotné;Každý;jednotné
zo;;zo;
stupňov;množné;stupňov;množné
svätenia;množné;svätenia;jednotné
od;;od;
ordinanda;jednotné;ordinanda;jednotné
vyžadoval;jednotné;vyžadoval;jednotné
aby;jednotné;aby;
spĺňal;jednotné;spĺňal;jednotné
príslušné;množné;príslušné;množné
predpoklady;množné;predpoklady;množné
na;;na;
jeho;množné;jeho;jednotné
získanie;jednotné;získanie;jednotné
Ustanovenia;množné;Ustanovenia;množné
o;;o;
predpokladoch;množné;predpokladoch;množné
na;;na;
získanie;jednotné;získanie;jednotné
svätenia;množné;svätenia;jednotné
sú;množné;sú;množné
bežnou;jednotné;bežnou;jednotné
súčasťou;jednotné;súčasťou;jednotné
stredovekých;množné;stredovekých;množné
zbierok;množné;zbierok;množné
cirkevného;jednotné;cirkevného;jednotné
práva;jednotné;práva;jednotné
Požiadavka;jednotné;Požiadavka;jednotné
primeraného;jednotné;primeraného;jednotné
vzdelania;množné;vzdelania;jednotné
klerika;jednotné;klerika;jednotné
obšírnejší;jednotné;obšírnejší;jednotné
komentár;jednotné;komentár;jednotné
Ostrihomská;jednotné;Ostrihomská;jednotné
synoda;jednotné;synoda;jednotné
tiež;;tiež;
zakázala;jednotné;zakázala;jednotné
aby;jednotné;aby;
bol;množné;bol;jednotné
za;;za;
kňaza;jednotné;kňaza;jednotné
vysvätený;jednotné;vysvätený;jednotné
otrok;jednotné;otrok;jednotné
sluha;jednotné;sluha;jednotné
Rovnakého;jednotné;Rovnakého;jednotné
problému;jednotné;problému;jednotné
sa;;sa;
týka;jednotné;týka;jednotné
i;množné;i;
posledný;jednotné;posledný;jednotné
z;množné;z;
ostrihomských;množné;ostrihomských;množné
kánonov;množné;kánonov;množné
ktorý;jednotné;ktorý;jednotné
sa;;sa;
venuje;jednotné;venuje;jednotné
vlastnému;jednotné;vlastnému;jednotné
ordinačnému;jednotné;ordinačnému;jednotné
právu;jednotné;právu;jednotné
Reformátori;množné;Reformátori;množné
storočia;množné;storočia;jednotné
však;;však;
už;;už;
dospeli;množné;dospeli;množné
k;množné;k;
precíznejšej;jednotné;precíznejšej;jednotné
formulácii;jednotné;formulácii;jednotné
ktorá;jednotné;ktorá;jednotné
podľa;;podľa;
nás;množné;nás;množné
reprezentuje;jednotné;reprezentuje;jednotné
nimi;množné;nimi;množné
snahu;jednotné;snahu;jednotné
o;;o;
čo;jednotné;čo;
najpresnejšie;množné;najpresnejšie;jednotné
vymedzenie;jednotné;vymedzenie;jednotné
sfér;množné;sfér;množné
vplyvu;jednotné;vplyvu;jednotné
svetskej;jednotné;svetskej;jednotné
a;množné;a;
cirkevnej;jednotné;cirkevnej;jednotné
moci;množné;moci;jednotné
tohto;jednotné;tohto;jednotné
nariadenia;množné;nariadenia;jednotné
nachádzame;množné;nachádzame;množné
v;;v;
prvom;jednotné;prvom;jednotné
zákonníku;jednotné;zákonníku;jednotné
Podľa;;Podľa;
nich;množné;nich;množné
klerici;množné;klerici;jednotné
sa;;sa;
nielenže;;nielenže;
opíjať;;opíjať;
ale;;ale;
mali;množné;mali;množné
aj;;aj;
povinnosť;jednotné;povinnosť;jednotné
brániť;;brániť;
veriacim;množné;veriacim;množné
v;;v;
prehnanom;jednotné;prehnanom;jednotné
opojných;množné;opojných;množné
nápojov;množné;nápojov;množné
Medzi;;Medzi;
tieto;množné;tieto;množné
nedovolené;množné;nedovolené;množné
zamestnania;množné;zamestnania;množné
patrilo;jednotné;patrilo;jednotné
i;množné;i;
ktorého;jednotné;ktorého;jednotné
vykonávanie;jednotné;vykonávanie;jednotné
zakázali;množné;zakázali;množné
aj;;aj;
ostrihomskí;množné;ostrihomskí;množné
synodálni;množné;synodálni;množné
otcovia;množné;otcovia;množné
Prísnosť;jednotné;Prísnosť;jednotné
uhorských;množné;uhorských;množné
protialkoholických;množné;protialkoholických;množné
kánonov;množné;kánonov;množné
a;množné;a;
aj;;aj;
ich;množné;ich;jednotné
početnosť;jednotné;početnosť;jednotné
svedčia;množné;svedčia;množné
o;;o;
snahe;jednotné;snahe;jednotné
vykoreniť;;vykoreniť;
z;množné;z;
klerických;množné;klerických;množné
kruhov;množné;kruhov;množné
neduh;jednotné;neduh;jednotné
nadmerného;jednotné;nadmerného;jednotné
alkoholu;jednotné;alkoholu;jednotné
Druhou;jednotné;Druhou;jednotné
činnosťou;jednotné;činnosťou;jednotné
ktorú;jednotné;ktorú;jednotné
v;;v;
Ostrihome;jednotné;Ostrihome;jednotné
klerikom;množné;klerikom;množné
zakázali;množné;zakázali;množné
bolo;jednotné;bolo;jednotné
úžerníctvo;jednotné;úžerníctvo;jednotné
O;;O;
tom;jednotné;tom;jednotné
bude;jednotné;bude;jednotné
reč;jednotné;reč;jednotné
v;;v;
jednej;jednotné;jednej;jednotné
z;množné;z;
nasledujúcich;množné;nasledujúcich;množné
kapitol;množné;kapitol;množné
Tí;množné;Tí;množné
ktorí;množné;ktorí;množné
by;jednotné;by;
to;jednotné;to;jednotné
odmietli;množné;odmietli;množné
mali;množné;mali;množné
byť;;byť;
Dva;množné;Dva;množné
ostrihomské;množné;ostrihomské;množné
kánony;množné;kánony;množné
ustanovujú;množné;ustanovujú;množné
záležitosti;množné;záležitosti;množné
okolo;;okolo;
biskupov;množné;biskupov;množné
Najťažší;jednotné;Najťažší;jednotné
trest;jednotné;trest;jednotné
postihuje;jednotné;postihuje;jednotné
opäť;;opäť;
kňazov;množné;kňazov;množné
ktorí;množné;ktorí;množné
sa;;sa;
dopustili;množné;dopustili;množné
bigamie;množné;bigamie;jednotné
Oba;množné;Oba;množné
tieto;množné;tieto;množné
kánony;množné;kánony;množné
zodpovedajú;množné;zodpovedajú;množné
dávnej;jednotné;dávnej;jednotné
praxi;jednotné;praxi;jednotné
latinskej;jednotné;latinskej;jednotné
cirkvi;množné;cirkvi;jednotné
Nová;jednotné;Nová;jednotné
však;;však;
bola;jednotné;bola;jednotné
energia;jednotné;energia;jednotné
s;množné;s;
akou;jednotné;akou;jednotné
tieto;množné;tieto;množné
požiadavky;množné;požiadavky;množné
nastoľovali;množné;nastoľovali;množné
a;množné;a;
nová;jednotné;nová;jednotné
bola;jednotné;bola;jednotné
aj;;aj;
prísnosť;jednotné;prísnosť;jednotné
trestov;množné;trestov;množné
za;;za;
týchto;množné;týchto;množné
požiadaviek;množné;požiadaviek;množné
Posledný;jednotné;Posledný;jednotné
kánon;jednotné;kánon;jednotné
synody;množné;synody;jednotné
o;;o;
celibáte;jednotné;celibáte;jednotné
sa;;sa;
svojím;jednotné;svojím;jednotné
obsahom;množné;obsahom;jednotné
vymyká;jednotné;vymyká;jednotné
prísnejšiemu;jednotné;prísnejšiemu;jednotné
tónu;jednotné;tónu;jednotné
uznesení;množné;uznesení;množné
tohto;jednotné;tohto;jednotné
cirkevného;jednotné;cirkevného;jednotné
snemu;jednotné;snemu;jednotné
Máme;množné;Máme;množné
tu;;tu;
teda;;teda;
ďalší;jednotné;ďalší;jednotné
argument;jednotné;argument;jednotné
pre;;pre;
to;jednotné;to;jednotné
aby;jednotné;aby;
sme;množné;sme;množné
kánony;množné;kánony;množné
o;;o;
celibáte;jednotné;celibáte;jednotné
z;množné;z;
druhej;jednotné;druhej;jednotné
synody;množné;synody;jednotné
za;;za;
prejav;jednotné;prejav;jednotné
úplného;jednotné;úplného;jednotné
príklonu;jednotné;príklonu;jednotné
k;množné;k;
normám;množné;normám;množné
reformného;jednotné;reformného;jednotné
pápežstva;jednotné;pápežstva;jednotné
Do;;Do;
tejto;jednotné;tejto;jednotné
kapitoly;množné;kapitoly;jednotné
sme;množné;sme;množné
zahrnuli;množné;zahrnuli;množné
problematiku;jednotné;problematiku;jednotné
vzájomných;množné;vzájomných;množné
vzťahov;množné;vzťahov;množné
a;množné;a;
kompetencií;množné;kompetencií;množné
medzi;;medzi;
laikmi;množné;laikmi;množné
a;množné;a;
cirkvou;jednotné;cirkvou;jednotné
V;;V;
ich;množné;ich;jednotné
rámci;jednotné;rámci;jednotné
budeme;množné;budeme;množné
na;;na;
prvom;jednotné;prvom;jednotné
mieste;jednotné;mieste;jednotné
hovoriť;;hovoriť;
o;;o;
výnimočnom;jednotné;výnimočnom;jednotné
postavení;množné;postavení;jednotné
uhorského;jednotné;uhorského;jednotné
kráľa;jednotné;kráľa;jednotné
voči;;voči;
domácej;jednotné;domácej;jednotné
cirkvi;množné;cirkvi;jednotné
V;;V;
ďalšom;jednotné;ďalšom;jednotné
potom;;potom;
budeme;množné;budeme;množné
identifikovať;;identifikovať;
odraz;jednotné;odraz;jednotné
tejto;jednotné;tejto;jednotné
jeho;množné;jeho;jednotné
pozície;množné;pozície;jednotné
