;Slovo;Slovný druh-Majka;Slovo2;Slovný druh-SNK;Jazykový štýl
6455;Dnes;Príslovka;Dnes;Príslovka;umelecky_romany
6456;ma;Zámeno;ma;Zámeno;umelecky_romany
6457;šéf;Podstatné meno;šéf;Podstatné meno;umelecky_romany
6458;pustil;Sloveso;pustil;Sloveso;umelecky_romany
6459;skôr;Príslovka;skôr;Príslovka;umelecky_romany
6460;povedala;Sloveso;povedala;Sloveso;umelecky_romany
6461;a;Spojka;a;Spojka;umelecky_romany
6462;započúvala;Sloveso;započúvala;Sloveso;umelecky_romany
6463;sa;Zámeno;sa;Zvratné zámeno;umelecky_romany
6464;Mhm;Citoslovce;Mhm;Citoslovce;umelecky_romany
6465;zamrmlala;Sloveso;zamrmlala;Sloveso;umelecky_romany
6466;som;Sloveso;som;Sloveso;umelecky_romany
6467;Odjakživa;Príslovka;Odjakživa;Príslovka;umelecky_romany
6468;som;Sloveso;som;Sloveso;umelecky_romany
6469;bola;Podstatné meno;bola;Sloveso;umelecky_romany
6470;mi;Zámeno;mi;Zámeno;umelecky_romany
6471;napríklad;Častice;napríklad;Častica;umelecky_romany
6472;šila;Sloveso;šila;Sloveso;umelecky_romany
6473;Keď;Spojka;Keď;Spojka;umelecky_romany
6474;som;Sloveso;som;Sloveso;umelecky_romany
6475;išla;Sloveso;išla;Sloveso;umelecky_romany
6476;na;Citoslovce;na;Predložka;umelecky_romany
6477;strednú;Prídavné meno;strednú;Podstatné meno;umelecky_romany
6478;našla;Sloveso;našla;Sloveso;umelecky_romany
6479;si;Zámeno;si;Zvratné zámeno;umelecky_romany
6480;ďalšie;Prídavné meno;ďalšie;Prídavné meno;umelecky_romany
6481;zamestnanie;Podstatné meno;zamestnanie;Podstatné meno;umelecky_romany
6482;aby;Spojka;aby;Spojka;umelecky_romany
6483;ušetrila;Sloveso;ušetrila;Sloveso;umelecky_romany
6484;pre;Predložka;pre;Predložka;umelecky_romany
6485;mňa;Zámeno;mňa;Zámeno;umelecky_romany
6486;na;Citoslovce;na;Predložka;umelecky_romany
6487;vysokú;Podstatné meno;vysokú;Podstatné meno;umelecky_romany
6488;a;Spojka;a;Spojka;umelecky_romany
6489;keď;Spojka;keď;Spojka;umelecky_romany
6490;som;Sloveso;som;Sloveso;umelecky_romany
6491;jej;Zámeno;jej;Zámeno;umelecky_romany
6492;ďakovala;Sloveso;ďakovala;Sloveso;umelecky_romany
6493;povedala;Sloveso;povedala;Sloveso;umelecky_romany
6494;mi;Zámeno;mi;Zámeno;umelecky_romany
6495;Poďakuješ;Sloveso;Poďakuješ;Sloveso;umelecky_romany
6496;sa;Zámeno;sa;Zvratné zámeno;umelecky_romany
6497;mi;Zámeno;mi;Zámeno;umelecky_romany
6498;tým;Zámeno;tým;Zámeno;umelecky_romany
6499;že;Spojka;že;Spojka;umelecky_romany
6500;získaš;Sloveso;získaš;Sloveso;umelecky_romany
6501;vzdelanie;Podstatné meno;vzdelanie;Podstatné meno;umelecky_romany
6502;ktoré;Zámeno;ktoré;Zámeno;umelecky_romany
6503;ja;Zámeno;ja;Zámeno;umelecky_romany
6504;pobrala;Sloveso;pobrala;Sloveso;umelecky_romany
6505;do;Citoslovce;do;Predložka;umelecky_romany
6506;kuchyne;Podstatné meno;kuchyne;Podstatné meno;umelecky_romany
6507;no;Spojka;no;Spojka;umelecky_romany
6508;na;Citoslovce;na;Predložka;umelecky_romany
6509;polceste;Podstatné meno;polceste;Podstatné meno;umelecky_romany
6510;zastala;Sloveso;zastala;Sloveso;umelecky_romany
6511;Mami;Podstatné meno;Mami;Podstatné meno;umelecky_romany
6512;zvolala;Sloveso;zvolala;Sloveso;umelecky_romany
6513;som;Sloveso;som;Sloveso;umelecky_romany
6514;Sme;Sloveso;Sme;Sloveso;umelecky_romany
6515;kamoši;Podstatné meno;kamoši;Podstatné meno;umelecky_romany
6516;Vážne;Príslovka;Vážne;Častica;umelecky_romany
6517;som;Sloveso;som;Sloveso;umelecky_romany
6518;chcela;Sloveso;chcela;Sloveso;umelecky_romany
6519;ísť;Sloveso;ísť;Sloveso;umelecky_romany
6520;po;Predložka;po;Predložka;umelecky_romany
6521;tréningu;Podstatné meno;tréningu;Podstatné meno;umelecky_romany
6522;za;Predložka;za;Predložka;umelecky_romany
6523;tebou;Zámeno;tebou;Zámeno;umelecky_romany
6524;ale;Spojka;ale;Spojka;umelecky_romany
6525;vyfučalo;Sloveso;vyfučalo;Sloveso;umelecky_romany
6526;mi;Zámeno;mi;Zámeno;umelecky_romany
6527;to;Zámeno;to;Zámeno;umelecky_romany
6528;z;Podstatné meno;z;Predložka;umelecky_romany
6529;hlavy;Podstatné meno;hlavy;Podstatné meno;umelecky_romany
6530;Odkedy;Zámeno;Odkedy;Zámeno;umelecky_romany
6531;máš;Sloveso;máš;Sloveso;umelecky_romany
6532;v;Predložka;v;Predložka;umelecky_romany
6533;hlave;Podstatné meno;hlave;Podstatné meno;umelecky_romany
6534;piliny;Podstatné meno;piliny;Podstatné meno;umelecky_romany
6535;Prestaň;Sloveso;Prestaň;Sloveso;umelecky_romany
6536;zúriť;Sloveso;zúriť;Sloveso;umelecky_romany
6537;ma;Zámeno;ma;Zámeno;umelecky_romany
6538;mama;Podstatné meno;mama;Podstatné meno;umelecky_romany
6539;som;Sloveso;som;Sloveso;umelecky_romany
6540;sa;Zámeno;sa;Zvratné zámeno;umelecky_romany
6541;keď;Spojka;keď;Spojka;umelecky_romany
6542;vychrlila;Sloveso;vychrlila;Sloveso;umelecky_romany
6543;tie;Zámeno;tie;Zámeno;umelecky_romany
6544;otázky;Podstatné meno;otázky;Podstatné meno;umelecky_romany
6545;Chcela;Sloveso;Chcela;Sloveso;umelecky_romany
6546;som;Sloveso;som;Sloveso;umelecky_romany
6547;jej;Zámeno;jej;Zámeno;umelecky_romany
6548;povedať;Sloveso;povedať;Sloveso;umelecky_romany
6549;o;Citoslovce;o;Predložka;umelecky_romany
6550;zdôveriť;Sloveso;zdôveriť;Sloveso;umelecky_romany
6551;so;Predložka;so;Predložka;umelecky_romany
6552;všetkým;Zámeno;všetkým;Zámeno;umelecky_romany
6553;čo;Zámeno;čo;Zámeno;umelecky_romany
6554;cítim;Sloveso;cítim;Sloveso;umelecky_romany
6555;Bolo;Sloveso;Bolo;Sloveso;umelecky_romany
6556;to;Zámeno;to;Zámeno;umelecky_romany
6557;niečo;Zámeno;niečo;Zámeno;umelecky_romany
6558;nové;Prídavné meno;nové;Prídavné meno;umelecky_romany
6559;Neuveriteľné;Prídavné meno;Neuveriteľné;Prídavné meno;umelecky_romany
6560;zvolala;Sloveso;zvolala;Sloveso;umelecky_romany
6561;moment;Podstatné meno;moment;Podstatné meno;umelecky_romany
6562;skočila;Sloveso;skočila;Sloveso;umelecky_romany
6563;mi;Zámeno;mi;Zámeno;umelecky_romany
6564;do;Citoslovce;do;Predložka;umelecky_romany
6565;reči;Podstatné meno;reči;Podstatné meno;umelecky_romany
6566;som;Sloveso;som;Sloveso;umelecky_romany
6567;jej;Zámeno;jej;Zámeno;umelecky_romany
6568;poznala;Sloveso;poznala;Sloveso;umelecky_romany
6569;že;Spojka;že;Spojka;umelecky_romany
6570;ju;Zámeno;ju;Zámeno;umelecky_romany
6571;to;Zámeno;to;Zámeno;umelecky_romany
6572;zaskočilo;Sloveso;zaskočilo;Sloveso;umelecky_romany
6573;Teba;Zámeno;Teba;Zámeno;umelecky_romany
6574;pobozkal;Sloveso;pobozkal;Sloveso;umelecky_romany
6575;som;Sloveso;som;Sloveso;umelecky_romany
6576;sa;Zámeno;sa;Zvratné zámeno;umelecky_romany
6577;veci;Podstatné meno;veci;Podstatné meno;umelecky_romany
6578;namietla;Sloveso;namietla;Sloveso;umelecky_romany
6579;čo;Zámeno;čo;Zámeno;umelecky_romany
6580;bol;Podstatné meno;bol;Sloveso;umelecky_romany
6581;pre;Predložka;pre;Predložka;umelecky_romany
6582;mňa;Zámeno;mňa;Zámeno;umelecky_romany
6583;jasný;Prídavné meno;jasný;Prídavné meno;umelecky_romany
6584;signál;Podstatné meno;signál;Podstatné meno;umelecky_romany
6585;lesklé;Prídavné meno;lesklé;Prídavné meno;umelecky_romany
6586;plavé;Prídavné meno;plavé;Prídavné meno;umelecky_romany
6587;vlasy;Podstatné meno;vlasy;Podstatné meno;umelecky_romany
6588;a;Spojka;a;Spojka;umelecky_romany
6589;bohovskú;Prídavné meno;bohovskú;Prídavné meno;umelecky_romany
6590;postavu;Podstatné meno;postavu;Podstatné meno;umelecky_romany
6591;Vtom;Príslovka;Vtom;Príslovka;umelecky_romany
6592;som;Sloveso;som;Sloveso;umelecky_romany
6593;si;Zámeno;si;Zvratné zámeno;umelecky_romany
6594;uvedomila;Sloveso;uvedomila;Sloveso;umelecky_romany
6595;že;Spojka;že;Spojka;umelecky_romany
6596;na;Citoslovce;na;Predložka;umelecky_romany
6597;druhý;Číslovka;druhý;Číslovka;umelecky_romany
6598;deň;Podstatné meno;deň;Podstatné meno;umelecky_romany
6599;máme;Sloveso;máme;Sloveso;umelecky_romany
6600;preteky;Podstatné meno;preteky;Podstatné meno;umelecky_romany
6601;Odložila;Sloveso;Odložila;Sloveso;umelecky_romany
6602;som;Sloveso;som;Sloveso;umelecky_romany
6603;knihu;Podstatné meno;knihu;Podstatné meno;umelecky_romany
6604;a;Spojka;a;Spojka;umelecky_romany
6605;otvorila;Sloveso;otvorila;Sloveso;umelecky_romany
6606;zošit;Podstatné meno;zošit;Podstatné meno;umelecky_romany
6607;z;Podstatné meno;z;Predložka;umelecky_romany
6608;angličtiny;Podstatné meno;angličtiny;Podstatné meno;umelecky_romany
6609;kapitola;Podstatné meno;kapitola;Podstatné meno;umelecky_romany
6610;Zmeravela;Sloveso;Zmeravela;Sloveso;umelecky_romany
6611;som;Sloveso;som;Sloveso;umelecky_romany
6612;keď;Spojka;keď;Spojka;umelecky_romany
6613;na;Citoslovce;na;Predložka;umelecky_romany
6614;druhý;Číslovka;druhý;Číslovka;umelecky_romany
6615;deň;Podstatné meno;deň;Podstatné meno;umelecky_romany
6616;desať;Číslovka;desať;Číslovka;umelecky_romany
6617;minút;Podstatné meno;minút;Podstatné meno;umelecky_romany
6618;na;Citoslovce;na;Predložka;umelecky_romany
6619;hodinu;Podstatné meno;hodinu;Podstatné meno;umelecky_romany
6620;astronómie;Podstatné meno;astronómie;Podstatné meno;umelecky_romany
6621;Trúfa;Sloveso;Trúfa;Sloveso;umelecky_romany
6622;si;Zámeno;si;Zvratné zámeno;umelecky_romany
6623;pošepla;Sloveso;pošepla;Sloveso;umelecky_romany
6624;som;Sloveso;som;Sloveso;umelecky_romany
6625;Mlčky;Príslovka;Mlčky;Príslovka;umelecky_romany
6626;ho;Zámeno;ho;Zámeno;umelecky_romany
6627;sledovala;Sloveso;sledovala;Sloveso;umelecky_romany
6628;celá;Podstatné meno;celá;Prídavné meno;umelecky_romany
6629;trieda;Podstatné meno;trieda;Podstatné meno;umelecky_romany
6630;Vtom;Príslovka;Vtom;Príslovka;umelecky_romany
6631;si;Zámeno;si;Zvratné zámeno;umelecky_romany
6632;vesmíru;Podstatné meno;vesmíru;Podstatné meno;umelecky_romany
6633;ktorý;Zámeno;ktorý;Zámeno;umelecky_romany
6634;učiteľ;Podstatné meno;učiteľ;Podstatné meno;umelecky_romany
6635;vytiahol;Sloveso;vytiahol;Sloveso;umelecky_romany
6636;na;Citoslovce;na;Predložka;umelecky_romany
6637;ukážku;Podstatné meno;ukážku;Podstatné meno;umelecky_romany
6638;chytil;Sloveso;chytil;Sloveso;umelecky_romany
6639;sa;Zámeno;sa;Zvratné zámeno;umelecky_romany
6640;za;Predložka;za;Predložka;umelecky_romany
6641;srdce;Podstatné meno;srdce;Podstatné meno;umelecky_romany
6642;a;Spojka;a;Spojka;umelecky_romany
6643;predstieral;Sloveso;predstieral;Sloveso;umelecky_romany
6644;že;Spojka;že;Spojka;umelecky_romany
6645;padá;Sloveso;padá;Sloveso;umelecky_romany
6646;dozadu;Príslovka;dozadu;Príslovka;umelecky_romany
6647;V;Skratka;V;Predložka;umelecky_romany
6648;poslednej;Prídavné meno;poslednej;Číslovka;umelecky_romany
6649;chvíli;Podstatné meno;chvíli;Podstatné meno;umelecky_romany
6650;sa;Zámeno;sa;Zvratné zámeno;umelecky_romany
6651;chytil;Sloveso;chytil;Sloveso;umelecky_romany
6652;zárubne;Podstatné meno;zárubne;Podstatné meno;umelecky_romany
6653;Zastavte;Sloveso;Zastavte;Sloveso;umelecky_romany
6654;svet;Podstatné meno;svet;Podstatné meno;umelecky_romany
6655;nech;Spojka;nech;Spojka;umelecky_romany
6656;sa;Zámeno;sa;Zvratné zámeno;umelecky_romany
6657;prestane;Sloveso;prestane;Sloveso;umelecky_romany
6658;krútiť;Sloveso;krútiť;Sloveso;umelecky_romany
6659;zvolal;Sloveso;zvolal;Sloveso;umelecky_romany
6660;Fajn;Prídavné meno;Fajn;Častica;umelecky_romany
6661;odvetil;Sloveso;odvetil;Sloveso;umelecky_romany
6662;prechádzal;Sloveso;prechádzal;Sloveso;umelecky_romany
6663;okolo;Príslovka;okolo;Predložka;umelecky_romany
6664;modelu;Podstatné meno;modelu;Podstatné meno;umelecky_romany
6665;rozkrútil;Sloveso;rozkrútil;Sloveso;umelecky_romany
6666;prstence;Podstatné meno;prstence;Podstatné meno;umelecky_romany
6667;sa;Zámeno;sa;Zvratné zámeno;umelecky_romany
6668;všeličo;Zámeno;všeličo;Zámeno;umelecky_romany
6669;vypytoval;Sloveso;vypytoval;Sloveso;umelecky_romany
6670;zapisoval;Sloveso;zapisoval;Sloveso;umelecky_romany
6671;každé;Zámeno;každé;Zámeno;umelecky_romany
6672;jeho;Zámeno;jeho;Zámeno;umelecky_romany
6673;slovo;Podstatné meno;slovo;Podstatné meno;umelecky_romany
6674;Pokiaľ;Zámeno;Pokiaľ;Spojka;umelecky_romany
6675;išlo;Sloveso;išlo;Sloveso;umelecky_romany
6676;o;Citoslovce;o;Predložka;umelecky_romany
6677;poznámky;Podstatné meno;poznámky;Podstatné meno;umelecky_romany
6678;profesionál;Podstatné meno;profesionál;Podstatné meno;umelecky_romany
6679;Mal;Skratka;Mal;Sloveso;umelecky_romany
6680;ohromnú;Prídavné meno;ohromnú;Prídavné meno;umelecky_romany
6681;prax;Podstatné meno;prax;Podstatné meno;umelecky_romany
6682;zo;Častice;zo;Predložka;umelecky_romany
6683;školských;Prídavné meno;školských;Prídavné meno;umelecky_romany
6684;novín;Podstatné meno;novín;Podstatné meno;umelecky_romany
6685;Hrom;Podstatné meno;Hrom;Podstatné meno;umelecky_romany
6686;Pán;Podstatné meno;Pán;Podstatné meno;umelecky_romany
6687;rukou;Podstatné meno;rukou;Podstatné meno;umelecky_romany
6688;som;Sloveso;som;Sloveso;umelecky_romany
6689;ste;Číslovka;ste;Sloveso;umelecky_romany
6690;dali;Sloveso;dali;Sloveso;umelecky_romany
6691;pred;Predložka;pred;Predložka;umelecky_romany
6692;chvíľou;Podstatné meno;chvíľou;Podstatné meno;umelecky_romany
6693;slečne;Podstatné meno;slečne;Podstatné meno;umelecky_romany
6694;mora;Podstatné meno;mora;Podstatné meno;umelecky_romany
6695;To;Zámeno;To;Zámeno;umelecky_romany
6696;je;Sloveso;je;Sloveso;umelecky_romany
6697;legálne;Príslovka;legálne;Prídavné meno;umelecky_romany
6698;vykríkol;Sloveso;vykríkol;Sloveso;umelecky_romany
6699;ktosi;Zámeno;ktosi;Zámeno;umelecky_romany
6700;a;Spojka;a;Spojka;umelecky_romany
6701;všetci;Zámeno;všetci;Zámeno;umelecky_romany
6702;sa;Zámeno;sa;Zvratné zámeno;umelecky_romany
6703;pustili;Sloveso;pustili;Sloveso;umelecky_romany
6704;do;Citoslovce;do;Predložka;umelecky_romany
6705;rehotu;Podstatné meno;rehotu;Podstatné meno;umelecky_romany
6706;Je;Sloveso;Je;Sloveso;umelecky_romany
6707;to;Zámeno;to;Zámeno;umelecky_romany
6708;tradícia;Podstatné meno;tradícia;Podstatné meno;umelecky_romany
6709;pozrieť;Sloveso;pozrieť;Sloveso;umelecky_romany
6710;Jeho;Zámeno;Jeho;Zámeno;umelecky_romany
6711;monotónny;Prídavné meno;monotónny;Prídavné meno;umelecky_romany
6712;hlas;Podstatné meno;hlas;Podstatné meno;umelecky_romany
6713;mi;Zámeno;mi;Zámeno;umelecky_romany
6714;pripadal;Sloveso;pripadal;Sloveso;umelecky_romany
6715;znesiteľný;Prídavné meno;znesiteľný;Prídavné meno;umelecky_romany
6716;až;Príslovka;až;Častica;umelecky_romany
6717;dovčera;Príslovka;dovčera;Neurčiteľný slovný druh;umelecky_romany
6718;keď;Spojka;keď;Spojka;umelecky_romany
6719;mu;Zámeno;mu;Zámeno;umelecky_romany
6720;chýba;Sloveso;chýba;Sloveso;umelecky_romany
6721;iskra;Podstatné meno;iskra;Podstatné meno;umelecky_romany
6722;Usilujem;Sloveso;Usilujem;Sloveso;umelecky_romany
6723;sa;Zámeno;sa;Zvratné zámeno;umelecky_romany
6724;počúvať;Sloveso;počúvať;Sloveso;umelecky_romany
6725;ale;Spojka;ale;Spojka;umelecky_romany
6726;myslím;Sloveso;myslím;Sloveso;umelecky_romany
6727;pritom;Príslovka;pritom;Príslovka;umelecky_romany
6728;na;Citoslovce;na;Predložka;umelecky_romany
6729;ukradomky;Príslovka;ukradomky;Príslovka;umelecky_romany
6730;pozriem;Sloveso;pozriem;Sloveso;umelecky_romany
6731;bez;Predložka;bez;Predložka;umelecky_romany
6732;toho;Zámeno;toho;Zámeno;umelecky_romany
6733;aby;Spojka;aby;Spojka;umelecky_romany
6734;som;Sloveso;som;Sloveso;umelecky_romany
6735;pohla;Sloveso;pohla;Sloveso;umelecky_romany
6736;hlavou;Podstatné meno;hlavou;Podstatné meno;umelecky_romany
6737;Zrazu;Príslovka;Zrazu;Príslovka;umelecky_romany
6738;kde;Príslovka;kde;Zámeno;umelecky_romany
6739;je;Sloveso;je;Sloveso;umelecky_romany
6740;ale;Spojka;ale;Spojka;umelecky_romany
6741;v;Predložka;v;Predložka;umelecky_romany
6742;triede;Podstatné meno;triede;Podstatné meno;umelecky_romany
6743;bolo;Sloveso;bolo;Sloveso;umelecky_romany
6744;ticho;Podstatné meno;ticho;Podstatné meno;umelecky_romany
6745;Snažili;Sloveso;Snažili;Sloveso;umelecky_romany
6746;sa;Zámeno;sa;Zvratné zámeno;umelecky_romany
6747;zachytiť;Sloveso;zachytiť;Sloveso;umelecky_romany
6748;každučké;Zámeno;každučké;Prídavné meno;umelecky_romany
6749;jeho;Zámeno;jeho;Zámeno;umelecky_romany
6750;slovo;Podstatné meno;slovo;Podstatné meno;umelecky_romany
6751;Iba;Príslovka;Iba;Častica;umelecky_romany
6752;my;Zámeno;my;Zámeno;umelecky_romany
6753;s;Podstatné meno;s;Predložka;umelecky_romany
6754;zúrivo;Príslovka;zúrivo;Príslovka;umelecky_romany
6755;lavicami;Podstatné meno;lavicami;Podstatné meno;umelecky_romany
6756;Ak;Príslovka;Ak;Spojka;umelecky_romany
6757;mám;Sloveso;mám;Sloveso;umelecky_romany
6758;byť;Sloveso;byť;Sloveso;umelecky_romany
6759;úprimná;Prídavné meno;úprimná;Prídavné meno;umelecky_romany
6760;ešte;Príslovka;ešte;Častica;umelecky_romany
6761;včera;Príslovka;včera;Príslovka;umelecky_romany
6762;by;Spojka;by;Kondicionálová morféma;umelecky_romany
6763;som;Sloveso;som;Sloveso;umelecky_romany
6764;odušu;Príslovka;odušu;Príslovka;umelecky_romany
6765;písala;Sloveso;písala;Sloveso;umelecky_romany
6766;ako;Spojka;ako;Spojka;umelecky_romany
6767;ostatní;Prídavné meno;ostatní;Prídavné meno;umelecky_romany
6768;spolužiaci;Podstatné meno;spolužiaci;Podstatné meno;umelecky_romany
6769;a;Spojka;a;Spojka;umelecky_romany
6770;zbadal;Sloveso;zbadal;Sloveso;umelecky_romany
6771;že;Spojka;že;Spojka;umelecky_romany
6772;naňho;Zámeno;naňho;Zámeno;umelecky_romany
6773;pozerám;Sloveso;pozerám;Sloveso;umelecky_romany
6774;akoby;Spojka;akoby;Spojka;umelecky_romany
6775;mi;Zámeno;mi;Zámeno;umelecky_romany
6776;čítal;Sloveso;čítal;Sloveso;umelecky_romany
6777;myšlienky;Podstatné meno;myšlienky;Podstatné meno;umelecky_romany
6778;Asi;Častice;Asi;Častica;umelecky_romany
6779;mal;Skratka;mal;Sloveso;umelecky_romany
6780;na;Citoslovce;na;Predložka;umelecky_romany
6781;mysli;Sloveso;mysli;Podstatné meno;umelecky_romany
6782;ten;Zámeno;ten;Zámeno;umelecky_romany
6783;lístok;Podstatné meno;lístok;Podstatné meno;umelecky_romany
6784;Začervenala;Sloveso;Začervenala;Sloveso;umelecky_romany
6785;som;Sloveso;som;Sloveso;umelecky_romany
6786;sa;Zámeno;sa;Zvratné zámeno;umelecky_romany
6787;ale;Spojka;ale;Spojka;umelecky_romany
6788;s;Podstatné meno;s;Predložka;umelecky_romany
6789;úsmevom;Podstatné meno;úsmevom;Podstatné meno;umelecky_romany
6790;som;Sloveso;som;Sloveso;umelecky_romany
6791;pokrčila;Sloveso;pokrčila;Sloveso;umelecky_romany
6792;plecami;Podstatné meno;plecami;Podstatné meno;umelecky_romany
6793;Škoda;Podstatné meno;Škoda;Častica;umelecky_romany
6794;že;Spojka;že;Spojka;umelecky_romany
6795;nezáživný;Prídavné meno;nezáživný;Prídavné meno;umelecky_romany
6796;profesor;Podstatné meno;profesor;Podstatné meno;umelecky_romany
6797;pretože;Spojka;pretože;Spojka;umelecky_romany
6798;astronómia;Podstatné meno;astronómia;Podstatné meno;umelecky_romany
6799;ktorú;Zámeno;ktorú;Zámeno;umelecky_romany
6800;sme;Sloveso;sme;Sloveso;umelecky_romany
6801;tento;Zámeno;tento;Zámeno;umelecky_romany
6802;týždeň;Podstatné meno;týždeň;Podstatné meno;umelecky_romany
6803;preberali;Sloveso;preberali;Sloveso;umelecky_romany
6804;mi;Zámeno;mi;Zámeno;umelecky_romany
6805;pripadala;Sloveso;pripadala;Sloveso;umelecky_romany
6806;nesmierne;Príslovka;nesmierne;Príslovka;umelecky_romany
6807;zaujímavá;Prídavné meno;zaujímavá;Prídavné meno;umelecky_romany
6808;Teraz;Príslovka;Teraz;Príslovka;umelecky_romany
6809;som;Sloveso;som;Sloveso;umelecky_romany
6810;však;Spojka;však;Častica;umelecky_romany
6811;pocítila;Sloveso;pocítila;Sloveso;umelecky_romany
6812;akúsi;Zámeno;akúsi;Zámeno;umelecky_romany
6813;neznámu;Podstatné meno;neznámu;Prídavné meno;umelecky_romany
6814;magnetickú;Prídavné meno;magnetickú;Prídavné meno;umelecky_romany
6815;silu;Podstatné meno;silu;Podstatné meno;umelecky_romany
6816;že;Spojka;že;Spojka;umelecky_romany
6817;veštia;Sloveso;veštia;Sloveso;umelecky_romany
6818;nejaké;Zámeno;nejaké;Zámeno;umelecky_romany
6819;zásadné;Prídavné meno;zásadné;Prídavné meno;umelecky_romany
6820;zmeny;Podstatné meno;zmeny;Podstatné meno;umelecky_romany
6821;Prekvapil;Sloveso;Prekvapil;Sloveso;umelecky_romany
6822;ma;Zámeno;ma;Zámeno;umelecky_romany
6823;humor;Podstatné meno;humor;Podstatné meno;umelecky_romany
6824;Keď;Spojka;Keď;Spojka;umelecky_romany
6825;dvojica;Podstatné meno;dvojica;Podstatné meno;umelecky_romany
6826;a;Spojka;a;Spojka;umelecky_romany
6827;spýtavo;Príslovka;spýtavo;Príslovka;umelecky_romany
6828;na;Citoslovce;na;Predložka;umelecky_romany
6829;mňa;Zámeno;mňa;Zámeno;umelecky_romany
6830;pozrel;Sloveso;pozrel;Sloveso;umelecky_romany
6831;pričom;Spojka;pričom;Spojka;umelecky_romany
6832;nadvihol;Sloveso;nadvihol;Sloveso;umelecky_romany
6833;obočie;Podstatné meno;obočie;Podstatné meno;umelecky_romany
6834;Prikývla;Sloveso;Prikývla;Sloveso;umelecky_romany
6835;som;Sloveso;som;Sloveso;umelecky_romany
6836;Vzápätí;Príslovka;Vzápätí;Príslovka;umelecky_romany
6837;som;Sloveso;som;Sloveso;umelecky_romany
6838;to;Zámeno;to;Zámeno;umelecky_romany
6839;však;Spojka;však;Častica;umelecky_romany
6840;oľutovala;Sloveso;oľutovala;Sloveso;umelecky_romany
6841;Spomenula;Sloveso;Spomenula;Sloveso;umelecky_romany
6842;som;Sloveso;som;Sloveso;umelecky_romany
6843;si;Zámeno;si;Zvratné zámeno;umelecky_romany
6844;na;Citoslovce;na;Predložka;umelecky_romany
6845;si;Zámeno;si;Sloveso;umelecky_romany
6846;sa;Zámeno;sa;Zvratné zámeno;umelecky_romany
6847;dať;Sloveso;dať;Sloveso;umelecky_romany
6848;dokopy;Príslovka;dokopy;Príslovka;umelecky_romany
6849;s;Podstatné meno;s;Predložka;umelecky_romany
6850;jej;Zámeno;jej;Zámeno;umelecky_romany
6851;šeptom;Príslovka;šeptom;Príslovka;umelecky_romany
6852;Vyspevovali;Sloveso;Vyspevovali;Sloveso;umelecky_romany
6853;sme;Sloveso;sme;Sloveso;umelecky_romany
6854;odrhovačky;Podstatné meno;odrhovačky;Podstatné meno;umelecky_romany
6855;občas;Príslovka;občas;Príslovka;umelecky_romany
6856;sme;Sloveso;sme;Sloveso;umelecky_romany
6857;lúštili;Sloveso;lúštili;Sloveso;umelecky_romany
6858;krížovky;Podstatné meno;krížovky;Podstatné meno;umelecky_romany
6859;alebo;Spojka;alebo;Spojka;umelecky_romany
6860;sa;Zámeno;sa;Zvratné zámeno;umelecky_romany
6861;hrali;Sloveso;hrali;Sloveso;umelecky_romany
6862;slovné;Prídavné meno;slovné;Prídavné meno;umelecky_romany
6863;hry;Podstatné meno;hry;Podstatné meno;umelecky_romany
6864;že;Spojka;že;Spojka;umelecky_romany
6865;mama;Podstatné meno;mama;Podstatné meno;umelecky_romany
6866;by;Spojka;by;Kondicionálová morféma;umelecky_romany
6867;ma;Zámeno;ma;Zámeno;umelecky_romany
6868;pustila;Sloveso;pustila;Sloveso;umelecky_romany
6869;Uvítala;Sloveso;Uvítala;Sloveso;umelecky_romany
6870;každú;Zámeno;každú;Zámeno;umelecky_romany
6871;príležitosť;Podstatné meno;príležitosť;Podstatné meno;umelecky_romany
6872;aby;Spojka;aby;Spojka;umelecky_romany
6873;som;Sloveso;som;Sloveso;umelecky_romany
6874;vypadla;Sloveso;vypadla;Sloveso;umelecky_romany
6875;z;Podstatné meno;z;Predložka;umelecky_romany
6876;mesta;Podstatné meno;mesta;Podstatné meno;umelecky_romany
6877;na;Citoslovce;na;Predložka;umelecky_romany
6878;čerstvý;Prídavné meno;čerstvý;Prídavné meno;umelecky_romany
6879;vzduch;Podstatné meno;vzduch;Podstatné meno;umelecky_romany
6880;Tento;Zámeno;Tento;Zámeno;umelecky_romany
6881;víkend;Podstatné meno;víkend;Podstatné meno;umelecky_romany
6882;ostanem;Sloveso;ostanem;Sloveso;umelecky_romany
6883;doma;Príslovka;doma;Príslovka;umelecky_romany
6884;Chcem;Sloveso;Chcem;Sloveso;umelecky_romany
6885;dokončiť;Sloveso;dokončiť;Sloveso;umelecky_romany
6886;prácu;Podstatné meno;prácu;Podstatné meno;umelecky_romany
6887;z;Podstatné meno;z;Predložka;umelecky_romany
6888;angličtiny;Podstatné meno;angličtiny;Podstatné meno;umelecky_romany
6889;kapitola;Podstatné meno;kapitola;Podstatné meno;umelecky_romany
6890;S;Skratka;S;Predložka;umelecky_romany
6891;Rýchlikom;Podstatné meno;Rýchlikom;Podstatné meno;umelecky_romany
6892;povedal;Sloveso;povedal;Sloveso;umelecky_romany
6893;Tá;Zámeno;Tá;Zámeno;umelecky_romany
