;Slovo;Slovný druh;Jazykový štýl
10529;ktorom;Zámeno;umelecky_romany
10530;ma;Zámeno;umelecky_romany
10531;bozkával;Sloveso;umelecky_romany
10532;.;Interpunkcia;umelecky_romany
10533;“;Interpunkcia;umelecky_romany
10534;Amy;Podstatné meno;umelecky_romany
10535;,;Interpunkcia;umelecky_romany
10536;“;Interpunkcia;umelecky_romany
10537;povedal;Sloveso;umelecky_romany
10538;a;Spojka;umelecky_romany
10539;jemne;Príslovka;umelecky_romany
10540;ma;Zámeno;umelecky_romany
10541;chytil;Sloveso;umelecky_romany
10542;za;Predložka;umelecky_romany
10543;lakeť;Podstatné meno;umelecky_romany
10544;.;Interpunkcia;umelecky_romany
10545;I;Spojka;umelecky_romany
10546;keď;Spojka;umelecky_romany
10547;som;Sloveso;umelecky_romany
10548;mala;Sloveso;umelecky_romany
10549;na;Predložka;umelecky_romany
10550;sebe;Zámeno;umelecky_romany
10551;jeho;Zámeno;umelecky_romany
10552;bundu;Podstatné meno;umelecky_romany
10553;,;Interpunkcia;umelecky_romany
10554;naskočila;Sloveso;umelecky_romany
10555;mi;Zámeno;umelecky_romany
10556;husia;Prídavné meno;umelecky_romany
10557;koža;Podstatné meno;umelecky_romany
10558;,;Interpunkcia;umelecky_romany
10559;ale;Spojka;umelecky_romany
10560;neuhla;Sloveso;umelecky_romany
10561;som;Sloveso;umelecky_romany
10562;sa;Zvratné zámeno;umelecky_romany
10563;.;Interpunkcia;umelecky_romany
10564;Vôbec;Častica;umelecky_romany
10565;nič;Zámeno;umelecky_romany
10566;.;Interpunkcia;umelecky_romany
10567;Videla;Sloveso;umelecky_romany
10568;som;Sloveso;umelecky_romany
10569;,;Interpunkcia;umelecky_romany
10570;že;Spojka;umelecky_romany
10571;Chrisovi;Podstatné meno;umelecky_romany
10572;síce;Spojka;umelecky_romany
10573;odľahlo;Sloveso;umelecky_romany
10574;,;Interpunkcia;umelecky_romany
10575;no;Spojka;umelecky_romany
10576;po;Predložka;umelecky_romany
10577;chvíli;Podstatné meno;umelecky_romany
10578;sa;Zvratné zámeno;umelecky_romany
10579;zasa;Príslovka;umelecky_romany
10580;tváril;Sloveso;umelecky_romany
10581;vážne;Príslovka;umelecky_romany
10582;.;Interpunkcia;umelecky_romany
10583;“;Interpunkcia;umelecky_romany
10584;Nechodím;Sloveso;umelecky_romany
10585;s;Predložka;umelecky_romany
10586;Rickom;Podstatné meno;umelecky_romany
10587;.;Interpunkcia;umelecky_romany
10588;Vylúčené;Príčastie - Sloveso;umelecky_romany
10589;,;Interpunkcia;umelecky_romany
10590;aby;Spojka;umelecky_romany
10591;sa;Zvratné zámeno;umelecky_romany
10592;Chris;Podstatné meno;umelecky_romany
10593;dozvedel;Sloveso;umelecky_romany
10594;,;Interpunkcia;umelecky_romany
10595;že;Spojka;umelecky_romany
10596;ma;Zámeno;umelecky_romany
10597;Rick;Podstatné meno;umelecky_romany
10598;pobozkal;Sloveso;umelecky_romany
10599;.;Interpunkcia;umelecky_romany
10600;Stalo;Sloveso;umelecky_romany
10601;sa;Zvratné zámeno;umelecky_romany
10602;to;Zámeno;umelecky_romany
10603;len;Častica;umelecky_romany
10604;včera;Príslovka;umelecky_romany
10605;večer;Príslovka;umelecky_romany
10606;a;Spojka;umelecky_romany
10607;Rick;Podstatné meno;umelecky_romany
10608;sa;Zvratné zámeno;umelecky_romany
10609;určite;Častica;umelecky_romany
10610;pred;Predložka;umelecky_romany
10611;chalanmi;Podstatné meno;umelecky_romany
10612;nevyťahoval;Sloveso;umelecky_romany
10613;,;Interpunkcia;umelecky_romany
10614;ako;Spojka;umelecky_romany
10615;vlažne;Príslovka;umelecky_romany
10616;som;Sloveso;umelecky_romany
10617;ho;Zámeno;umelecky_romany
10618;odbila;Sloveso;umelecky_romany
10619;.;Interpunkcia;umelecky_romany
10620;Určite;Častica;umelecky_romany
10621;bol;Sloveso;umelecky_romany
10622;nervózny;Prídavné meno;umelecky_romany
10623;,;Interpunkcia;umelecky_romany
10624;lebo;Spojka;umelecky_romany
10625;hlas;Podstatné meno;umelecky_romany
10626;mu;Zámeno;umelecky_romany
10627;v;Predložka;umelecky_romany
10628;tej;Zámeno;umelecky_romany
10629;krátkej;Prídavné meno;umelecky_romany
10630;vete;Podstatné meno;umelecky_romany
10631;preskočil;Sloveso;umelecky_romany
10632;do;Predložka;umelecky_romany
10633;fistuly;Podstatné meno;umelecky_romany
10634;ako;Spojka;umelecky_romany
10635;rozladené;Príčastie - Sloveso;umelecky_romany
10636;rádio;Podstatné meno;umelecky_romany
10637;.;Interpunkcia;umelecky_romany
10638;Prečo;Zámeno;umelecky_romany
10639;nechodím;Sloveso;umelecky_romany
10640;na;Predložka;umelecky_romany
10641;rande;Podstatné meno;umelecky_romany
10642;?;Interpunkcia;umelecky_romany
10643;Neviem;Sloveso;umelecky_romany
10644;.;Interpunkcia;umelecky_romany
10645;“;Interpunkcia;umelecky_romany
10646;Musíš;Sloveso;umelecky_romany
10647;vyslať;Sloveso;umelecky_romany
10648;signál;Podstatné meno;umelecky_romany
10649;,;Interpunkcia;umelecky_romany
10650;“;Interpunkcia;umelecky_romany
10651;hovorieva;Sloveso;umelecky_romany
10652;mi;Zámeno;umelecky_romany
10653;.;Interpunkcia;umelecky_romany
10654;Až;Častica;umelecky_romany
10655;doteraz;Príslovka;umelecky_romany
10656;.;Interpunkcia;umelecky_romany
10657;Usmiala;Sloveso;umelecky_romany
10658;som;Sloveso;umelecky_romany
10659;sa;Zvratné zámeno;umelecky_romany
10660;na;Predložka;umelecky_romany
10661;Chrisa;Podstatné meno;umelecky_romany
10662;,;Interpunkcia;umelecky_romany
10663;a;Spojka;umelecky_romany
10664;on;Zámeno;umelecky_romany
10665;sa;Zvratné zámeno;umelecky_romany
10666;uškrnul;Sloveso;umelecky_romany
10667;,;Interpunkcia;umelecky_romany
10668;ako;Spojka;umelecky_romany
10669;keby;Spojka;umelecky_romany
10670;mu;Zámeno;umelecky_romany
10671;naozaj;Častica;umelecky_romany
10672;odľahlo;Sloveso;umelecky_romany
10673;,;Interpunkcia;umelecky_romany
10674;že;Spojka;umelecky_romany
10675;súhlasím;Sloveso;umelecky_romany
10676;.;Interpunkcia;umelecky_romany
10677;“;Interpunkcia;umelecky_romany
10678;Fajn;Častica;umelecky_romany
10679;!;Interpunkcia;umelecky_romany
10680;“;Interpunkcia;umelecky_romany
10681;odvetil;Sloveso;umelecky_romany
10682;.;Interpunkcia;umelecky_romany
10683;“;Interpunkcia;umelecky_romany
10684;Hneď;Príslovka;umelecky_romany
10685;to;Zámeno;umelecky_romany
10686;bude;Sloveso;umelecky_romany
10687;,;Interpunkcia;umelecky_romany
10688;“;Interpunkcia;umelecky_romany
10689;odvetil;Sloveso;umelecky_romany
10690;.;Interpunkcia;umelecky_romany
10691;Dievča;Podstatné meno;umelecky_romany
10692;sa;Zvratné zámeno;umelecky_romany
10693;zaľúbi;Sloveso;umelecky_romany
10694;ako;Spojka;umelecky_romany
10695;moja;Zámeno;umelecky_romany
10696;mama;Podstatné meno;umelecky_romany
10697;,;Interpunkcia;umelecky_romany
10698;a;Spojka;umelecky_romany
10699;vzdá;Sloveso;umelecky_romany
10700;sa;Zvratné zámeno;umelecky_romany
10701;štúdia;Podstatné meno;umelecky_romany
10702;.;Interpunkcia;umelecky_romany
10703;Neobjal;Sloveso;umelecky_romany
10704;ma;Zámeno;umelecky_romany
10705;,;Interpunkcia;umelecky_romany
10706;nepriblížil;Sloveso;umelecky_romany
10707;sa;Zvratné zámeno;umelecky_romany
10708;ku;Predložka;umelecky_romany
10709;mne;Zámeno;umelecky_romany
10710;,;Interpunkcia;umelecky_romany
10711;ani;Spojka;umelecky_romany
10712;nezavrel;Sloveso;umelecky_romany
10713;oči;Podstatné meno;umelecky_romany
10714;.;Interpunkcia;umelecky_romany
10715;Bol;Sloveso;umelecky_romany
10716;to;Zámeno;umelecky_romany
10717;prekrásny;Prídavné meno;umelecky_romany
10718;pohľad;Podstatné meno;umelecky_romany
10719;.;Interpunkcia;umelecky_romany
10720;Sedela;Sloveso;umelecky_romany
10721;som;Sloveso;umelecky_romany
10722;vedľa;Predložka;umelecky_romany
10723;neho;Zámeno;umelecky_romany
10724;na;Predložka;umelecky_romany
10725;vrchole;Podstatné meno;umelecky_romany
10726;Squaw;Neurčiteľný slovný druh;umelecky_romany
10727;Peaku;Podstatné meno;umelecky_romany
10728;a;Spojka;umelecky_romany
10729;zmocnil;Sloveso;umelecky_romany
10730;sa;Zvratné zámeno;umelecky_romany
10731;ma;Zámeno;umelecky_romany
10732;pocit;Podstatné meno;umelecky_romany
10733;šťastia;Podstatné meno;umelecky_romany
10734;.;Interpunkcia;umelecky_romany
10735;“;Interpunkcia;umelecky_romany
10736;Uf;Citoslovce;umelecky_romany
10737;!;Interpunkcia;umelecky_romany
10738;“;Interpunkcia;umelecky_romany
10739;zamrmlala;Sloveso;umelecky_romany
10740;som;Sloveso;umelecky_romany
10741;.;Interpunkcia;umelecky_romany
10742;“;Interpunkcia;umelecky_romany
10743;Uhádla;Sloveso;umelecky_romany
10744;si;Sloveso;umelecky_romany
10745;,;Interpunkcia;umelecky_romany
10746;“;Interpunkcia;umelecky_romany
10747;povedal;Sloveso;umelecky_romany
10748;Chris;Podstatné meno;umelecky_romany
10749;a;Spojka;umelecky_romany
10750;obrátil;Sloveso;umelecky_romany
10751;sa;Zvratné zámeno;umelecky_romany
10752;ku;Predložka;umelecky_romany
10753;mne;Zámeno;umelecky_romany
10754;.;Interpunkcia;umelecky_romany
10755;Usmiala;Sloveso;umelecky_romany
10756;som;Sloveso;umelecky_romany
10757;sa;Zvratné zámeno;umelecky_romany
10758;.;Interpunkcia;umelecky_romany
10759;Myslel;Sloveso;umelecky_romany
10760;si;Zvratné zámeno;umelecky_romany
10761;,;Interpunkcia;umelecky_romany
10762;že;Spojka;umelecky_romany
10763;obdivujem;Sloveso;umelecky_romany
10764;západ;Podstatné meno;umelecky_romany
10765;slnka;Podstatné meno;umelecky_romany
10766;.;Interpunkcia;umelecky_romany
10767;3;Číslica;umelecky_romany
10768;.;Interpunkcia;umelecky_romany
10769;kapitola;Podstatné meno;umelecky_romany
10770;“;Interpunkcia;umelecky_romany
10771;PÄŤ;Číslovka;umelecky_romany
10772;TELEFONÁTOV;Podstatné meno;umelecky_romany
10773;!;Interpunkcia;umelecky_romany
10774;“;Interpunkcia;umelecky_romany
10775;zvolala;Sloveso;umelecky_romany
10776;som;Sloveso;umelecky_romany
10777;,;Interpunkcia;umelecky_romany
10778;keď;Spojka;umelecky_romany
10779;som;Sloveso;umelecky_romany
10780;zbadala;Sloveso;umelecky_romany
10781;,;Interpunkcia;umelecky_romany
10782;že;Spojka;umelecky_romany
10783;doma;Príslovka;umelecky_romany
10784;v;Predložka;umelecky_romany
10785;chodbe;Podstatné meno;umelecky_romany
10786;bliká;Sloveso;umelecky_romany
10787;svetielko;Podstatné meno;umelecky_romany
10788;na;Predložka;umelecky_romany
10789;odkazovači;Podstatné meno;umelecky_romany
10790;.;Interpunkcia;umelecky_romany
10791;Prvý;Číslovka;umelecky_romany
10792;,;Interpunkcia;umelecky_romany
10793;druhý;Číslovka;umelecky_romany
10794;,;Interpunkcia;umelecky_romany
10795;tretí;Číslovka;umelecky_romany
10796;aj;Častica;umelecky_romany
10797;štvrý;Číslovka;umelecky_romany
10798;odkaz;Podstatné meno;umelecky_romany
10799;mi;Zámeno;umelecky_romany
10800;nechala;Sloveso;umelecky_romany
10801;Blythe;Podstatné meno;umelecky_romany
10802;a;Spojka;umelecky_romany
10803;zneli;Sloveso;umelecky_romany
10804;čoraz;Príslovka;umelecky_romany
10805;rozčúlenejšie;Príslovka;umelecky_romany
10806;.;Interpunkcia;umelecky_romany
10807;Preboha;Citoslovce;umelecky_romany
10808;!;Interpunkcia;umelecky_romany
10809;“;Interpunkcia;umelecky_romany
10810;zvolala;Sloveso;umelecky_romany
10811;som;Sloveso;umelecky_romany
10812;a;Spojka;umelecky_romany
10813;udrela;Sloveso;umelecky_romany
10814;som;Sloveso;umelecky_romany
10815;sa;Zvratné zámeno;umelecky_romany
10816;po;Predložka;umelecky_romany
10817;čele;Podstatné meno;umelecky_romany
10818;.;Interpunkcia;umelecky_romany
10819;Celkom;Príslovka;umelecky_romany
10820;mi;Zámeno;umelecky_romany
10821;vyfučalo;Sloveso;umelecky_romany
10822;z;Predložka;umelecky_romany
10823;hlavy;Podstatné meno;umelecky_romany
10824;,;Interpunkcia;umelecky_romany
10825;že;Spojka;umelecky_romany
10826;som;Sloveso;umelecky_romany
10827;sa;Zvratné zámeno;umelecky_romany
10828;s;Predložka;umelecky_romany
10829;ňou;Zámeno;umelecky_romany
10830;mala;Sloveso;umelecky_romany
10831;stretnúť;Sloveso;umelecky_romany
10832;v;Predložka;umelecky_romany
10833;knižnici;Podstatné meno;umelecky_romany
10834;.;Interpunkcia;umelecky_romany
10835;Pozrela;Sloveso;umelecky_romany
10836;som;Sloveso;umelecky_romany
10837;na;Predložka;umelecky_romany
10838;hodinky;Podstatné meno;umelecky_romany
10839;.;Interpunkcia;umelecky_romany
10840;Dnes;Príslovka;umelecky_romany
10841;ma;Zámeno;umelecky_romany
10842;šéf;Podstatné meno;umelecky_romany
10843;pustil;Sloveso;umelecky_romany
10844;skôr;Príslovka;umelecky_romany
10845;,;Interpunkcia;umelecky_romany
10846;“;Interpunkcia;umelecky_romany
10847;povedala;Sloveso;umelecky_romany
10848;a;Spojka;umelecky_romany
10849;započúvala;Sloveso;umelecky_romany
10850;sa;Zvratné zámeno;umelecky_romany
10851;.;Interpunkcia;umelecky_romany
10852;“;Interpunkcia;umelecky_romany
10853;Mhm;Citoslovce;umelecky_romany
10854;,;Interpunkcia;umelecky_romany
10855;“;Interpunkcia;umelecky_romany
10856;zamrmlala;Sloveso;umelecky_romany
10857;som;Sloveso;umelecky_romany
10858;.;Interpunkcia;umelecky_romany
10859;Odjakživa;Príslovka;umelecky_romany
10860;som;Sloveso;umelecky_romany
10861;bola;Sloveso;umelecky_romany
10862;mamin;Prídavné meno;umelecky_romany
10863;poklad;Podstatné meno;umelecky_romany
10864;.;Interpunkcia;umelecky_romany
10865;Odmalička;Príslovka;umelecky_romany
10866;mi;Zámeno;umelecky_romany
10867;napríklad;Častica;umelecky_romany
10868;šila;Sloveso;umelecky_romany
10869;.;Interpunkcia;umelecky_romany
10870;Keď;Spojka;umelecky_romany
10871;som;Sloveso;umelecky_romany
10872;išla;Sloveso;umelecky_romany
10873;na;Predložka;umelecky_romany
10874;strednú;Podstatné meno;umelecky_romany
10875;,;Interpunkcia;umelecky_romany
10876;našla;Sloveso;umelecky_romany
10877;si;Zvratné zámeno;umelecky_romany
10878;ďalšie;Prídavné meno;umelecky_romany
10879;zamestnanie;Podstatné meno;umelecky_romany
10880;,;Interpunkcia;umelecky_romany
10881;aby;Spojka;umelecky_romany
10882;ušetrila;Sloveso;umelecky_romany
10883;pre;Predložka;umelecky_romany
10884;mňa;Zámeno;umelecky_romany
10885;na;Predložka;umelecky_romany
10886;vysokú;Podstatné meno;umelecky_romany
10887;,;Interpunkcia;umelecky_romany
10888;a;Spojka;umelecky_romany
10889;keď;Spojka;umelecky_romany
10890;som;Sloveso;umelecky_romany
10891;jej;Zámeno;umelecky_romany
10892;ďakovala;Sloveso;umelecky_romany
10893;,;Interpunkcia;umelecky_romany
10894;povedala;Sloveso;umelecky_romany
10895;mi;Zámeno;umelecky_romany
10896;:;Interpunkcia;umelecky_romany
10897;“;Interpunkcia;umelecky_romany
10898;Poďakuješ;Sloveso;umelecky_romany
10899;sa;Zvratné zámeno;umelecky_romany
10900;mi;Zámeno;umelecky_romany
10901;tým;Zámeno;umelecky_romany
10902;,;Interpunkcia;umelecky_romany
10903;že;Spojka;umelecky_romany
10904;získaš;Sloveso;umelecky_romany
10905;vzdelanie;Podstatné meno;umelecky_romany
10906;,;Interpunkcia;umelecky_romany
10907;ktoré;Zámeno;umelecky_romany
10908;ja;Zámeno;umelecky_romany
10909;nemám;Sloveso;umelecky_romany
10910;.;Interpunkcia;umelecky_romany
10911;“;Interpunkcia;umelecky_romany
10912;Mama;Podstatné meno;umelecky_romany
10913;sa;Zvratné zámeno;umelecky_romany
10914;pobrala;Sloveso;umelecky_romany
10915;do;Predložka;umelecky_romany
10916;kuchyne;Podstatné meno;umelecky_romany
10917;,;Interpunkcia;umelecky_romany
10918;no;Spojka;umelecky_romany
10919;na;Predložka;umelecky_romany
10920;polceste;Podstatné meno;umelecky_romany
10921;zastala;Sloveso;umelecky_romany
10922;.;Interpunkcia;umelecky_romany
10923;“;Interpunkcia;umelecky_romany
10924;Mami;Podstatné meno;umelecky_romany
10925;!;Interpunkcia;umelecky_romany
10926;“;Interpunkcia;umelecky_romany
10927;zvolala;Sloveso;umelecky_romany
10928;som;Sloveso;umelecky_romany
10929;.;Interpunkcia;umelecky_romany
10930;“;Interpunkcia;umelecky_romany
10931;Sme;Sloveso;umelecky_romany
10932;kamoši;Podstatné meno;umelecky_romany
10933;.;Interpunkcia;umelecky_romany
10934;“;Interpunkcia;umelecky_romany
10935;Vážne;Častica;umelecky_romany
10936;som;Sloveso;umelecky_romany
10937;chcela;Sloveso;umelecky_romany
10938;ísť;Sloveso;umelecky_romany
10939;po;Predložka;umelecky_romany
10940;tréningu;Podstatné meno;umelecky_romany
10941;za;Predložka;umelecky_romany
10942;tebou;Zámeno;umelecky_romany
10943;,;Interpunkcia;umelecky_romany
10944;ale;Spojka;umelecky_romany
10945;vyfučalo;Sloveso;umelecky_romany
10946;mi;Zámeno;umelecky_romany
10947;to;Zámeno;umelecky_romany
10948;z;Predložka;umelecky_romany
10949;hlavy;Podstatné meno;umelecky_romany
10950;.;Interpunkcia;umelecky_romany
10951;“;Interpunkcia;umelecky_romany
10952;Odkedy;Zámeno;umelecky_romany
10953;máš;Sloveso;umelecky_romany
10954;v;Predložka;umelecky_romany
10955;hlave;Podstatné meno;umelecky_romany
10956;piliny;Podstatné meno;umelecky_romany
10957;?;Interpunkcia;umelecky_romany
10958;“;Interpunkcia;umelecky_romany
10959;Prestaň;Sloveso;umelecky_romany
10960;zúriť;Sloveso;umelecky_romany
10961;,;Interpunkcia;umelecky_romany
10962;Blythe;Podstatné meno;umelecky_romany
10963;,;Interpunkcia;umelecky_romany
10964;“;Interpunkcia;umelecky_romany
10965;šepkala;Sloveso;umelecky_romany
10966;som;Sloveso;umelecky_romany
10967;do;Predložka;umelecky_romany
10968;slúchadla;Podstatné meno;umelecky_romany
10969;,;Interpunkcia;umelecky_romany
10970;aby;Spojka;umelecky_romany
10971;ma;Zámeno;umelecky_romany
10972;mama;Podstatné meno;umelecky_romany
10973;nepočula;Sloveso;umelecky_romany
10974;.;Interpunkcia;umelecky_romany
10975;“;Interpunkcia;umelecky_romany
10976;Chris;Podstatné meno;umelecky_romany
10977;Shepherd;Podstatné meno;umelecky_romany
10978;?;Interpunkcia;umelecky_romany
10979;“;Interpunkcia;umelecky_romany
10980;zvedavo;Príslovka;umelecky_romany
10981;vyhŕkla;Sloveso;umelecky_romany
10982;Blythe;Podstatné meno;umelecky_romany
10983;.;Interpunkcia;umelecky_romany
10984;“;Interpunkcia;umelecky_romany
10985;To;Zámeno;umelecky_romany
10986;nemyslíš;Sloveso;umelecky_romany
10987;vážne;Príslovka;umelecky_romany
10988;?;Interpunkcia;umelecky_romany
10989;Chceš;Sloveso;umelecky_romany
10990;povedať;Sloveso;umelecky_romany
10991;,;Interpunkcia;umelecky_romany
10992;že;Spojka;umelecky_romany
10993;Amy;Podstatné meno;umelecky_romany
10994;Wyseovej;Podstatné meno;umelecky_romany
10995;sa;Zvratné zámeno;umelecky_romany
10996;páči;Sloveso;umelecky_romany
10997;nejaký;Zámeno;umelecky_romany
10998;chalan;Podstatné meno;umelecky_romany
10999;?;Interpunkcia;umelecky_romany
11000;Zasmiala;Sloveso;umelecky_romany
11001;som;Sloveso;umelecky_romany
11002;sa;Zvratné zámeno;umelecky_romany
11003;,;Interpunkcia;umelecky_romany
11004;keď;Spojka;umelecky_romany
11005;vychrlila;Sloveso;umelecky_romany
11006;tie;Zámeno;umelecky_romany
11007;otázky;Podstatné meno;umelecky_romany
11008;.;Interpunkcia;umelecky_romany
11009;Chcela;Sloveso;umelecky_romany
11010;som;Sloveso;umelecky_romany
11011;jej;Zámeno;umelecky_romany
11012;povedať;Sloveso;umelecky_romany
11013;o;Predložka;umelecky_romany
11014;Chrisovi;Podstatné meno;umelecky_romany
11015;,;Interpunkcia;umelecky_romany
11016;ale;Spojka;umelecky_romany
11017;nedokázala;Sloveso;umelecky_romany
11018;som;Sloveso;umelecky_romany
11019;sa;Zvratné zámeno;umelecky_romany
11020;zdôveriť;Sloveso;umelecky_romany
11021;so;Predložka;umelecky_romany
11022;všetkým;Zámeno;umelecky_romany
11023;,;Interpunkcia;umelecky_romany
11024;čo;Zámeno;umelecky_romany
11025;cítim;Sloveso;umelecky_romany
11026;.;Interpunkcia;umelecky_romany
11027;Bolo;Sloveso;umelecky_romany
11028;to;Zámeno;umelecky_romany
11029;niečo;Zámeno;umelecky_romany
11030;nové;Prídavné meno;umelecky_romany
11031;.;Interpunkcia;umelecky_romany
11032;“;Interpunkcia;umelecky_romany
11033;Neuveriteľné;Prídavné meno;umelecky_romany
11034;!;Interpunkcia;umelecky_romany
11035;“;Interpunkcia;umelecky_romany
11036;zvolala;Sloveso;umelecky_romany
11037;Blythe;Podstatné meno;umelecky_romany
11038;.;Interpunkcia;umelecky_romany
11039;“;Interpunkcia;umelecky_romany
11040;Odkedy;Zámeno;umelecky_romany
11041;?;Interpunkcia;umelecky_romany
11042;“;Interpunkcia;umelecky_romany
11043;“;Interpunkcia;umelecky_romany
11044;No;Častica;umelecky_romany
11045;moment;Podstatné meno;umelecky_romany
11046;,;Interpunkcia;umelecky_romany
11047;“;Interpunkcia;umelecky_romany
11048;skočila;Sloveso;umelecky_romany
11049;mi;Zámeno;umelecky_romany
11050;do;Predložka;umelecky_romany
11051;reči;Podstatné meno;umelecky_romany
11052;Blythe;Podstatné meno;umelecky_romany
11053;.;Interpunkcia;umelecky_romany
11054;Na;Predložka;umelecky_romany
11055;hlase;Podstatné meno;umelecky_romany
11056;som;Sloveso;umelecky_romany
11057;jej;Zámeno;umelecky_romany
11058;poznala;Sloveso;umelecky_romany
11059;,;Interpunkcia;umelecky_romany
11060;že;Spojka;umelecky_romany
11061;ju;Zámeno;umelecky_romany
11062;to;Zámeno;umelecky_romany
11063;zaskočilo;Sloveso;umelecky_romany
11064;.;Interpunkcia;umelecky_romany
11065;Teba;Zámeno;umelecky_romany
11066;pobozkal;Sloveso;umelecky_romany
11067;Rick;Podstatné meno;umelecky_romany
11068;?;Interpunkcia;umelecky_romany
11069;Blythe;Podstatné meno;umelecky_romany
11070;si;Zvratné zámeno;umelecky_romany
11071;vydýchla;Sloveso;umelecky_romany
11072;.;Interpunkcia;umelecky_romany
11073;Zasmiala;Sloveso;umelecky_romany
11074;som;Sloveso;umelecky_romany
11075;sa;Zvratné zámeno;umelecky_romany
11076;.;Interpunkcia;umelecky_romany
11077;“;Interpunkcia;umelecky_romany
11078;Ricka;Podstatné meno;umelecky_romany
11079;zaujímajú;Sloveso;umelecky_romany
11080;vážne;Prídavné meno;umelecky_romany
11081;veci;Podstatné meno;umelecky_romany
11082;,;Interpunkcia;umelecky_romany
11083;“;Interpunkcia;umelecky_romany
11084;namietla;Sloveso;umelecky_romany
11085;Blythe;Podstatné meno;umelecky_romany
11086;.;Interpunkcia;umelecky_romany
11087;Blythe;Podstatné meno;umelecky_romany
11088;nesúhlasila;Sloveso;umelecky_romany
11089;.;Interpunkcia;umelecky_romany
11090;Vzdychla;Sloveso;umelecky_romany
11091;si;Zvratné zámeno;umelecky_romany
11092;.;Interpunkcia;umelecky_romany
11093;Blythe;Podstatné meno;umelecky_romany
11094;ostala;Sloveso;umelecky_romany
11095;chvíľu;Príslovka;umelecky_romany
11096;ticho;Príslovka;umelecky_romany
11097;,;Interpunkcia;umelecky_romany
11098;čo;Zámeno;umelecky_romany
11099;bol;Sloveso;umelecky_romany
11100;pre;Predložka;umelecky_romany
11101;mňa;Zámeno;umelecky_romany
11102;jasný;Prídavné meno;umelecky_romany
11103;signál;Podstatné meno;umelecky_romany
11104;.;Interpunkcia;umelecky_romany
11105;Blythe;Podstatné meno;umelecky_romany
11106;má;Sloveso;umelecky_romany
11107;dlhé;Prídavné meno;umelecky_romany
11108;lesklé;Prídavné meno;umelecky_romany
11109;plavé;Prídavné meno;umelecky_romany
11110;vlasy;Podstatné meno;umelecky_romany
11111;a;Spojka;umelecky_romany
11112;bohovskú;Prídavné meno;umelecky_romany
11113;postavu;Podstatné meno;umelecky_romany
11114;.;Interpunkcia;umelecky_romany
11115;Vtom;Príslovka;umelecky_romany
11116;som;Sloveso;umelecky_romany
11117;si;Zvratné zámeno;umelecky_romany
11118;uvedomila;Sloveso;umelecky_romany
11119;,;Interpunkcia;umelecky_romany
11120;že;Spojka;umelecky_romany
11121;na;Predložka;umelecky_romany
11122;druhý;Číslovka;umelecky_romany
11123;deň;Podstatné meno;umelecky_romany
11124;máme;Sloveso;umelecky_romany
11125;preteky;Podstatné meno;umelecky_romany
11126;.;Interpunkcia;umelecky_romany
11127;Odložila;Sloveso;umelecky_romany
11128;som;Sloveso;umelecky_romany
11129;knihu;Podstatné meno;umelecky_romany
11130;a;Spojka;umelecky_romany
11131;otvorila;Sloveso;umelecky_romany
11132;zošit;Podstatné meno;umelecky_romany
11133;z;Predložka;umelecky_romany
11134;angličtiny;Podstatné meno;umelecky_romany
11135;.;Interpunkcia;umelecky_romany
11136;4;Číslica;umelecky_romany
11137;.;Interpunkcia;umelecky_romany
11138;kapitola;Podstatné meno;umelecky_romany
11139;Zmeravela;Sloveso;umelecky_romany
11140;som;Sloveso;umelecky_romany
11141;,;Interpunkcia;umelecky_romany
11142;keď;Spojka;umelecky_romany
11143;na;Predložka;umelecky_romany
11144;druhý;Číslovka;umelecky_romany
11145;deň;Podstatné meno;umelecky_romany
11146;Chris;Podstatné meno;umelecky_romany
11147;meškal;Sloveso;umelecky_romany
11148;celých;Prídavné meno;umelecky_romany
11149;desať;Číslovka;umelecky_romany
11150;minút;Podstatné meno;umelecky_romany
11151;na;Predložka;umelecky_romany
11152;hodinu;Podstatné meno;umelecky_romany
11153;astronómie;Podstatné meno;umelecky_romany
11154;.;Interpunkcia;umelecky_romany
11155;“;Interpunkcia;umelecky_romany
11156;Trúfa;Sloveso;umelecky_romany
11157;si;Zvratné zámeno;umelecky_romany
11158;!;Interpunkcia;umelecky_romany
11159;“;Interpunkcia;umelecky_romany
11160;pošepla;Sloveso;umelecky_romany
11161;som;Sloveso;umelecky_romany
11162;.;Interpunkcia;umelecky_romany
11163;Mlčky;Príslovka;umelecky_romany
11164;ho;Zámeno;umelecky_romany
11165;sledovala;Sloveso;umelecky_romany
11166;celá;Prídavné meno;umelecky_romany
11167;trieda;Podstatné meno;umelecky_romany
11168;.;Interpunkcia;umelecky_romany
11169;Vtom;Príslovka;umelecky_romany
11170;si;Zvratné zámeno;umelecky_romany
11171;Chris;Podstatné meno;umelecky_romany
11172;všimol;Sloveso;umelecky_romany
11173;model;Podstatné meno;umelecky_romany
11174;vesmíru;Podstatné meno;umelecky_romany
11175;,;Interpunkcia;umelecky_romany
11176;ktorý;Zámeno;umelecky_romany
11177;učiteľ;Podstatné meno;umelecky_romany
11178;vytiahol;Sloveso;umelecky_romany
11179;na;Predložka;umelecky_romany
11180;ukážku;Podstatné meno;umelecky_romany
11181;,;Interpunkcia;umelecky_romany
11182;chytil;Sloveso;umelecky_romany
11183;sa;Zvratné zámeno;umelecky_romany
