Slovo;POSTAG;Slovo2;POSTAG2
vedie;VKesc+;vedie;VKesc+
k;Eu3;k;Eu3
ľahkej;AAfs3x;ľahkej;AAfs3x
zameniteľnosti;SSfs3;zameniteľnosti;SSfs3
šamana;SSms2;šamana;SSms2
za;Eu4;za;Eu4
mnícha;SSms4;mnícha;SSms4
.;SENT;.;Z
Dvojtvárnosť;SSfs1;Dvojtvárnosť;SSfs1
trickstera;SSms2;trickstera;SSms2
súvisí;VKesc+;súvisí;VKesc+
s;Eu7;s;Eu7
celkovým;AAis7x;celkovým;AAis7x
dualizmom;SSis7;dualizmom;SSis7
,;Z;,;Z
prítomným;AAis7x;prítomným;AAis7x
v;Eu6;v;Eu6
systéme;SSis6;systéme;SSis6
prírodného;AAis2x;prírodného;AAis2x
polyteizmu;SSis2;polyteizmu;SSis2
.;SENT;.;Z
Tak;T;Tak;PD
u;Eu2;u;Eu2
mnohých;NAip2;mnohých;NAip2
národov;SSip2;národov;SSip2
existujú;VKepc+;existujú;VKepc+
tzv;W;tzv;W
.;SENT;.;Z
bieli;AAmp1x;bieli;AAmp1x
šamani;SSmp1;šamani;SSmp1
,;Z;,;Z
spájaní;Gtmp1x;spájaní;Gtmp1x
s;Eu7;s;Eu7
nebeskými;AAfp7x;nebeskými;AAfp7x
silami;SSfp7;silami;SSfp7
a;O;a;O
svetom;SSis7;svetom;SSis7
hore;Dx;hore;Dx
a;O;a;O
šamani;SSmp1;šamani;SSmp1
čierni;AAmp1x;čierni;AAmp1x
,;Z;,;Z
zviazaní;Gtmp1x;zviazaní;Gtmp1x
s;Eu7;s;Eu7
podsvetím;SSns7;podsvetím;SSns7
.;SENT;.;Z
Dôležitejším;AAis7y;Dôležitejším;AAis7y
znakom;SSis7;znakom;SSis7
oboch;NNfp2;oboch;NNfp2
kategórií;SSfp2;kategórií;SSfp2
šamanov;SSmp2;šamanov;SSmp2
je;VKesc+;je;VKesc+
,;Z;,;Z
že;O;že;O
úspech;SSis1;úspech;SSis1
ich;PUip2;ich;PUip2
činov;SSip2;činov;SSip2
nezávisí;VKesc-;nezávisí;VKesc-
od;Eu2;od;Eu2
toho;PFns2;toho;PFns2
,;Z;,;Z
akú;PAfs4;akú;PAfs4
obetu;SSfs4;obetu;SSfs4
bohu;SSms3;bohu;SSms3
prinesú;VKdpc+;prinesú;VKdpc+
,;Z;,;Z
ale;O;ale;O
od;Eu2;od;Eu2
toho;PFns2;toho;PFns2
v;Eu6;v;Eu6
akom;PAis6;akom;PAis6
vzťahu;SSis6;vzťahu;SSis6
sú;VKepc+;sú;VKepc+
oni;PFmp1;oni;PFmp1
sami;PFmp1;sami;PFmp1
s;Eu7;s;Eu7
bohmi;SSmp7;bohmi;SSmp7
—;Z;—;Z
tj;W;tj;W
.;SENT;.;Z
od;Eu2;od;Eu2
ich;PUfp2;ich;PUfp2
schopností;SSfp2;schopností;SSfp2
.;SENT;.;Z
Spomínaní;Gtmp1x;Spomínaní;Gtmp1x
suzdaľskí;AAmp1x;suzdaľskí;AAmp1x
volchvi;SSmp1;volchvi;SSmp1
sa;R;sa;R
zjavujú;VKepc+;zjavujú;VKepc+
práve;T;práve;T
v;Eu6;v;Eu6
čase;SSis6;čase;SSis6
neúrody;SSfs2;neúrody;SSfs2
,;Z;,;Z
aby;OY;aby;OY
ju;PFfs4;ju;PFfs4
pomohli;VLdpcm+;pomohli;VLdpcm+
zahnať;VId+;zahnať;VId+
.;SENT;.;Z
Vznik;SSis1;Vznik;SSis1
a;O;a;O
charakter;SSis1;charakter;SSis1
štatútu;SSis2;štatútu;SSis2
.;SENT;.;Z
Pôvodný;AAis1x;Pôvodný;AAis1x
text;SSis1;text;SSis1
sa;R;sa;R
však;T;však;O
nezachoval;VLdsci-;nezachoval;VLdsci-
.;SENT;.;Z
Pre;Eu4;Pre;Eu4
potreby;SSfp4;potreby;SSfp4
rozvíjajúcej;Gkfs2x;rozvíjajúcej;Gkfs2x
sa;R;sa;R
cirkevnej;AAfs2x;cirkevnej;AAfs2x
organizácie;SSfs2;organizácie;SSfs2
bol;VLesci+;bol;VLesci+
na;Eu6;na;Eu6
základe;SSis6;základe;SSis6
tohto;PFis2;tohto;PFis2
štatútu;SSis2;štatútu;SSis2
okolo;Eu2;okolo;Eu2
roku;SSis2;roku;SSis2
1100;0;1100;0
vytvorený;Gtis1x;vytvorený;Gtis1x
štatút;SSis1;štatút;SSis1
nový;AAis1x;nový;AAis1x
,;Z;,;Z
ktorý;PAis1;ktorý;PAis1
sa;R;sa;R
stal;VLdsci+;stal;VLdsci+
základným;AAis7x;základným;AAis7x
archetypom;SSis7;archetypom;SSis7
pre;Eu4;pre;Eu4
všetky;PFfp4;všetky;PFfp4
neskoršie;AAip4y;neskoršie;AAip4y
odpisy;SSip4;odpisy;SSip4
.;SENT;.;Z
Pre;Eu4;Pre;Eu4
novodobú;AAfs4x;novodobú;AAfs4x
vedu;SSfs4;vedu;SSfs4
bola;VLescf+;bola;VLescf+
pamiatka;SSfs1;pamiatka;SSfs1
objavená;Gtfs1x;objavená;Gtfs1x
v;Eu6;v;Eu6
roku;SSis6;roku;SSis6
1773;0;1773;0
v;Eu6;v;Eu6
Archangeľsku;SSns6:r;Archangeľsku;SSns6:r
V;W;V;W
.;SENT;.;Z
V;W;V;W
.;SENT;.;Z
Krestininom;SSms7:r;Krestininom;SSms7:r
v;Eu6;v;Eu6
zborníku;SSis6;zborníku;SSis6
z;Eu2;z;Eu2
prvej;NAfs2;prvej;NAfs2
polovice;SSfs2;polovice;SSfs2
16;0;16;0
storočia;SSns2;storočia;SSns2
.;SENT;.;Z
Pozrime;VMdpa+;Pozrime;VMdpa+
sa;R;sa;R
,;Z;,;Z
teraz;Dx;teraz;Dx
,;Z;,;Z
ktoré;PAfp1;ktoré;PAfp1
z;Eu2;z;Eu2
týchto;PFfp2;týchto;PFfp2
statí;SSfp2;statí;SSfp2
sú;VKepc+;sú;VKepc+
relevantné;AAfp1x;relevantné;AAfp1x
pre;Eu4;pre;Eu4
našu;PFfs4;našu;PFfs4
tému;SSfs4;tému;SSfs4
.;SENT;.;Z
Ide;VKesc+;Ide;VKesc+
o;Eu4;o;Eu4
state;SSfp4;state;SSfp4
č;W;č;W
.;SENT;.;Z
2;0;2;0
,;Z;,;Z
17;0;17;0
,;Z;,;Z
20;0;20;0
a;O;a;O
28;0;28;0
.;SENT;.;Z
Duchovné;AAfp1x;Duchovné;AAfp1x
osoby;SSfp1;osoby;SSfp1
boli;VLepcf+;boli;VLepcf+
ideálnymi;AAmp7x;ideálnymi;AAmp7x
parlamenármi;SSmp7;parlamenármi;SSmp7:q
,;Z;,;Z
lebo;O;lebo;O
podľa;Eu2;podľa;Eu2
dobových;AAfp2x;dobových;AAfp2x
predstáv;SSfp2;predstáv;SSfp2
majú;VKepc+;majú;VKepc+
osobitnú;AAfs4x;osobitnú;AAfs4x
ochranu;SSfs4;ochranu;SSfs4
boha;SSms2;boha;SSms2
pred;Eu7;pred;Eu7
nebezpečím;SSns7;nebezpečím;SSns7
.;SENT;.;Z
Zo;Ev2;Zo;Ev2
Škandinávie;SSfs2:r;Škandinávie;SSfs2:r
je;VKesc+;je;VKesc+
známe;AAns1x;známe;AAns1x
časté;AAns1x;časté;AAns1x
zamieňanie;SSns1;zamieňanie;SSns1
toporov;SSip2;toporov;SSip2
s;Eu7;s;Eu7
poriskom;SSns7;poriskom;SSns7
čiastočne;Dx;čiastočne;Dx
vysunutým;Gtis7x;vysunutým;Gtis7x
nad;Eu4;nad;Eu4
čepeľ;SSfs4;čepeľ;SSfs4
.;SENT;.;Z
Bojovne;Dx;Bojovne;Dx
protipohanskú;AAfs4x;protipohanskú;AAfs4x
.;SENT;.;Z
Duchovní;SAmp1;Duchovní;SAmp1
v;Eu6;v;Eu6
tejto;PFfs6;tejto;PFfs6
funkcii;SSfs6;funkcii;SSfs6
sa;R;sa;R
netešia;VKepc-;netešia;VKepc-
veľkej;AAfs3x;veľkej;AAfs3x
úcte;SSfs3;úcte;SSfs3
,;Z;,;Z
sú;VKepc+;sú;VKepc+
ohováraní;Gtmp1x;ohováraní;Gtmp1x
svojimi;PFmp7;svojimi;PFmp7
nevoľníkmi;SSmp7;nevoľníkmi;SSmp7
,;Z;,;Z
mučení;Gtmp1x;mučení;Gtmp1x
a;O;a;O
zabíjaní;Gtmp1x;zabíjaní;Gtmp1x
.;SENT;.;Z
Ohlasy;SSip1;Ohlasy;SSip1
tohto;PFns2;tohto;PFns2
splývania;SSns2;splývania;SSns2
sa;R;sa;R
zachovali;VLdpcm+;zachovali;VLdpci+
v;Eu6;v;Eu6
neoficiálnom;AAns6x;neoficiálnom;AAns6x
podaní;SSns6;podaní;SSns6
legiend;SSfp2;legiend;SSfp2
a;O;a;O
príbehov;SSip2;príbehov;SSip2
,;Z;,;Z
tradovaných;Gtop2x;tradovaných;Gtop2x
z;Eu2;z;Eu2
generácie;SSfs2;generácie;SSfs2
na;Eu4;na;Eu4
generáciu;SSfs4;generáciu;SSfs4
a;O;a;O
neskôr;Dx;neskôr;Dx
zachytených;Gtip2x;zachytených;Gtop2x
v;Eu6;v;Eu6
Pateriku;SSis6:r;Pateriku;SSis6:r
.;SENT;.;Z
Nestoja;VKepc-;Nestoja;VLepcm-
totiž;T;totiž;T
v;Eu6;v;Eu6
opozícií;SSfs6;opozícií;SSfs6:q
voči;Eu3;voči;Eu3
sebe;PPhs3;sebe;PPhs3
na;Eu6;na;Eu6
rovine;SSfs6;rovine;SSfs6
ideí;SSfp2;ideí;SSfp2
a;O;a;O
ideológie;SSfs2;ideológie;SSfs2
,;Z;,;Z
ale;O;ale;O
voči;Eu3;voči;Eu3
zástupcom;SSmp3;zástupcom;SSmp3
orgánov;SSip2;orgánov;SSip2
svetských;AAip2x;svetských;AAip2x
.;SENT;.;Z
V;Eu6;V;Eu6
11;0;11;0
storočí;SSns6;storočí;SSns6
však;T;však;O
tieto;PFfp1;tieto;PFfp1
vrstvy;SSfp1;vrstvy;SSfp1
,;Z;,;Z
stelesňujúce;Gkfp1x;stelesňujúce;Gkfp1x
štátnu;AAfs4x;štátnu;AAfs4x
moc;SSfs4;moc;SSfs4
zastávali;VLepcm+;zastávali;VLepcf+
postoj;SSis4;postoj;SSis4
výrazne;Dx;výrazne;Dx
odlišný;AAis4x;odlišný;AAis4x
—;Z;—;Z
čoho;PFns2;čoho;PFns2
najpregnantnejším;AAis7z;najpregnantnejším;AAis7z
prejavom;SSis7;prejavom;SSis7
bol;VLesci+;bol;VLesci+
kódex;SSis1;kódex;SSis1
svetského;AAns2x;svetského;AAns2x
práva;SSns2;práva;SSns2
—;Z;—;Z
Ruská;AAfs1x:r;Ruská;AAfs1x:r
Pravda;SSfs1:r;Pravda;SSfs1:r
.;SENT;.;Z
Základom;SSis7;Základom;SSis7
väčšiny;SSfs2;väčšiny;SSfs2
dnes;Dx;dnes;Dx
známych;AAip2x;známych;AAip2x
letopisov;SSip2;letopisov;SSip2
je;VKesc+;je;VKesc+
tzv;W;tzv;W
.;SENT;.;Z
Rozprávanie;SSns1;Rozprávanie;SSns1:r
o;Eu6;o;Eu6
dávnych;AAip6x;dávnych;AAip6x
časoch;SSip6;časoch;SSip6
.;SENT;.;Z
Toto;PFns1;Toto;PFns1
dielo;SSns1;dielo;SSns1
vznikalo;VLescn+;vznikalo;VLescn+
postupne;Dx;postupne;Dx
od;Eu2;od;Eu2
konca;SSis2;konca;SSis2
10;0;10;0
storočia;SSns2;storočia;SSns2
do;Eu2;do;Eu2
počiatku;SSis2;počiatku;SSis2
storočia;SSns2;storočia;SSns2
12;0;12;0
.;SENT;.;Z
Tento;PFis1;Tento;PFis1
letopis;SSis1;letopis;SSis1
bol;VLesci+;bol;VLesci+
paralelou;SSfs7;paralelou;SSfs7
cyklu;SSis2;cyklu;SSis2
bylín;SSfp2;bylín;SSfp2
o;Eu6;o;Eu6
Vladimírovi;SSms6:r;Vladimírovi;SSms6:r
.;SENT;.;Z
Druhou;NAfs7;Druhou;NAfs7
vrstvou;SSfs7;vrstvou;SSfs7
bol;VLesci+;bol;VLesci+
letopis;SSis1;letopis;SSis1
z;Eu2;z;Eu2
rokov;SSip2;rokov;SSip2
1037;0;1037;0
—;Z;—;Z
1039;0;1039;0
.;SENT;.;Z
Skladal;VLescm+;Skladal;VLesci+
sa;R;sa;R
z;Eu2;z;Eu2
dvoch;NNfp2;dvoch;NNfp2
odlišných;AAfp2x;odlišných;AAfp2x
častí;SSfp2;častí;SSfp2
.;SENT;.;Z
Čas;SSis1;Čas;SSis1
—;Z;—;Z
rok;SSis1;rok;SSis1
1044;0;1044;0
.;SENT;.;Z
Bezprostredne;Dx;Bezprostredne;Dx
za;Eu7;za;Eu7
skúmanou;Gtfs7x;skúmanou;Gtfs7x
pasážou;SSfs7;pasážou;SSfs7
nasleduje;VKesc+;nasleduje;VKesc+
zmienka;SSfs1;zmienka;SSfs1
o;Eu6;o;Eu6
založení;SSns6;založení;SSns6
novgorodského;AAis2x;novgorodského;AAis2x
chrámu;SSis2;chrámu;SSis2
sv;W;sv;W
.;SENT;.;Z
Sofie;SSfs2:r;Sofie;SSfs2:r
.;SENT;.;Z
Miesto;SSns1;Miesto;SSns1
—;Z;—;Z
Polock;SSis1:r;Polock;SSis1:r
.;SENT;.;Z
Udalosť;SSfs1;Udalosť;SSfs1
—;Z;—;Z
smrť;SSfs1;smrť;SSfs1
Briačeslava;SSms2:r;Briačeslava;SSms2:r
,;Z;,;Z
nástup;SSis1;nástup;SSis1
Vseslava;SSms2:r;Vseslava;SSms2:r
/;Z;/;Z
jeho;PUms2;jeho;PFms2
syna;SSms4;syna;SSms2
/;Z;/;Z
na;Eu4;na;Eu4
jeho;PUns4;jeho;PUns4
miesto;SSns4;miesto;SSns4
.;SENT;.;Z
Amulet;SSis1;Amulet;SSis1
teda;T;teda;T
posilňuje;VKesc+;posilňuje;VKesc+
určité;AAfp4x;určité;AAfp4x
črty;SSfp4;črty;SSfp4
jeho;PUis2;jeho;PUis2
charakteru;SSis2;charakteru;SSis2
do;Eu2;do;Eu2
neobvyklých;AAfp2x;neobvyklých;AAfp2x
až;O;až;O
nadprirodzených;AAfp2x;nadprirodzených;AAfp2x
polôh;SSfp2;polôh;AAfp2x
,;Z;,;Z
Vseslav;SSms1:r;Vseslav;SSms1:r
sa;R;sa;R
stáva;VKesc+;stáva;VKesc+
vyvolencom;SSmp3;vyvolencom;SSms7
—;Z;—;Z
podľa;Eu2;podľa;Eu2
kresťanského;AAms2x;kresťanského;AAms2x
kronikára;SSms2;kronikára;SSms2
—;Z;—;Z
temných;AAfp2x;temných;AAfp2x
síl;SSfp2;síl;SSfp2
.;SENT;.;Z
Čas;SSis1;Čas;SSis1
—;Z;—;Z
1071;0;1071;0
.;SENT;.;Z
Vsunuté;AAns1x;Vsunuté;AAns1x
medzi;Eu7;medzi;Eu7
pasážami;SSfp7;pasážami;SSfp7
o;Eu6;o;Eu6
volchvoch;SSmp6;volchvoch;SSmp6
na;Eu6;na;Eu6
Beloozere;SSns6:r;Beloozere;SSns6:r
a;O;a;O
v;Eu6;v;Eu6
Novgorode;SSis6:r;Novgorode;SSis6:r
.;SENT;.;Z
Miesto;SSns1;Miesto;SSns1
—;Z;—;Z
čudská;AAfs1x;čudská;AAfs1x
oblasť;SSfs1;oblasť;SSfs1
,;Z;,;Z
obývaná;Gtfs1x;obývaná;Gtfs1x
plemenom;SSns7;plemenom;SSns7
baltskej;AAfs2x;baltskej;AAfs2x
proveniencie;SSfs2;proveniencie;SSfs2
,;Z;,;Z
predkami;SSmp7;predkami;SSmp7
dnešných;AAmp2x;dnešných;AAmp2x
Estóncov;SSmp2:r;Estóncov;SSmp2:r
.;SENT;.;Z
Duchovia;SSmp1;Duchovia;SSmp1
sa;R;sa;R
však;T;však;O
v;Eu6;v;Eu6
tomto;PFis6;tomto;PFis6
prípade;SSis6;prípade;SSis6
nechcú;VKepc-;nechcú;VKepc-
objaviť;VId+;objaviť;VId+
—;Z;—;Z
boja;VKepc+;boja;VKepc+
sa;R;sa;R
kríža;SSis2;kríža;SSis2
,;Z;,;Z
ktorý;PAis1;ktorý;PAis4
má;VKesc+;má;VKesc+
Novgorodec;SSms1:r;Novgorodec;SSms1:r
pri;Eu6;pri;Eu6
sebe;PPhs6;sebe;PPhs6
.;SENT;.;Z
„;Z;„;Z
Akže;O;Akže;O
umierajú;VKepc+;umierajú;VKepc+
vaši;PFmp1;vaši;PFmp1
ľudia;SSmp1;ľudia;SSmp1
,;Z;,;Z
sú;VKepc+;sú;VKepc+
do;Eu2;do;Eu2
neba;SSns2;neba;SSns2
vynášaní;Gtmp1x;vynášaní;Gtmp1x
,;Z;,;Z
akže;O;akže;O
naši;PFmp1;naši;PFmp1
,;Z;,;Z
idú;VKepc+;idú;VKepc+
k;Eu3;k;Eu3
našim;PFmp3;našim;PFmp3
do;Eu2;do;Eu2
priepasti;SSfs2;priepasti;SSfs2
.;SENT;.;Z
.;SENT;.;Z
.;SENT;.;Z
“;Z;“;Z
Čas;SSis1;Čas;SSis1
—;Z;—;Z
1091;0;1091;0
.;SENT;.;Z
Po;Eu6;Po;Eu6
zázraku;SSis6;zázraku;SSis6
s;Eu7;s;Eu7
ostatkami;SSip7;ostatkami;SSip7
Feodosija;SSms2:r;Feodosija;SSms2:r
a;O;a;O
pred;Eu7;pred;Eu7
vpádom;SSis7;vpádom;SSis7
Polovcov;SSmp2:r;Polovcov;SSmp2:r
.;SENT;.;Z
Miesto;SSns1;Miesto;SSns1
—;Z;—;Z
Polock;SSis1:r;Polock;SSis1:r
.;SENT;.;Z
Mesto;SSns1;Mesto;SSns1
zrodu;SSis2;zrodu;SSis2
Vseslava;SSms2:r;Vseslava;SSms2:r
volchva;SSms2;volchva;SSms2
.;SENT;.;Z
Dom;SSis1;Dom;SSis1
bol;VLesci+;bol;VLesci+
v;Eu6;v;Eu6
predstave;SSfs6;predstave;SSfs6
vtedajších;AAmp2x;vtedajších;AAmp2x
ľudí;SSmp2;ľudí;SSmp2
akýmsi;PAis7;akýmsi;PAis7
mikrokozmom;SSis7;mikrokozmom;SSis7
,;Z;,;Z
svetom;SSis7;svetom;SSis7
samým;PFms7;samým;PFms7
osebe;Dx;osebe;Dx
s;Eu7;s;Eu7
prepracovaným;Gtis7x;prepracovaným;Gtis7x
systémom;SSis7;systémom;SSis7
magickej;AAfs2x;magickej;AAfs2x
obrany;SSfs2;obrany;SSfs2
pred;Eu7;pred;Eu7
zlými;AAfp7x;zlými;AAfp7x
silami;SSfp7;silami;SSfp7
vonku;Dx;vonku;Dx
.;SENT;.;Z
Nasleduje;VKesc+;Nasleduje;VKesc+
objavenie;SSns1;objavenie;SSns1
sa;R;sa;R
volchva;SSms2;volchva;SSms2
v;Eu6;v;Eu6
Rostove;SSis6:r;Rostove;SSis6:r
,;Z;,;Z
udalosti;SSfp1;udalosti;SSfp1
v;Eu6;v;Eu6
Polocku;SSis6:r;Polocku;SSis6:r
,;Z;,;Z
sucho;SSns1;sucho;SSns1
a;O;a;O
Polovci;SSmp1:r;Polovci;SSmp1:r
.;SENT;.;Z
Priestor;SSis1;Priestor;SSis1
—;Z;—;Z
krajný;AAis1x;krajný;AAis1x
severovýchod;SSis1;severovýchod;SSis1
oblastí;SSfp2;oblastí;SSfp2
vplyvu;SSis2;vplyvu;SSis2
Kyjevskej;AAfs2x:r;Kyjevskej;AAfs2x:r
Rusi;SSfs2:r;Rusi;SSfs2:r
,;Z;,;Z
obývaný;Gtis1x;obývaný;Gtis1x
ugrofínskym;AAns7x;ugrofínskym;AAns7x
plemenom;SSns7;plemenom;SSns7
Samojedov;SSmp2:r;Samojedov;SSmp2:r
.;SENT;.;Z
Udalosť;SSfs1;Udalosť;SSfs1
—;Z;—;Z
popis;SSis1;popis;SSis1
Samojedov;SSmp2:r;Samojedov;SSmp2:r
novgorodcom;SSms7;novgorodcom;SSms7
Gorjatom;SSms7:r;Gorjatom;SSms7:r
Rogovičom;SSms7:r;Rogovičom;SSms7:r
.;SENT;.;Z
A;O;A;O
tak;PD;tak;O
sa;R;sa;R
na;Eu6;na;Eu6
Rusi;SSfs6:r;Rusi;SSfs6:r
v;Eu6;v;Eu6
tomto;PFns6;tomto;PFns6
období;SSns6;období;SSns6
stretávame;VKepa+;stretávame;VKepa+
s;Eu7;s;Eu7
uctievaním;SSns7;uctievaním;SSns7
pohanských;AAmp2x;pohanských;AAmp2x
bohov;SSmp2;bohov;SSmp2
v;Eu6;v;Eu6
novom;AAns6x;novom;AAns6x
rúchu;SSns6;rúchu;SSns6
.;SENT;.;Z
Prítomný;AAis1x;Prítomný;AAis1x
je;VKesc+;je;VKesc+
celý;AAis1x;celý;AAis1x
panteon;SSis1;panteon;SSis1
vladimírovej;AAfs2x;vladimírovej;AAfs2x
pohanskej;AAfs2x;pohanskej;AAfs2x
reformy;SSfs2;reformy;SSfs2
.;SENT;.;Z
Môže;VKesc+;Môže;VKesc+
ísť;VIe+;ísť;VIe+
o;Eu4;o;Eu4
toporčeky;SSip4;toporčeky;SSip4
s;Eu7;s;Eu7
predĺženým;Gtns7x;predĺženým;Gtns7x
poriskom;SSns7;poriskom;SSns7
,;Z;,;Z
ktoré;PAip1;ktoré;PAip1
boli;VLepci+;boli;VLepci+
v;Eu6;v;Eu6
Škandinávií;SSfs6:r;Škandinávií;SSfs6:r
predmetom;SSis7;predmetom;SSis7
symbolizujúcim;Gkis7x;symbolizujúcim;Gkis7x
hromy;SSip4;hromy;SSip4
vrhajúceho;Gkms2x;vrhajúceho;Gkms2x
Thora;SSms2:r;Thora;SSms2:r
.;SENT;.;Z
Stotožňovaná;Gtfs1x;Stotožňovaná;Gtfs1x
s;Eu7;s;Eu7
Mokošou;SSfs7:r;Mokošou;SSfs7:r
ako;O;ako;O
s;Eu7;s;Eu7
bohyňou;SSfs7;bohyňou;SSfs7
viacerých;NUfp2;viacerých;NUfp2
funkcií;SSfp2;funkcií;SSfp2
nadobúdala;VLescf+;nadobúdala;VLescf+
i;T;i;T
viacero;NUns4;viacero;NUns4
podôb;SSfp2;podôb;SSfp2
.;SENT;.;Z
Z;Eu2;Z;Eu2
Velesa;SSms2:r;Velesa;SSms2:r
sa;R;sa;R
stal;VLdscm+;stal;VLdscm+
Vlasij;SSms1:r;Vlasij;SSms1:r
,;Z;,;Z
ochranca;SSms1;ochranca;SSms1
dobytka;SSis2;dobytka;SSis2
.;SENT;.;Z
Pritom;Dx;Pritom;O
je;VKesc+;je;VKesc+
známe;AAns1x;známe;AAns1x
,;Z;,;Z
že;O;že;O
remeslo;SSns1;remeslo;SSns1
kováčske;AAns1x;kováčske;AAns1x
bolo;VLescn+;bolo;VLescn+
spájané;Gtns1x;spájané;Gtns1x
s;Eu7;s;Eu7
magickými;AAfp7x;magickými;AAfp7x
šamanskými;AAfp7x;šamanskými;AAfp7x
praktikami;SSfp7;praktikami;SSfp7
u;Eu2;u;Eu2
mnohých;NAip2;mnohých;NUip2
národov;SSip2;národov;SSip2
—;Z;—;Z
kováč;SSms1;kováč;SSms1
a;O;a;O
šaman;SSms1;šaman;SSms1
sú;VKepc+;sú;VKepc+
z;Eu2;z;Eu2
jedného;NFis2;jedného;NFis2
rodu;SSis2;rodu;SSis2
hovorí;VKesc+;hovorí;VKesc+
jakutské;AAns1x;jakutské;AAns1x
príslovie;SSns1;príslovie;SSns1
.;SENT;.;Z
Jeho;PUis1;Jeho;PUis1
kult;SSis1;kult;SSis1
sa;R;sa;R
spájal;VLesci+;spájal;VLesci+
s;Eu7;s;Eu7
kultom;SSis7;kultom;SSis7
Poseidóna;SSms2:r;Poseidóna;SSms2:r
.;SENT;.;Z
O;Eu6;O;Eu6
kulte;SSis6;kulte;SSis6
jaštera;SSms2;jaštera;SSms2
svedčia;VKepc+;svedčia;VKesc+
už;T;už;Dx
spomenuté;Gtfp1x;spomenuté;Gtfp1x
rúčky;SSfp1;rúčky;SSfp1
čiaš;SSfp2;čiaš;SSfp2
.;SENT;.;Z
Vnútorný;AAis1x;Vnútorný;AAis1x
zmysel;SSis1;zmysel;SSis1
kresťanstva;SSns2;kresťanstva;SSns2
zostal;VLdsci+;zostal;VLdsci+
väčšine;SSfs3;väčšine;SSfs3
ľudí;SSmp2;ľudí;SSmp2
predmongolskej;AAfs2x;predmongolskej;AAfs2x
Rusi;SSfs2:r;Rusi;SSfs2:r
cudzí;AAms1x;cudzí;AAis1x
.;SENT;.;Z
Zároveň;Dx;Zároveň;Dx
svetská;AAfs1x;svetská;AAfs1x
časť;SSfs1;časť;SSfs1
vládnúcej;Gkfs2x;vládnúcej;Gkfs2x:q
vrstvy;SSfs2;vrstvy;SSfs2
prestáva;VKesc+;prestáva;VKesc+
mať;VIe+;mať;VIe+
záujem;SSis4;záujem;SSis4
o;Eu4;o;Eu4
monoteizmus;SSis4;monoteizmus;SSis4
vyjadrujúci;Gkis4x;vyjadrujúci;Gkis4x
myšlienku;SSfs4;myšlienku;SSfs4
—;Z;—;Z
jeden;NFms1;jeden;NFms1
boh;SSms1;boh;SSms1
,;Z;,;Z
jeden;NFms1;jeden;NFms1
panovník;SSms1;panovník;SSms1
.;SENT;.;Z
Dochádza;VKesc+;Dochádza;VKesc+
k;Eu3;k;Eu3
revitalizácií;SSfs3;revitalizácií;SSfs3
pohanstva;SSns2;pohanstva;SSns2
v;Eu6;v;Eu6
bojarských;AAip6x;bojarských;AAip6x
kruhoch;SSip6;kruhoch;SSip6
.;SENT;.;Z
Pohanské;AAnp1x;Pohanské;AAnp1x
povstania;SSnp1;povstania;SSnp1
na;Eu6;na;Eu6
Rusi;SSfs6:r;Rusi;SSfs6:r
v;Eu6;v;Eu6
11;0;11;0
storočí;SSns6;storočí;SSns6
V;Eu6;V;Eu6
prvej;NAfs6;prvej;NAfs6
časti;SSfs6;časti;SSfs6
kapitoly;SSfs2;kapitoly;SSfs2
teda;O;teda;T
najprv;Dx;najprv;Dx
načrtneme;VKdpa+;načrtneme;VKdpa+
ich;PUis4;ich;PFis4
základný;AAis4x;základný;AAis4x
argumentačný;AAis4x;argumentačný;AAis4x
potenciál;SSis4;potenciál;SSis4
,;Z;,;Z
aby;OY;aby;OY
sme;VKepa+;sme;VKepa+
mohli;VLepah+;mohli;VLepah+
v;Eu6;v;Eu6
časti;SSfs6;časti;SSfs6
druhej;NAfs6;druhej;NAfs6
pristúpiť;VId+;pristúpiť;VId+
k;Eu3;k;Eu3
pokusu;SSis3;pokusu;SSis3
o;Eu4;o;Eu4
vlastnú;AAfs4x;vlastnú;AAfs4x
interpretáciu;SSfs4;interpretáciu;SSfs4
.;SENT;.;Z
Teória;SSfs1;Teória;SSfs1
„;Z;„;Z
Smerd;SSms1:r;Smerd;SSms1:r
“;Z;“;Z
.;SENT;.;Z
Bola;VLescf+;Bola;VLescf+
presadzovaná;Gtfs1x;presadzovaná;Gtfs1x
hlavne;T;hlavne;T
sovietskou;AAfs7x;sovietskou;AAfs7x
marxistickou;AAfs7x;marxistickou;AAfs7x
historiografiou;SSfs7;historiografiou;SSfs7
.;SENT;.;Z
c;W;c;W
/;Z;/;Z
argumenty;SSip1;argumenty;SSip1
„;Z;„;Z
jazykové;AAip1x;jazykové;AAip1x
“;Z;“;Z
,;Z;,;Z
vychádzajúce;Gkip1x;vychádzajúce;Gkip1x
s;Eu2;s;Eu2:q
porovnania;SSns2;porovnania;SSns2
rôznych;AAfp2x;rôznych;AAfp2x
verzií;SSfp2;verzií;SSfp2
rozprávania;SSns2;rozprávania;SSns2
o;Eu6;o;Eu6
volchvoch;SSmp6;volchvoch;SSmp6
.;SENT;.;Z
Teória;SSfs1;Teória;SSfs1
„;Z;„;Z
protorepubliikánskej;AAfs2x;protorepubliikánskej;AAfs2x
