Slovo;Číslo;Slovo2;Číslo2
Musím;jednotné;Musím;jednotné
si;;si;
to;jednotné;to;jednotné
prečítať;;prečítať;
odznova;;odznova;
,;;,;
“;;“;
povedala;jednotné;povedala;jednotné
som;jednotné;som;jednotné
,;;,;
zúfalo;;zúfalo;
listujúc;;listujúc;
v;;v;
učebnici;jednotné;učebnici;jednotné
.;;.;
“;;“;
Roku;jednotné;Roku;jednotné
1543;;1543;
,;;,;
“;;“;
odvetil;jednotné;odvetil;jednotné
Chris;jednotné;Chris;jednotné
a;;a;
opäť;;opäť;
sa;;sa;
venoval;jednotné;venoval;jednotné
kresbe;jednotné;kresbe;jednotné
.;;.;
Medzi;;Medzi;
Slnkom;jednotné;Slnkom;jednotné
a;;a;
Zemou;jednotné;Zemou;jednotné
je;jednotné;je;jednotné
vzdialenosť;jednotné;vzdialenosť;jednotné
149;;149;
,;;,;
6;;6;
miliónov;množné;miliónov;množné
kilometrov;množné;kilometrov;množné
.;;.;
“;;“;
Musíš;jednotné;Musíš;jednotné
mať;;mať;
fotografickú;jednotné;fotografickú;jednotné
pamäť;jednotné;pamäť;jednotné
.;;.;
“;;“;
“;;“;
Asi;;Asi;
mám;jednotné;mám;jednotné
,;;,;
“;;“;
odvetil;jednotné;odvetil;jednotné
Chris;jednotné;Chris;jednotné
a;;a;
pokračoval;jednotné;pokračoval;jednotné
v;;v;
kreslení;jednotné;kreslení;jednotné
.;;.;
Vytieňoval;jednotné;Vytieňoval;jednotné
lícne;množné;lícne;množné
kosti;množné;kosti;množné
a;;a;
tmavé;jednotné;tmavé;jednotné
obočie;jednotné;obočie;jednotné
.;;.;
“;;“;
Keď;;Keď;
napríklad;;napríklad;
zavrem;jednotné;zavrem;jednotné
oči;množné;oči;množné
,;;,;
vidím;jednotné;vidím;jednotné
teba;jednotné;teba;jednotné
,;;,;
Amy;jednotné;Amy;jednotné
.;;.;
“;;“;
“;;“;
Musím;jednotné;Musím;jednotné
sa;;sa;
učiť;;učiť;
.;;.;
“;;“;
“;;“;
Mám;jednotné;Mám;jednotné
ťa;jednotné;ťa;jednotné
vyskúšať;;vyskúšať;
?;;?;
“;;“;
Normálne;;Normálne;
som;jednotné;som;jednotné
sa;;sa;
vykašlala;jednotné;vykašlala;jednotné
na;;na;
fyziku;jednotné;fyziku;jednotné
.;;.;
Musím;jednotné;Musím;jednotné
s;;s;
tým;jednotné;tým;jednotné
niečo;jednotné;niečo;jednotné
robiť;;robiť;
.;;.;
Váhala;jednotné;Váhala;jednotné
som;jednotné;som;jednotné
.;;.;
Neuľahčuje;jednotné;Neuľahčuje;jednotné
mi;jednotné;mi;jednotné
to;jednotné;to;jednotné
.;;.;
“;;“;
Mám;jednotné;Mám;jednotné
odísť;;odísť;
?;;?;
“;;“;
Chris;jednotné;Chris;jednotné
sa;;sa;
zatváril;jednotné;zatváril;jednotné
urazene;;urazene;
.;;.;
Vstal;jednotné;Vstal;jednotné
a;;a;
usmial;jednotné;usmial;jednotné
sa;;sa;
.;;.;
Podal;jednotné;Podal;jednotné
mi;jednotné;mi;jednotné
ruku;jednotné;ruku;jednotné
.;;.;
“;;“;
Odprevadíš;jednotné;Odprevadíš;jednotné
ma;jednotné;ma;jednotné
?;;?;
“;;“;
“;;“;
Samozrejme;;Samozrejme;
,;;,;
“;;“;
povedala;jednotné;povedala;jednotné
som;jednotné;som;jednotné
a;;a;
chytila;jednotné;chytila;jednotné
ho;jednotné;ho;jednotné
za;;za;
ruku;jednotné;ruku;jednotné
.;;.;
Potom;;Potom;
som;jednotné;som;jednotné
sa;;sa;
vrhla;jednotné;vrhla;jednotné
na;;na;
astronómiu;jednotné;astronómiu;jednotné
.;;.;
Začala;jednotné;Začala;jednotné
som;jednotné;som;jednotné
s;;s;
kapitolou;jednotné;kapitolou;jednotné
o;;o;
zatmení;jednotné;zatmení;jednotné
a;;a;
snažila;jednotné;snažila;jednotné
sa;;sa;
spomenúť;;spomenúť;
na;;na;
to;jednotné;to;jednotné
,;;,;
čo;jednotné;čo;jednotné
som;jednotné;som;jednotné
videla;jednotné;videla;jednotné
.;;.;
Hľadala;jednotné;Hľadala;jednotné
som;jednotné;som;jednotné
v;;v;
zásuvke;jednotné;zásuvke;jednotné
nejaký;jednotné;nejaký;jednotné
papier;jednotné;papier;jednotné
na;;na;
poznámky;množné;poznámky;množné
,;;,;
keď;;keď;
som;jednotné;som;jednotné
zbadala;jednotné;zbadala;jednotné
formulár;jednotné;formulár;jednotné
na;;na;
udelenie;jednotné;udelenie;jednotné
finančnej;jednotné;finančnej;jednotné
podpory;jednotné;podpory;jednotné
počas;;počas;
štúdia;jednotné;štúdia;jednotné
na;;na;
vysokej;jednotné;vysokej;jednotné
,;;,;
ktorý;jednotné;ktorý;jednotné
mi;jednotné;mi;jednotné
dal;jednotné;dal;jednotné
ešte;;ešte;
pred;;pred;
niekoľkými;množné;niekoľkými;množné
týždňami;množné;týždňami;množné
výchovný;jednotné;výchovný;jednotné
poradca;jednotné;poradca;jednotné
pán;jednotné;pán;jednotné
Hatch;jednotné;Hatch;jednotné
.;;.;
Ak;;Ak;
nedostanem;jednotné;nedostanem;jednotné
z;;z;
fyziky;jednotné;fyziky;jednotné
jednotku;jednotné;jednotku;jednotné
,;;,;
nemôžem;jednotné;nemôžem;jednotné
so;;so;
štipendiom;jednotné;štipendiom;jednotné
rátať;;rátať;
.;;.;
“;;“;
Takže;;Takže;
musím;jednotné;musím;jednotné
zavolať;;zavolať;
tvojmu;jednotné;tvojmu;jednotné
otcovi;jednotné;otcovi;jednotné
,;;,;
“;;“;
povedala;jednotné;povedala;jednotné
.;;.;
Na;;Na;
moje;jednotné;moje;jednotné
prekvapenie;jednotné;prekvapenie;jednotné
sa;;sa;
mama;jednotné;mama;jednotné
zasmiala;jednotné;zasmiala;jednotné
.;;.;
Už;;Už;
sa;;sa;
zberala;jednotné;zberala;jednotné
preč;;preč;
,;;,;
ale;;ale;
vo;;vo;
dverách;množné;dverách;množné
sa;;sa;
otočila;jednotné;otočila;jednotné
.;;.;
“;;“;
Ako;;Ako;
to;jednotné;to;jednotné
myslíš;jednotné;myslíš;jednotné
?;;?;
“;;“;
10;;10;
.;;.;
kapitola;jednotné;kapitola;jednotné
“;;“;
O;;O;
siedmej;jednotné;siedmej;jednotné
prídem;jednotné;prídem;jednotné
po;;po;
teba;jednotné;teba;jednotné
.;;.;
“;;“;
“;;“;
Neviem;jednotné;Neviem;jednotné
,;;,;
“;;“;
povedala;jednotné;povedala;jednotné
som;jednotné;som;jednotné
váhavo;;váhavo;
.;;.;
Sľubujem;jednotné;Sľubujem;jednotné
,;;,;
že;;že;
všetko;jednotné;všetko;jednotné
preberieme;množné;preberieme;množné
,;;,;
“;;“;
presviedčal;jednotné;presviedčal;jednotné
ma;jednotné;ma;jednotné
Chris;jednotné;Chris;jednotné
.;;.;
Vážila;jednotné;Vážila;jednotné
som;jednotné;som;jednotné
si;;si;
tie;množné;tie;množné
slová;množné;slová;množné
,;;,;
snívala;jednotné;snívala;jednotné
o;;o;
tom;jednotné;tom;jednotné
,;;,;
že;;že;
mi;jednotné;mi;jednotné
ich;množné;ich;množné
raz;;raz;
povie;jednotné;povie;jednotné
.;;.;
Ako;;Ako;
som;jednotné;som;jednotné
mohla;jednotné;mohla;jednotné
teraz;;teraz;
odmietnuť;;odmietnuť;
?;;?;
“;;“;
Sľubujem;jednotné;Sľubujem;jednotné
,;;,;
“;;“;
naradostene;;naradostene;
odvetil;jednotné;odvetil;jednotné
.;;.;
“;;“;
Naozaj;;Naozaj;
sľubujem;jednotné;sľubujem;jednotné
.;;.;
“;;“;
Zhodil;jednotné;Zhodil;jednotné
ma;jednotné;ma;jednotné
na;;na;
trávu;jednotné;trávu;jednotné
a;;a;
veľmi;;veľmi;
dlho;;dlho;
sme;množné;sme;množné
sa;;sa;
bozkávali;množné;bozkávali;množné
.;;.;
Mohli;množné;Mohli;množné
si;;si;
nás;množné;nás;množné
všimnúť;;všimnúť;
a;;a;
vyjavene;;vyjavene;
sa;;sa;
na;;na;
nás;množné;nás;množné
dívať;;dívať;
.;;.;
“;;“;
Najprv;;Najprv;
si;;si;
prečítam;jednotné;prečítam;jednotné
celú;jednotné;celú;jednotné
astronómiu;jednotné;astronómiu;jednotné
od;;od;
začiatku;jednotné;začiatku;jednotné
do;;do;
konca;jednotné;konca;jednotné
,;;,;
“;;“;
hovorila;jednotné;hovorila;jednotné
som;jednotné;som;jednotné
Chrisovi;jednotné;Chrisovi;jednotné
,;;,;
keď;;keď;
sme;množné;sme;množné
v;;v;
Saabe;jednotné;Saabe;jednotné
jeho;jednotné;jeho;jednotné
matky;jednotné;matky;jednotné
uháňali;množné;uháňali;množné
do;;do;
verejnej;jednotné;verejnej;jednotné
knižnice;jednotné;knižnice;jednotné
.;;.;
Uvedomila;jednotné;Uvedomila;jednotné
som;jednotné;som;jednotné
si;;si;
,;;,;
že;;že;
ma;jednotné;ma;jednotné
nepočúval;jednotné;nepočúval;jednotné
.;;.;
“;;“;
Čo;jednotné;Čo;jednotné
je;jednotné;je;jednotné
?;;?;
“;;“;
Chris;jednotné;Chris;jednotné
sa;;sa;
zrazu;;zrazu;
nadšene;;nadšene;
zatváril;jednotné;zatváril;jednotné
a;;a;
prešiel;jednotné;prešiel;jednotné
do;;do;
ľavého;jednotné;ľavého;jednotné
pruhu;jednotné;pruhu;jednotné
.;;.;
“;;“;
Čo;jednotné;Čo;jednotné
je;jednotné;je;jednotné
?;;?;
“;;“;
zopakovala;jednotné;zopakovala;jednotné
som;jednotné;som;jednotné
.;;.;
“;;“;
Kam;;Kam;
ideme;množné;ideme;množné
?;;?;
“;;“;
“;;“;
Amy;jednotné;Amy;jednotné
,;;,;
toto;jednotné;toto;jednotné
bude;jednotné;bude;jednotné
stáť;;stáť;
za;;za;
to;jednotné;to;jednotné
!;;!;
“;;“;
“;;“;
Čo;jednotné;Čo;jednotné
bude;jednotné;bude;jednotné
stáť;;stáť;
za;;za;
to;jednotné;to;jednotné
!;;!;
“;;“;
skríkla;jednotné;skríkla;jednotné
som;jednotné;som;jednotné
.;;.;
Chris;jednotné;Chris;jednotné
sa;;sa;
držal;jednotné;držal;jednotné
vľavo;;vľavo;
,;;,;
šiel;jednotné;šiel;jednotné
v;;v;
pruhu;jednotné;pruhu;jednotné
,;;,;
ktorý;jednotné;ktorý;jednotné
rozhodne;;rozhodne;
neviedol;jednotné;neviedol;jednotné
ku;;ku;
knižnici;jednotné;knižnici;jednotné
.;;.;
Cez;;Cez;
parkovisko;jednotné;parkovisko;jednotné
ma;jednotné;ma;jednotné
viedol;jednotné;viedol;jednotné
na;;na;
prašnú;jednotné;prašnú;jednotné
cestičku;jednotné;cestičku;jednotné
.;;.;
“;;“;
A;;A;
teraz;;teraz;
zavri;jednotné;zavri;jednotné
oči;množné;oči;množné
,;;,;
“;;“;
prikázal;jednotné;prikázal;jednotné
.;;.;
Viedol;jednotné;Viedol;jednotné
ma;jednotné;ma;jednotné
ešte;;ešte;
asi;;asi;
dvadsať;jednotné;dvadsať;jednotné
metrov;množné;metrov;množné
a;;a;
tam;;tam;
zastal;jednotné;zastal;jednotné
.;;.;
Počula;jednotné;Počula;jednotné
som;jednotné;som;jednotné
neznáme;jednotné;neznáme;jednotné
vrčanie;jednotné;vrčanie;jednotné
a;;a;
z;;z;
diaľky;jednotné;diaľky;jednotné
sem;;sem;
doliehala;jednotné;doliehala;jednotné
hudba;jednotné;hudba;jednotné
.;;.;
Otvorila;jednotné;Otvorila;jednotné
som;jednotné;som;jednotné
oči;množné;oči;množné
.;;.;
Obrovský;jednotné;Obrovský;jednotné
vysvietený;jednotné;vysvietený;jednotné
lunapark;jednotné;lunapark;jednotné
s;;s;
kolotočmi;množné;kolotočmi;množné
,;;,;
kľukatými;množné;kľukatými;množné
dráhami;množné;dráhami;množné
,;;,;
hudbou;jednotné;hudbou;jednotné
,;;,;
zábavnými;množné;zábavnými;množné
hrami;množné;hrami;množné
a;;a;
množstvom;jednotné;množstvom;jednotné
vykrikujúcich;množné;vykrikujúcich;množné
ľudí;množné;ľudí;množné
.;;.;
Nočným;jednotné;Nočným;jednotné
ovzduším;jednotné;ovzduším;jednotné
sa;;sa;
nieslo;jednotné;nieslo;jednotné
vzrušenie;jednotné;vzrušenie;jednotné
.;;.;
“;;“;
Bomba;jednotné;Bomba;jednotné
!;;!;
“;;“;
Prichádzali;množné;Prichádzali;množné
sme;množné;sme;množné
zozadu;;zozadu;
,;;,;
a;;a;
tak;;tak;
sme;množné;sme;množné
sa;;sa;
vyhli;množné;vyhli;množné
autobusom;množné;autobusom;množné
,;;,;
autám;množné;autám;množné
a;;a;
nápisom;jednotné;nápisom;množné
nad;;nad;
vstupom;jednotné;vstupom;jednotné
.;;.;
Chytil;jednotné;Chytil;jednotné
ma;jednotné;ma;jednotné
za;;za;
ruku;jednotné;ruku;jednotné
a;;a;
bežali;množné;bežali;množné
sme;množné;sme;množné
dolu;;dolu;
kopcom;jednotné;kopcom;jednotné
až;;až;
k;;k;
svetlám;množné;svetlám;množné
.;;.;
Začali;množné;Začali;množné
sme;množné;sme;množné
na;;na;
kolotočoch;množné;kolotočoch;množné
,;;,;
kde;;kde;
sme;množné;sme;množné
vyliezli;množné;vyliezli;množné
na;;na;
koňa;jednotné;koňa;jednotné
.;;.;
Kým;;Kým;
sme;množné;sme;množné
sa;;sa;
dostali;množné;dostali;množné
k;;k;
ruskému;jednotné;ruskému;jednotné
kolesu;jednotné;kolesu;jednotné
,;;,;
boli;množné;boli;množné
sme;množné;sme;množné
unavení;množné;unavení;množné
,;;,;
presladení;množné;presladení;množné
a;;a;
vysmiati;množné;vysmiati;množné
.;;.;
Koleso;jednotné;Koleso;jednotné
sa;;sa;
krútilo;jednotné;krútilo;jednotné
a;;a;
náš;jednotné;náš;jednotné
vozík;jednotné;vozík;jednotné
pomaly;;pomaly;
stúpal;jednotné;stúpal;jednotné
na;;na;
vrchol;jednotné;vrchol;jednotné
.;;.;
Na;;Na;
vrchole;jednotné;vrchole;jednotné
koleso;jednotné;koleso;jednotné
chvíľu;;chvíľu;
postálo;jednotné;postálo;jednotné
a;;a;
náš;jednotné;náš;jednotné
vozík;jednotné;vozík;jednotné
sa;;sa;
knísal;jednotné;knísal;jednotné
zboka;;zboka;
nabok;;nabok;
.;;.;
Pozrela;jednotné;Pozrela;jednotné
som;jednotné;som;jednotné
pod;;pod;
seba;jednotné;seba;jednotné
a;;a;
zacítila;jednotné;zacítila;jednotné
v;;v;
žalúdku;jednotné;žalúdku;jednotné
šteklivé;jednotné;šteklivé;jednotné
vzrušenie;jednotné;vzrušenie;jednotné
.;;.;
To;jednotné;To;jednotné
bola;jednotné;bola;jednotné
výška;jednotné;výška;jednotné
!;;!;
11;;11;
.;;.;
kapitola;jednotné;kapitola;jednotné
;;;
DRUHÝ;jednotné;DRUHÝ;jednotné
DEŇ;jednotné;DEŇ;jednotné
RÁNO;;RÁNO;
som;jednotné;som;jednotné
sa;;sa;
prebudila;jednotné;prebudila;jednotné
do;;do;
skutočnosti;jednotné;skutočnosti;jednotné
.;;.;
Chrisovo;jednotné;Chrisovo;jednotné
miesto;jednotné;miesto;jednotné
bolo;jednotné;bolo;jednotné
prázdne;jednotné;prázdne;jednotné
.;;.;
“;;“;
Držím;jednotné;Držím;jednotné
ti;jednotné;ti;jednotné
palce;množné;palce;množné
,;;,;
Amy;jednotné;Amy;jednotné
,;;,;
“;;“;
povedal;jednotné;povedal;jednotné
s;;s;
úsmevom;jednotné;úsmevom;jednotné
,;;,;
ktorý;jednotné;ktorý;jednotné
by;;by;
roztopil;jednotné;roztopil;jednotné
i;;i;
ľad;jednotné;ľad;jednotné
.;;.;
Vliali;množné;Vliali;množné
mi;jednotné;mi;jednotné
iskierku;jednotné;iskierku;jednotné
nádeje;jednotné;nádeje;jednotné
.;;.;
Vystrela;jednotné;Vystrela;jednotné
som;jednotné;som;jednotné
sa;;sa;
a;;a;
poďakovala;jednotné;poďakovala;jednotné
mu;jednotné;mu;jednotné
.;;.;
V;;V;
Tayerleho;jednotné;Tayerleho;jednotné
teste;jednotné;teste;jednotné
nemala;jednotné;nemala;jednotné
romantika;jednotné;romantika;jednotné
miesto;jednotné;miesto;jednotné
.;;.;
Všetci;množné;Všetci;množné
okolo;;okolo;
mňa;jednotné;mňa;jednotné
pokojne;;pokojne;
písali;množné;písali;množné
odpovede;množné;odpovede;množné
,;;,;
kým;;kým;
ja;jednotné;ja;jednotné
som;jednotné;som;jednotné
ich;množné;ich;množné
horúčkovito;;horúčkovito;
čmárala;jednotné;čmárala;jednotné
.;;.;
Keď;;Keď;
profesor;jednotné;profesor;jednotné
Tayerle;jednotné;Tayerle;jednotné
zahlásil;jednotné;zahlásil;jednotné
:;;:;
“;;“;
Koniec;jednotné;Koniec;jednotné
!;;!;
“;;“;
odložila;jednotné;odložila;jednotné
som;jednotné;som;jednotné
ceruzku;jednotné;ceruzku;jednotné
.;;.;
“;;“;
Bolo;jednotné;Bolo;jednotné
to;jednotné;to;jednotné
ťažké;jednotné;ťažké;jednotné
,;;,;
“;;“;
povedala;jednotné;povedala;jednotné
som;jednotné;som;jednotné
Blythe;jednotné;Blythe;jednotné
.;;.;
“;;“;
Naozaj;;Naozaj;
?;;?;
“;;“;
Zbadala;jednotné;Zbadala;jednotné
som;jednotné;som;jednotné
jej;jednotné;jej;jednotné
prekvapený;jednotné;prekvapený;jednotné
výraz;jednotné;výraz;jednotné
.;;.;
Zrazu;;Zrazu;
sa;;sa;
ma;jednotné;ma;jednotné
zmocnilo;jednotné;zmocnilo;jednotné
presvedčenie;jednotné;presvedčenie;jednotné
,;;,;
že;;že;
som;jednotné;som;jednotné
to;jednotné;to;jednotné
zbabrala;jednotné;zbabrala;jednotné
,;;,;
ani;;ani;
kytička;jednotné;kytička;jednotné
sedmokrások;množné;sedmokrások;množné
ma;jednotné;ma;jednotné
nemohla;jednotné;nemohla;jednotné
utešiť;;utešiť;
.;;.;
Zničená;jednotné;Zničená;jednotné
som;jednotné;som;jednotné
si;;si;
prisahala;jednotné;prisahala;jednotné
,;;,;
že;;že;
si;;si;
cez;;cez;
obedňajšiu;jednotné;obedňajšiu;jednotné
prestávku;jednotné;prestávku;jednotné
zaplávam;jednotné;zaplávam;jednotné
a;;a;
budem;jednotné;budem;jednotné
trénovať;;trénovať;
obrátky;množné;obrátky;množné
dovtedy;;dovtedy;
,;;,;
kým;;kým;
ich;množné;ich;množné
nezvládnem;jednotné;nezvládnem;jednotné
.;;.;
Čoskoro;;Čoskoro;
som;jednotné;som;jednotné
však;;však;
zapochybovala;jednotné;zapochybovala;jednotné
o;;o;
svojom;jednotné;svojom;jednotné
odhodlaní;jednotné;odhodlaní;jednotné
,;;,;
lebo;;lebo;
pred;;pred;
školou;jednotné;školou;jednotné
ma;jednotné;ma;jednotné
dobehol;jednotné;dobehol;jednotné
Chris;jednotné;Chris;jednotné
a;;a;
chytil;jednotné;chytil;jednotné
za;;za;
ruku;jednotné;ruku;jednotné
.;;.;
“;;“;
Máš;jednotné;Máš;jednotné
cez;;cez;
obed;jednotné;obed;jednotné
voľno;jednotné;voľno;jednotné
?;;?;
“;;“;
spýtal;jednotné;spýtal;jednotné
sa;;sa;
.;;.;
Nemala;jednotné;Nemala;jednotné
som;jednotné;som;jednotné
najmenšiu;jednotné;najmenšiu;jednotné
chuť;jednotné;chuť;jednotné
rozoberať;;rozoberať;
pred;;pred;
ním;jednotné;ním;jednotné
svoje;množné;svoje;množné
zmätené;množné;zmätené;množné
pocity;množné;pocity;množné
a;;a;
zbabraný;jednotné;zbabraný;jednotné
test;jednotné;test;jednotné
.;;.;
“;;“;
Myslím;jednotné;Myslím;jednotné
na;;na;
dnešné;množné;dnešné;množné
preteky;množné;preteky;množné
,;;,;
“;;“;
zaklamala;jednotné;zaklamala;jednotné
som;jednotné;som;jednotné
.;;.;
“;;“;
Aj;;Aj;
ja;jednotné;ja;jednotné
,;;,;
“;;“;
odvetil;jednotné;odvetil;jednotné
Chris;jednotné;Chris;jednotné
a;;a;
pohrával;jednotné;pohrával;jednotné
sa;;sa;
mi;jednotné;mi;jednotné
s;;s;
vlasmi;množné;vlasmi;množné
.;;.;
Pripadalo;jednotné;Pripadalo;jednotné
by;;by;
mi;jednotné;mi;jednotné
znesiteľnejšie;jednotné;znesiteľnejšie;jednotné
,;;,;
keby;;keby;
kvôli;;kvôli;
nemu;jednotné;nemu;jednotné
nespal;jednotné;nespal;jednotné
ani;;ani;
Chris;jednotné;Chris;jednotné
.;;.;
“;;“;
Strach;jednotné;Strach;jednotné
z;;z;
fyziky;jednotné;fyziky;jednotné
?;;?;
“;;“;
spýtal;jednotné;spýtal;jednotné
sa;;sa;
,;;,;
akoby;;akoby;
som;jednotné;som;jednotné
povedala;jednotné;povedala;jednotné
najväčšiu;jednotné;najväčšiu;jednotné
hlúposť;jednotné;hlúposť;jednotné
.;;.;
Zďaleka;;Zďaleka;
nie;;nie;
.;;.;
“;;“;
Čo;jednotné;Čo;jednotné
sa;;sa;
s;;s;
tebou;jednotné;tebou;jednotné
deje;jednotné;deje;jednotné
,;;,;
Amy;jednotné;Amy;jednotné
?;;?;
“;;“;
vypytoval;jednotné;vypytoval;jednotné
sa;;sa;
ma;jednotné;ma;jednotné
po;;po;
pretekoch;množné;pretekoch;množné
tréner;jednotné;tréner;jednotné
August;jednotné;August;jednotné
a;;a;
odviedol;jednotné;odviedol;jednotné
ma;jednotné;ma;jednotné
nabok;;nabok;
,;;,;
kým;;kým;
ostatní;množné;ostatní;množné
nastupovali;množné;nastupovali;množné
do;;do;
autobusu;jednotné;autobusu;jednotné
.;;.;
“;;“;
Bola;jednotné;Bola;jednotné
si;jednotné;si;jednotné
tretia;jednotné;tretia;jednotné
.;;.;
Tvárila;jednotné;Tvárila;jednotné
si;jednotné;si;jednotné
sa;;sa;
na;;na;
štarte;jednotné;štarte;jednotné
ako;;ako;
spiaca;jednotné;spiaca;jednotné
krásavica;jednotné;krásavica;jednotné
.;;.;
Pokrútil;jednotné;Pokrútil;jednotné
hlavou;jednotné;hlavou;jednotné
.;;.;
Zažmurkala;jednotné;Zažmurkala;jednotné
som;jednotné;som;jednotné
pri;;pri;
tých;množné;tých;množné
slovách;množné;slovách;množné
.;;.;
Sľubujem;jednotné;Sľubujem;jednotné
.;;.;
“;;“;
Nemôžem;jednotné;Nemôžem;jednotné
to;jednotné;to;jednotné
počúvať;;počúvať;
!;;!;
“;;“;
zamrmlala;jednotné;zamrmlala;jednotné
som;jednotné;som;jednotné
a;;a;
pohodlne;;pohodlne;
sa;;sa;
oprela;jednotné;oprela;jednotné
.;;.;
“;;“;
Čo;jednotné;Čo;jednotné
?;;?;
“;;“;
spýtal;jednotné;spýtal;jednotné
sa;;sa;
,;;,;
akoby;;akoby;
pristál;jednotné;pristál;jednotné
z;;z;
Marsu;jednotné;Marsu;jednotné
.;;.;
Nečudujem;jednotné;Nečudujem;jednotné
sa;;sa;
,;;,;
že;;že;
výborne;;výborne;
urobil;jednotné;urobil;jednotné
záverečné;množné;záverečné;množné
ročníkové;množné;ročníkové;množné
testy;množné;testy;množné
.;;.;
Keď;;Keď;
chcel;jednotné;chcel;jednotné
,;;,;
úplne;;úplne;
vypol;jednotné;vypol;jednotné
a;;a;
okolie;jednotné;okolie;jednotné
"""";;;
pre;;;
neho;jednotné;;
neexistovalo;jednotné;neexistovalo;jednotné
.;;.;
Na;;Na;
rozdiel;jednotné;rozdiel;jednotné
odo;;odo;
mňa;jednotné;mňa;jednotné
.;;.;
12;;12;
.;;.;
kapitola;jednotné;kapitola;jednotné
Jeden;jednotné;Jeden;jednotné
večer;jednotné;večer;jednotné
sme;množné;sme;množné
išli;množné;išli;množné
na;;na;
pizzu;jednotné;pizzu;jednotné
,;;,;
ďalší;jednotné;ďalší;jednotné
do;;do;
kina;jednotné;kina;jednotné
na;;na;
horor;jednotné;horor;jednotné
a;;a;
potom;;potom;
zasa;;zasa;
do;;do;
obchodného;jednotné;obchodného;jednotné
centra;jednotné;centra;jednotné
na;;na;
capuccino;jednotné;capuccino;jednotné
.;;.;
Spolu;;Spolu;
sme;množné;sme;množné
sa;;sa;
potichučky;;potichučky;
vyšplhali;množné;vyšplhali;množné
na;;na;
studenú;jednotné;studenú;jednotné
strechu;jednotné;strechu;jednotné
,;;,;
a;;a;
ako;;ako;
dvaja;množné;dvaja;množné
námesačníci;množné;námesačníci;množné
sme;množné;sme;množné
vyliezli;množné;vyliezli;množné
až;;až;
hore;;hore;
.;;.;
Raz;;Raz;
si;;si;
u;;u;
mňa;jednotné;mňa;jednotné
zabudol;jednotné;zabudol;jednotné
baseballovú;jednotné;baseballovú;jednotné
čiapku;jednotné;čiapku;jednotné
.;;.;
Od;;Od;
tých;množné;tých;množné
čias;množné;čias;množné
bola;jednotné;bola;jednotné
mojím;jednotné;mojím;jednotné
najvzácnejším;jednotné;najvzácnejším;jednotné
pokladom;jednotné;pokladom;jednotné
,;;,;
i;;i;
keď;;keď;
miestami;;miestami;
zodratým;jednotné;zodratým;jednotné
,;;,;
ale;;ale;
na;;na;
okrajoch;množné;okrajoch;množné
som;jednotné;som;jednotné
cítila;jednotné;cítila;jednotné
šampónovú;jednotné;šampónovú;jednotné
vôňu;jednotné;vôňu;jednotné
jeho;množné;jeho;množné
vlasov;množné;vlasov;množné
.;;.;
Bol;jednotné;Bol;jednotné
starý;jednotné;starý;jednotné
,;;,;
maličký;jednotné;maličký;jednotné
,;;,;
zvláštny;jednotné;zvláštny;jednotné
a;;a;
trochu;;trochu;
zodratý;jednotné;zodratý;jednotné
.;;.;
Už;;Už;
dávno;;dávno;
sa;;sa;
s;;s;
nimi;množné;nimi;množné
nehrám;jednotné;nehrám;jednotné
,;;,;
ale;;ale;
ani;;ani;
vo;;vo;
sne;jednotné;sne;jednotné
by;;by;
mi;jednotné;mi;jednotné
nenapadlo;jednotné;nenapadlo;jednotné
,;;,;
aby;;aby;
som;jednotné;som;jednotné
ich;množné;ich;množné
vyhodila;jednotné;vyhodila;jednotné
.;;.;
Chris;jednotné;Chris;jednotné
pokrčil;jednotné;pokrčil;jednotné
plecami;množné;plecami;množné
.;;.;
“;;“;
Ale;;Ale;
veď;;veď;
sú;množné;sú;množné
ako;;ako;
dobrí;množné;dobrí;množné
priatelia;množné;priatelia;množné
,;;,;
“;;“;
namietala;jednotné;namietala;jednotné
som;jednotné;som;jednotné
.;;.;
Chris;jednotné;Chris;jednotné
ma;jednotné;ma;jednotné
chytil;jednotné;chytil;jednotné
za;;za;
ruku;jednotné;ruku;jednotné
a;;a;
kľúčik;jednotné;kľúčik;jednotné
sme;množné;sme;množné
zvierali;množné;zvierali;množné
medzi;;medzi;
dlaňami;množné;dlaňami;množné
.;;.;
“;;“;
Samozrejme;;Samozrejme;
,;;,;
“;;“;
odvetila;jednotné;odvetila;jednotné
som;jednotné;som;jednotné
.;;.;
Neviem;jednotné;Neviem;jednotné
vysvetliť;;vysvetliť;
,;;,;
prečo;;prečo;
sme;množné;sme;množné
nechodili;množné;nechodili;množné
na;;na;
rande;jednotné;rande;jednotné
ako;;ako;
iní;množné;iní;množné
.;;.;
Nemala;jednotné;Nemala;jednotné
som;jednotné;som;jednotné
chuť;jednotné;chuť;jednotné
rozlúčiť;;rozlúčiť;
sa;;sa;
.;;.;
Nahol;jednotné;Nahol;jednotné
sa;;sa;
cez;;cez;
otvorené;jednotné;otvorené;jednotné
okno;jednotné;okno;jednotné
a;;a;
pobozkal;jednotné;pobozkal;jednotné
ma;jednotné;ma;jednotné
.;;.;
“;;“;
Nemôžem;jednotné;Nemôžem;jednotné
,;;,;
“;;“;
čo;jednotné;čo;jednotné
