Slovo;Rod;Slovo2;Rod2
,;;,;
vystrela;ženský;vystrela;ženský
plecia;stredný;plecia;stredný
,;;,;
pozbierala;ženský;pozbierala;ženský
odvahu;ženský;odvahu;ženský
a;;a;
slabo;;slabo;
sa;;sa;
na;;na;
mňa;všeobecný;mňa;všeobecný
usmiala;ženský;usmiala;ženský
.;;.;
“;;“;
Odkedy;;Odkedy;
sa;;sa;
vy;všeobecný;vy;všeobecný
dve;ženský;dve;ženský
kamarátite;;kamarátite;
?;;?;
“;;“;
neveriacky;;neveriacky;
sa;;sa;
spýtala;ženský;spýtala;ženský
.;;.;
Otočila;ženský;Otočila;ženský
som;;som;
sa;;sa;
a;;a;
medzi;;medzi;
divákmi;mužský životný;divákmi;mužský životný
som;;som;
zazrela;ženský;zazrela;ženský
Jilliných;mužský životný;Jilliných;mužský životný
rodičov;mužský životný;rodičov;mužský životný
.;;.;
Jillina;ženský;Jillina;ženský
mama;ženský;mama;ženský
s;;s;
otcom;mužský životný;otcom;mužský životný
tam;;tam;
zamračení;mužský životný;zamračení;
meravo;;meravo;
sedeli;mužský životný;sedeli;neurčiteľný
,;;,;
ako;;ako;
keby;;keby;
chceli;mužský životný;chceli;neurčiteľný
silou;ženský;silou;ženský
vôle;ženský;vôle;ženský
dotlačiť;;dotlačiť;
dcéru;ženský;dcéru;ženský
na;;na;
stupienok;mužský neživotný;stupienok;mužský neživotný
víťazov;mužský životný;víťazov;mužský životný
.;;.;
Keď;;Keď;
ma;všeobecný;ma;všeobecný
zbadala;ženský;zbadala;ženský
,;;,;
usmiala;ženský;usmiala;ženský
sa;;sa;
a;;a;
zakývala;ženský;zakývala;ženský
mi;všeobecný;mi;všeobecný
.;;.;
Ja;všeobecný;Ja;všeobecný
som;;som;
urobila;ženský;urobila;ženský
to;stredný;to;stredný
isté;stredný;isté;stredný
.;;.;
“;;“;
Jill;ženský;Jill;ženský
potrebovala;ženský;potrebovala;ženský
pomoc;ženský;pomoc;ženský
,;;,;
“;;“;
povedala;ženský;povedala;ženský
som;;som;
Shannon;ženský;Shannon;ženský
.;;.;
Pomyslela;ženský;Pomyslela;ženský
som;;som;
si;;si;
,;;,;
že;;že;
sa;;sa;
stal;mužský neživotný;stal;mužský neživotný
zázrak;mužský neživotný;zázrak;mužský neživotný
.;;.;
Usmiala;ženský;Usmiala;ženský
som;;som;
sa;;sa;
.;;.;
V;;V;
ten;mužský neživotný;ten;mužský neživotný
deň;mužský neživotný;deň;mužský neživotný
som;;som;
zaplávala;ženský;zaplávala;ženský
osobný;mužský neživotný;osobný;mužský neživotný
rekord;mužský neživotný;rekord;mužský neživotný
.;;.;
Zvíťazila;ženský;Zvíťazila;ženský
som;;som;
!;;!;
“;;“;
Mala;ženský;Mala;ženský
som;;som;
pocit;mužský neživotný;pocit;mužský neživotný
,;;,;
že;;že;
sa;;sa;
vznášam;;vznášam;
!;;!;
“;;“;
vravela;ženský;vravela;ženský
som;;som;
mame;ženský;mame;ženský
,;;,;
keď;;keď;
za;;za;
mnou;všeobecný;mnou;všeobecný
pribehla;ženský;pribehla;ženský
a;;a;
objala;ženský;objala;ženský
ma;všeobecný;ma;všeobecný
.;;.;
“;;“;
Bola;ženský;Bola;ženský
si;;si;
úžasná;ženský;úžasná;ženský
,;;,;
Amy;ženský;Amy;ženský
!;;!;
Som;;Som;
na;;na;
teba;všeobecný;teba;všeobecný
pyšná;ženský;pyšná;ženský
,;;,;
“;;“;
zvolala;ženský;zvolala;ženský
.;;.;
Naozaj;;Naozaj;
sa;;sa;
snažila;ženský;snažila;ženský
vyjsť;;vyjsť;
mi;všeobecný;mi;všeobecný
v;;v;
ústrety;;ústrety;
.;;.;
O;;O;
chvíľu;ženský;chvíľu;ženský
prišiel;mužský životný;prišiel;mužský životný
za;;za;
mnou;všeobecný;mnou;všeobecný
Rick;mužský životný;Rick;mužský životný
.;;.;
Vytrhla;ženský;Vytrhla;ženský
som;;som;
Blythe;ženský;Blythe;ženský
fotoaparát;mužský neživotný;fotoaparát;mužský neživotný
a;;a;
odfotila;ženský;odfotila;ženský
som;;som;
ich;mužský neživotný;ich;mužský životný
.;;.;
Neodolala;ženský;Neodolala;ženský
som;;som;
.;;.;
“;;“;
Bude;;Bude;
tam;;tam;
titulok;mužský neživotný;titulok;mužský neživotný
:;;:;
Slávna;ženský;Slávna;ženský
rekordérka;ženský;rekordérka;ženský
fotografuje;;fotografuje;
reportérov;mužský životný;reportérov;mužský životný
,;;,;
“;;“;
povedala;ženský;povedala;ženský
Blythe;ženský;Blythe;ženský
.;;.;
“;;“;
Nijaké;ženský;Nijaké;ženský
záhady;ženský;záhady;ženský
sa;;sa;
nekonajú;;nekonajú;
,;;,;
“;;“;
odvetil;mužský životný;odvetil;mužský životný
Chris;mužský životný;Chris;mužský životný
.;;.;
Pozrela;ženský;Pozrela;ženský
som;;som;
"""";;;
na;;;
neho;mužský životný;;
a;;a;
šťastne;;šťastne;
sa;;sa;
usmiala;ženský;usmiala;ženský
.;;.;
Hneď;;Hneď;
nás;všeobecný;nás;všeobecný
pribehla;ženský;pribehla;ženský
spolu;;spolu;
odfotiť;;odfotiť;
.;;.;
Chris;mužský životný;Chris;mužský životný
sa;;sa;
obrátil;mužský životný;obrátil;mužský životný
ku;;ku;
mne;všeobecný;mne;všeobecný
,;;,;
v;;v;
očiach;stredný;očiach;stredný
mal;mužský životný;mal;mužský životný
hrdosť;ženský;hrdosť;ženský
,;;,;
ale;;ale;
aj;;aj;
ospravedlňujúci;mužský neživotný;ospravedlňujúci;mužský neživotný
výraz;mužský neživotný;výraz;mužský neživotný
.;;.;
Rick;mužský životný;Rick;mužský životný
na;;na;
chvíľu;ženský;chvíľu;ženský
prestal;mužský životný;prestal;mužský životný
písať;;písať;
.;;.;
Preglgla;ženský;Preglgla;ženský
som;;som;
.;;.;
“;;“;
Dúfam;;Dúfam;
,;;,;
že;;že;
získam;;získam;
štipendium;stredný;štipendium;stredný
na;;na;
niektorú;ženský;niektorú;ženský
vysokú;ženský;vysokú;ženský
školu;ženský;školu;ženský
,;;,;
“;;“;
vyhlásila;ženský;vyhlásila;ženský
som;;som;
,;;,;
ale;;ale;
nespomenula;ženský;nespomenula;ženský
som;;som;
,;;,;
že;;že;
by;;by;
som;;som;
chcela;ženský;chcela;ženský
ísť;;ísť;
na;;na;
menšiu;ženský;menšiu;ženský
,;;,;
no;;no;
o;;o;
to;stredný;to;stredný
prestížnejšiu;ženský;prestížnejšiu;ženský
univerzitu;ženský;univerzitu;ženský
.;;.;
Znervóznela;ženský;Znervóznela;ženský
som;;som;
.;;.;
Povie;;Povie;
niečo;stredný;niečo;stredný
?;;?;
Na;;Na;
chvíľu;ženský;chvíľu;ženský
zavládlo;stredný;zavládlo;stredný
trápne;stredný;trápne;stredný
ticho;stredný;ticho;stredný
,;;,;
ale;;ale;
potom;;potom;
mu;mužský životný;mu;mužský životný
mama;ženský;mama;ženský
podala;ženský;podala;ženský
ruku;ženský;ruku;ženský
.;;.;
“;;“;
Blahoželám;;Blahoželám;
,;;,;
Chris;mužský životný;Chris;mužský životný
,;;,;
“;;“;
povedala;ženský;povedala;ženský
srdečne;;srdečne;
.;;.;
Usmiala;ženský;Usmiala;ženský
sa;;sa;
"""";;;
na;;;
neho;mužský životný;;
a;;a;
potom;;potom;
odišla;ženský;odišla;ženský
.;;.;
Odľahlo;stredný;Odľahlo;stredný
mi;všeobecný;mi;všeobecný
.;;.;
Moja;ženský;Moja;ženský
mama;ženský;mama;ženský
sa;;sa;
mi;všeobecný;mi;všeobecný
naozaj;;naozaj;
snaží;;snaží;
vyjsť;;vyjsť;
v;;v;
ústrety;;ústrety;
.;;.;
17;;17;
.;;.;
kapitola;ženský;kapitola;ženský
Pozvala;ženský;Pozvala;ženský
na;;na;
ňu;ženský;ňu;ženský
Blythe;ženský;Blythe;ženský
a;;a;
Ricka;mužský životný;Ricka;mužský životný
a;;a;
podávala;ženský;podávala;ženský
moje;stredný;moje;stredný
obľúbené;stredný;obľúbené;stredný
jedlá;stredný;jedlá;stredný
:;;:;
zemiakovú;ženský;zemiakovú;ženský
kašu;ženský;kašu;ženský
,;;,;
pizzu;ženský;pizzu;ženský
,;;,;
celozrnný;mužský neživotný;celozrnný;mužský neživotný
chlieb;mužský neživotný;chlieb;mužský neživotný
,;;,;
španielske;stredný;španielske;stredný
chimichangas;mužský neživotný;chimichangas;stredný
,;;,;
makaróny;mužský neživotný;makaróny;mužský neživotný
so;;so;
syrom;mužský neživotný;syrom;mužský neživotný
a;;a;
orechový;mužský neživotný;orechový;mužský neživotný
koláč;mužský neživotný;koláč;mužský neživotný
.;;.;
Pri;;Pri;
pohľade;mužský neživotný;pohľade;mužský neživotný
na;;na;
obidvoch;mužský životný;obidvoch;mužský životný
som;;som;
si;;si;
spomenula;ženský;spomenula;ženský
na;;na;
Chrisa;mužský životný;Chrisa;mužský životný
.;;.;
Veľmi;;Veľmi;
mi;všeobecný;mi;všeobecný
chýbal;mužský životný;chýbal;mužský životný
.;;.;
Usmiala;ženský;Usmiala;ženský
som;;som;
sa;;sa;
na;;na;
mamu;ženský;mamu;ženský
a;;a;
štrngli;všeobecný;štrngli;všeobecný
sme;;sme;
si;;si;
.;;.;
O;;O;
dva;mužský neživotný;dva;mužský neživotný
dni;mužský neživotný;dni;mužský neživotný
ma;všeobecný;ma;všeobecný
v;;v;
škole;ženský;škole;ženský
čakali;ženský;čakali;ženský
samé;ženský;samé;ženský
dobré;ženský;dobré;ženský
správy;ženský;správy;ženský
.;;.;
Cez;;Cez;
obed;mužský neživotný;obed;mužský neživotný
som;;som;
zavolala;ženský;zavolala;ženský
mame;ženský;mame;ženský
do;;do;
práce;ženský;práce;ženský
.;;.;
Chris;mužský životný;Chris;mužský životný
už;;už;
dva;mužský neživotný;dva;mužský neživotný
dni;mužský neživotný;dni;mužský neživotný
neprišiel;mužský životný;neprišiel;mužský životný
do;;do;
školy;ženský;školy;ženský
.;;.;
Túžila;ženský;Túžila;ženský
som;;som;
ho;mužský životný;ho;mužský životný
vidieť;;vidieť;
.;;.;
Bola;ženský;Bola;ženský
som;;som;
hrdá;ženský;hrdá;ženský
na;;na;
to;stredný;to;stredný
,;;,;
čo;stredný;čo;stredný
som;;som;
za;;za;
posledné;mužský neživotný;posledné;mužský neživotný
týždne;mužský neživotný;týždne;mužský neživotný
dokázala;ženský;dokázala;ženský
a;;a;
chcela;ženský;chcela;ženský
som;;som;
sa;;sa;
s;;s;
ním;mužský životný;ním;mužský životný
o;;o;
tú;ženský;tú;ženský
radosť;ženský;radosť;ženský
podeliť;;podeliť;
.;;.;
Najprv;;Najprv;
som;;som;
začula;ženský;začula;ženský
,;;,;
ako;;ako;
čosi;stredný;čosi;stredný
v;;v;
kríkoch;mužský neživotný;kríkoch;mužský neživotný
zašumelo;stredný;zašumelo;stredný
.;;.;
Vzápätí;;Vzápätí;
niečo;stredný;niečo;stredný
vrzlo;stredný;vrzlo;stredný
.;;.;
“;;“;
Blahoželám;;Blahoželám;
!;;!;
“;;“;
zvolal;mužský životný;zvolal;mužský životný
.;;.;
Odtiahla;ženský;Odtiahla;ženský
som;;som;
sa;;sa;
.;;.;
“;;“;
Veľmi;;Veľmi;
si;;si;
mi;všeobecný;mi;všeobecný
chýbala;ženský;chýbala;ženský
,;;,;
Amy;ženský;Amy;ženský
,;;,;
“;;“;
vyhŕkol;mužský životný;vyhŕkol;mužský životný
.;;.;
“;;“;
Ty;všeobecný;Ty;všeobecný
žartuješ;;žartuješ;
,;;,;
“;;“;
zvolala;ženský;zvolala;ženský
som;;som;
a;;a;
prekvapene;;prekvapene;
vyvalila;ženský;vyvalila;ženský
oči;stredný;oči;stredný
.;;.;
Chris;mužský životný;Chris;mužský životný
pokrútil;mužský životný;pokrútil;mužský životný
hlavou;ženský;hlavou;ženský
.;;.;
“;;“;
To;stredný;To;stredný
je;;je;
super;ženský;super;stredný
!;;!;
“;;“;
zvolala;ženský;zvolala;ženský
som;;som;
.;;.;
“;;“;
Presne;;Presne;
,;;,;
“;;“;
odvetil;mužský životný;odvetil;mužský životný
Chris;mužský životný;Chris;mužský životný
.;;.;
Chcela;ženský;Chcela;ženský
som;;som;
,;;,;
aby;;aby;
bral;mužský životný;bral;mužský životný
život;mužský neživotný;život;mužský neživotný
trocha;;trocha;
vážnejšie;;vážnejšie;
.;;.;
Chris;mužský životný;Chris;mužský životný
mi;všeobecný;mi;všeobecný
stisol;mužský životný;stisol;mužský životný
ruku;ženský;ruku;ženský
.;;.;
Musím;;Musím;
sa;;sa;
priznať;;priznať;
,;;,;
že;;že;
sa;;sa;
mi;všeobecný;mi;všeobecný
ten;mužský neživotný;ten;mužský neživotný
nápad;mužský neživotný;nápad;mužský neživotný
ohromne;;ohromne;
páčil;mužský neživotný;páčil;mužský neživotný
,;;,;
hoci;;hoci;
znel;mužský neživotný;znel;mužský neživotný
neuveriteľne;;neuveriteľne;
.;;.;
Zhlboka;;Zhlboka;
som;;som;
sa;;sa;
nadýchla;ženský;nadýchla;ženský
.;;.;
“;;“;
Áno;;Áno;
,;;,;
“;;“;
prerušil;mužský životný;prerušil;mužský životný
ma;všeobecný;ma;všeobecný
.;;.;
“;;“;
Bol;mužský životný;Bol;mužský životný
som;;som;
sebecký;mužský životný;sebecký;mužský životný
a;;a;
viem;;viem;
to;stredný;to;stredný
.;;.;
“;;“;
Ak;;Ak;
chceš;;chceš;
,;;,;
môžeme;;môžeme;
začať;;začať;
od;;od;
začiatku;mužský neživotný;začiatku;mužský neživotný
,;;,;
“;;“;
povedal;mužský životný;povedal;mužský životný
.;;.;
Chytila;ženský;Chytila;ženský
som;;som;
ho;mužský životný;ho;mužský životný
za;;za;
ruku;ženský;ruku;ženský
.;;.;
Vážne;;Vážne;
prikývol;mužský životný;prikývol;mužský životný
.;;.;
Chris;mužský životný;Chris;mužský životný
vystrúhal;mužský životný;vystrúhal;mužský životný
grimasu;ženský;grimasu;ženský
a;;a;
potom;;potom;
znovu;;znovu;
prikývol;mužský životný;prikývol;mužský životný
.;;.;
Opäť;;Opäť;
prikývol;mužský životný;prikývol;mužský životný
.;;.;
Chris;mužský životný;Chris;mužský životný
síce;;síce;
prikývol;mužský životný;prikývol;mužský životný
,;;,;
ale;;ale;
šibalsky;;šibalsky;
mu;mužský životný;mu;mužský životný
sem;;sem;
‐;;‐;
tam;;tam;
myklo;stredný;myklo;stredný
kútikmi;mužský neživotný;kútikmi;mužský neživotný
úst;stredný;úst;stredný
.;;.;
Obaja;mužský životný;Obaja;mužský životný
sme;;sme;
sa;;sa;
usmiali;všeobecný;usmiali;všeobecný
,;;,;
lebo;;lebo;
nám;všeobecný;nám;všeobecný
obom;mužský životný;obom;mužský životný
bolo;stredný;bolo;stredný
jasné;stredný;jasné;stredný
,;;,;
že;;že;
naše;stredný;naše;stredný
rande;stredný;rande;stredný
nikdy;;nikdy;
nebude;;nebude;
len;;len;
také;stredný;také;stredný
obyčajné;stredný;obyčajné;stredný
.;;.;
Ten;mužský neživotný;Ten;mužský neživotný
bozk;mužský neživotný;bozk;mužský neživotný
znamenal;mužský neživotný;znamenal;mužský neživotný
nové;mužský neživotný;nové;mužský neživotný
prísľuby;mužský neživotný;prísľuby;mužský neživotný
.;;.;
Predkladaná;ženský;Predkladaná;ženský
publikácia;ženský;publikácia;ženský
je;;je;
doplneným;mužský neživotný;doplneným;mužský neživotný
a;;a;
čiastočne;;čiastočne;
prepracovaným;mužský neživotný;prepracovaným;mužský neživotný
textom;mužský neživotný;textom;mužský neživotný
dizertačnej;ženský;dizertačnej;ženský
práce;ženský;práce;ženský
,;;,;
ktorú;ženský;ktorú;ženský
som;;som;
v;;v;
odbore;mužský neživotný;odbore;mužský neživotný
Všeobecné;ženský;Všeobecné;ženský
dejiny;ženský;dejiny;ženský
obhájil;mužský životný;obhájil;mužský životný
na;;na;
jar;ženský;jar;ženský
roku;mužský neživotný;roku;mužský neživotný
2000;;2000;
na;;na;
pôde;ženský;pôde;ženský
Filozofickej;ženský;Filozofickej;ženský
fakulty;ženský;fakulty;ženský
Univerzity;ženský;Univerzity;ženský
Komenského;ženský;Komenského;ženský
v;;v;
Bratislave;ženský;Bratislave;ženský
.;;.;
Tá;ženský;Tá;ženský
za;;za;
desaťročia;stredný;desaťročia;stredný
sústredeného;mužský neživotný;sústredeného;mužský neživotný
výskumu;mužský neživotný;výskumu;mužský neživotný
vyprodukovala;ženský;vyprodukovala;ženský
stovky;ženský;stovky;ženský
monografických;stredný;monografických;stredný
a;;a;
časopiseckých;stredný;časopiseckých;stredný
spracovaní;stredný;spracovaní;stredný
danej;ženský;danej;ženský
témy;ženský;témy;ženský
.;;.;
Súčasnému;mužský životný;Súčasnému;mužský životný
vedúcemu;mužský životný;vedúcemu;mužský životný
katery;ženský;katery;ženský
doc;;doc;
.;;.;
M;;M;
.;;.;
Danišovi;mužský životný;Danišovi;mužský životný
patrí;;patrí;
okrem;;okrem;
toho;stredný;toho;stredný
aj;;aj;
moje;stredný;moje;stredný
srdečné;stredný;srdečné;stredný
poďakovanie;stredný;poďakovanie;stredný
za;;za;
vytrvalú;ženský;vytrvalú;ženský
a;;a;
všestrannú;ženský;všestrannú;ženský
podporu;ženský;podporu;ženský
pri;;pri;
vydaní;stredný;vydaní;stredný
tejto;ženský;tejto;ženský
knihy;ženský;knihy;ženský
.;;.;
Poďakovanie;stredný;Poďakovanie;stredný
patrí;;patrí;
aj;;aj;
posudzovateľom;mužský životný;posudzovateľom;mužský životný
rukopisu;mužský neživotný;rukopisu;mužský neživotný
–;;–;
pánovi;mužský životný;pánovi;mužský životný
prof;;prof;
.;;.;
PhDr;;PhDr;
.;;.;
Richardovi;mužský životný;Richardovi;mužský životný
Marsinovi;mužský životný;Marsinovi;mužský životný
,;;,;
DrSc;;DrSc;
.;;.;
a;;a;
pánovi;mužský životný;pánovi;mužský životný
PhDr;;PhDr;
.;;.;
Jánovi;mužský životný;Jánovi;mužský životný
Steinhübelovi;mužský životný;Steinhübelovi;mužský životný
,;;,;
CSc;;CSc;
.;;.;
,;;,;
ktorí;mužský životný;ktorí;mužský životný
mi;všeobecný;mi;všeobecný
pomohli;mužský životný;pomohli;mužský životný
vylepšiť;;vylepšiť;
text;mužský neživotný;text;mužský neživotný
svojimi;mužský neživotný;svojimi;mužský neživotný
cennými;mužský neživotný;cennými;mužský neživotný
postrehmi;mužský neživotný;postrehmi;mužský neživotný
.;;.;
Rád;mužský životný;Rád;mužský životný
by;;by;
som;;som;
v;;v;
tomto;stredný;tomto;stredný
poďakovaní;stredný;poďakovaní;stredný
spomenul;mužský životný;spomenul;mužský životný
všetkých;mužský životný;všetkých;mužský životný
,;;,;
ktorí;mužský životný;ktorí;mužský životný
akoukoľvek;ženský;akoukoľvek;ženský
radou;ženský;radou;ženský
či;;či;
pomocou;ženský;pomocou;ženský
prispeli;mužský životný;prispeli;mužský životný
ku;;ku;
zrodu;mužský neživotný;zrodu;mužský neživotný
predkladanej;ženský;predkladanej;ženský
publikácie;ženský;publikácie;ženský
.;;.;
Im;mužský životný;Im;mužský životný
všetkým;mužský životný;všetkým;mužský životný
však;;však;
patrí;;patrí;
moja;ženský;moja;ženský
srdečná;ženský;srdečná;ženský
vďaka;ženský;vďaka;ženský
.;;.;
Na;;Na;
úplný;mužský neživotný;úplný;mužský neživotný
záver;mužský neživotný;záver;mužský neživotný
dlžím;;dlžím;
ešte;;ešte;
jedno;stredný;jedno;stredný
poďakovanie;stredný;poďakovanie;stredný
.;;.;
V;;V;
Bratislave;ženský;Bratislave;ženský
v;;v;
októbri;mužský neživotný;októbri;mužský neživotný
2004;;2004;
Isté;ženský;Isté;ženský
výhrady;ženský;výhrady;ženský
voči;;voči;
Závodszkého;stredný;Závodszkého;stredný
dielu;stredný;dielu;stredný
sme;;sme;
pojali;všeobecný;pojali;všeobecný
aj;;aj;
my;všeobecný;my;všeobecný
.;;.;
Tento;mužský neživotný;Tento;mužský neživotný
komplex;mužský neživotný;komplex;mužský neživotný
otázok;ženský;otázok;ženský
–;;–;
teda;;teda;
vzťah;mužský neživotný;vzťah;mužský neživotný
uhorskej;ženský;uhorskej;ženský
cirkvi;ženský;cirkvi;ženský
ku;;ku;
tzv;;tzv;
.;;.;
gregoriánskej;ženský;gregoriánskej;ženský
reforme;ženský;reforme;ženský
tvorí;;tvorí;
širší;mužský neživotný;širší;mužský neživotný
rámec;mužský neživotný;rámec;mužský neživotný
našej;ženský;našej;ženský
práce;ženský;práce;ženský
.;;.;
O;;O;
nich;mužský neživotný;nich;ženský
,;;,;
ako;;ako;
aj;;aj;
o;;o;
charakteristike;ženský;charakteristike;ženský
ranoarpádovských;mužský neživotný;ranoarpádovských;mužský neživotný
zákonníkov;mužský neživotný;zákonníkov;mužský neživotný
a;;a;
synodálnych;stredný;synodálnych;stredný
uznesení;stredný;uznesení;stredný
hovoríme;;hovoríme;
konkrétnejšie;;konkrétnejšie;
v;;v;
samostatných;ženský;samostatných;ženský
kapitolách;ženský;kapitolách;ženský
.;;.;
Z;;Z;
týchto;mužský neživotný;týchto;mužský neživotný
vzájomných;mužský neživotný;vzájomných;mužský neživotný
kontaktov;mužský neživotný;kontaktov;mužský neživotný
totiž;;totiž;
vyplývajú;;vyplývajú;
isté;ženský;isté;ženský
indície;ženský;indície;ženský
o;;o;
tom;stredný;tom;stredný
,;;,;
do;;do;
akej;ženský;akej;ženský
miery;ženský;miery;ženský
mohli;ženský;mohli;ženský
byť;;byť;
myšlienky;ženský;myšlienky;ženský
rímskych;mužský životný;rímskych;mužský životný
reformátorov;mužský životný;reformátorov;mužský životný
recipované;ženský;recipované;ženský
uhorskou;ženský;uhorskou;ženský
cirkvou;ženský;cirkvou;ženský
a;;a;
jej;stredný;jej;stredný
zákonodarstvom;stredný;zákonodarstvom;stredný
.;;.;
Vo;;Vo;
Francúzsku;stredný;Francúzsku;stredný
už;;už;
počas;;počas;
panovania;stredný;panovania;stredný
posledných;mužský životný;posledných;mužský životný
Karolovcov;mužský životný;Karolovcov;mužský životný
zanikla;ženský;zanikla;ženský
silná;ženský;silná;ženský
ústredná;ženský;ústredná;ženský
panovnícka;ženský;panovnícka;ženský
moc;ženský;moc;ženský
.;;.;
Vďaka;;Vďaka;
tomu;stredný;tomu;stredný
sa;;sa;
tu;;tu;
až;;až;
do;;do;
obludných;mužský neživotný;obludných;mužský neživotný
rozmerov;mužský neživotný;rozmerov;mužský neživotný
rozrástlo;stredný;rozrástlo;stredný
uplatňovanie;stredný;uplatňovanie;stredný
tzv;;tzv;
.;;.;
práva;stredný;práva;stredný
vlastníckej;ženský;vlastníckej;ženský
cirkvi;ženský;cirkvi;ženský
.;;.;
Navyše;;Navyše;
,;;,;
koniec;mužský neživotný;koniec;mužský neživotný
9;;9;
.;;.;
a;;a;
veľká;ženský;veľká;ženský
časť;ženský;časť;ženský
10;;10;
.;;.;
storočia;stredný;storočia;stredný
predstavujú;;predstavujú;
aj;;aj;
vrchol;mužský neživotný;vrchol;mužský neživotný
úpadku;mužský neživotný;úpadku;mužský neživotný
stredovekého;stredný;stredovekého;stredný
pápežstva;stredný;pápežstva;stredný
.;;.;
V;;V;
reformnom;stredný;reformnom;stredný
hnutí;stredný;hnutí;stredný
v;;v;
10;;10;
.;;.;
a;;a;
11;;11;
.;;.;
storočí;stredný;storočí;stredný
musíme;;musíme;
zreteľne;;zreteľne;
odlíšiť;;odlíšiť;
dve;ženský;dve;ženský
základné;ženský;základné;ženský
línie;ženský;línie;ženský
–;;–;
staršiu;ženský;staršiu;ženský
reformu;ženský;reformu;ženský
monastickú;ženský;monastickú;ženský
a;;a;
mladšiu;ženský;mladšiu;ženský
reformu;ženský;reformu;ženský
rímsku;ženský;rímsku;ženský
,;;,;
resp;;resp;
.;;.;
pápežskú;ženský;pápežskú;ženský
.;;.;
Monastická;ženský;Monastická;ženský
reforma;ženský;reforma;ženský
mala;ženský;mala;ženský
viacero;stredný;viacero;stredný
od;;od;
seba;všeobecný;seba;všeobecný
nezávislých;stredný;nezávislých;stredný
stredísk;stredný;stredísk;stredný
.;;.;
Za;;Za;
opáta;mužský životný;opáta;mužský životný
Odona;mužský životný;Odona;mužský životný
,;;,;
Bernonovho;mužský neživotný;Bernonovho;mužský životný
nástupcu;mužský životný;nástupcu;mužský životný
,;;,;
sa;;sa;
potom;;potom;
vytvorili;mužský neživotný;vytvorili;mužský neživotný
predpoklady;mužský neživotný;predpoklady;mužský neživotný
,;;,;
aby;;aby;
sa;;sa;
Cluny;stredný;Cluny;stredný
stalo;stredný;stalo;stredný
strediskom;stredný;strediskom;stredný
skupiny;ženský;skupiny;ženský
kláštorov;mužský neživotný;kláštorov;mužský neživotný
.;;.;
Toto;stredný;Toto;stredný
pápežské;stredný;pápežské;stredný
privilégium;stredný;privilégium;stredný
bolo;stredný;bolo;stredný
vlastne;;vlastne;
uznaním;stredný;uznaním;stredný
,;;,;
že;;že;
Cluny;stredný;Cluny;stredný
sú;;sú;
centrom;stredný;centrom;stredný
okolo;;okolo;
neho;stredný;neho;stredný
vytvorenej;ženský;vytvorenej;ženský
skupiny;ženský;skupiny;ženský
kláštorov;mužský neživotný;kláštorov;mužský neživotný
,;;,;
teda;;teda;
právnym;mužský neživotný;právnym;mužský neživotný
podkladom;mužský neživotný;podkladom;mužský neživotný
existencie;ženský;existencie;ženský
takéhoto;stredný;takéhoto;stredný
spoločenstva;stredný;spoločenstva;stredný
rehoľných;mužský neživotný;rehoľných;mužský neživotný
domov;mužský neživotný;domov;mužský neživotný
.;;.;
Spomínaní;mužský životný;Spomínaní;mužský životný
clunyjskí;mužský životný;clunyjskí;mužský životný
opáti;mužský životný;opáti;mužský životný
boli;mužský životný;boli;mužský životný
osobnosťami;ženský;osobnosťami;ženský
s;;s;
mimoriadnymi;ženský;mimoriadnymi;ženský
osobnostnými;ženský;osobnostnými;ženský
kvalitami;ženský;kvalitami;ženský
a;;a;
veľkou;ženský;veľkou;ženský
morálnou;ženský;morálnou;ženský
autoritou;ženský;autoritou;ženský
.;;.;
Podstatou;ženský;Podstatou;ženský
clunyjskej;ženský;clunyjskej;ženský
reformy;ženský;reformy;ženský
bolo;stredný;bolo;stredný
spočiatku;;spočiatku;
(;;(;
za;;za;
Bernona;mužský životný;Bernona;mužský životný
);;);
obnovenie;stredný;obnovenie;stredný
bezvýhradného;stredný;bezvýhradného;stredný
dodržiavania;stredný;dodržiavania;stredný
princípov;mužský neživotný;princípov;mužský neživotný
Regule;ženský;Regule;ženský
sv;;sv;
.;;.;
Benedikta;mužský životný;Benedikta;mužský životný
.;;.;
V;;V;
dôsledku;mužský neživotný;dôsledku;mužský neživotný
toho;stredný;toho;stredný
sa;;sa;
druhá;ženský;druhá;ženský
zložka;ženský;zložka;ženský
benediktínskeho;mužský neživotný;benediktínskeho;mužský neživotný
mníšskeho;mužský neživotný;mníšskeho;mužský neživotný
života;mužský neživotný;života;mužský neživotný
–;;–;
fyzická;ženský;fyzická;ženský
práca;ženský;práca;ženský
–;;–;
dostala;ženský;dostala;ženský
úplne;;úplne;
do;;do;
úzadia;stredný;úzadia;stredný
.;;.;
Dolnolotrinská;ženský;Dolnolotrinská;ženský
reforma;ženský;reforma;ženský
sa;;sa;
viaže;;viaže;
predovšetkým;;predovšetkým;
k;;k;
pôsobeniu;stredný;pôsobeniu;stredný
Gerharda;mužský životný;Gerharda;mužský životný
.;;.;
Jeho;mužský neživotný;Jeho;mužský neživotný
kláštor;mužský neživotný;kláštor;mužský neživotný
musel;mužský neživotný;musel;mužský neživotný
mať;;mať;
dobrú;ženský;dobrú;ženský
povesť;ženský;povesť;ženský
,;;,;
lebo;;lebo;
ako;;ako;
lotrinský;mužský životný;lotrinský;mužský životný
