Slovo;Slovný druh;Slovo2;Slovný druh2
.;Interpunkcia;.;Interpunkcia
Winston;Podstatné meno;Winston;Podstatné meno
to;Zámeno;to;Zámeno
samozrejme;Častica;samozrejme;Častica
vedel;Sloveso;vedel;Sloveso
.;Interpunkcia;.;Interpunkcia
"""";Interpunkcia;"""";Interpunkcia
Nechápeš;Sloveso;Nechápeš;Sloveso
,;Interpunkcia;,;Interpunkcia
že;Spojka;že;Spojka
jediným;Číslovka;jediným;Číslovka
cieľom;Podstatné meno;cieľom;Podstatné meno
newspeaku;Podstatné meno;newspeaku;Podstatné meno
je;Sloveso;je;Sloveso
zúžiť;Sloveso;zúžiť;Sloveso
rozsah;Podstatné meno;rozsah;Podstatné meno
myslenia;Podstatné meno;myslenia;Podstatné meno
?;Interpunkcia;?;Interpunkcia
Isteže;Častica;Isteže;Častica
,;Interpunkcia;,;Interpunkcia
už;Častica;už;Častica
dnes;Príslovka;dnes;Príslovka
nejestvuje;Sloveso;nejestvuje;Sloveso
dôvod;Podstatné meno;dôvod;Podstatné meno
či;Spojka;či;Spojka
opodstatnenie;Podstatné meno;opodstatnenie;Podstatné meno
na;Predložka;na;Predložka
páchanie;Podstatné meno;páchanie;Podstatné meno
ideozločinov;Podstatné meno;ideozločinov;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Revolúcia;Podstatné meno;Revolúcia;Podstatné meno
sa;Zvratné zámeno;sa;Zvratné zámeno
zavŕši;Sloveso;zavŕši;Sloveso
vtedy;Zámeno;vtedy;Zámeno
,;Interpunkcia;,;Interpunkcia
keď;Spojka;keď;Spojka
jazyk;Podstatné meno;jazyk;Podstatné meno
bude;Sloveso;bude;Sloveso
dokonalý;Prídavné meno;dokonalý;Prídavné meno
.;Interpunkcia;.;Interpunkcia
Syme;Podstatné meno;Syme;Podstatné meno
však;Častica;však;Častica
pochopil;Sloveso;pochopil;Sloveso
,;Interpunkcia;,;Interpunkcia
čo;Zámeno;čo;Zámeno
chcel;Sloveso;chcel;Sloveso
povedať;Sloveso;povedať;Sloveso
.;Interpunkcia;.;Interpunkcia
Celá;Prídavné meno;Celá;Prídavné meno
myšlienková;Prídavné meno;myšlienková;Prídavné meno
klíma;Podstatné meno;klíma;Podstatné meno
bude;Sloveso;bude;Sloveso
iná;Zámeno;iná;Zámeno
.;Interpunkcia;.;Interpunkcia
Pravovernosť;Podstatné meno;Pravovernosť;Podstatné meno
znamená;Sloveso;znamená;Sloveso
nemyslieť;Sloveso;nemyslieť;Sloveso
--;Interpunkcia;--;Interpunkcia
nepotrebovať;Sloveso;nepotrebovať;Sloveso
myslieť;Sloveso;myslieť;Sloveso
.;Interpunkcia;.;Interpunkcia
Pravovernosť;Podstatné meno;Pravovernosť;Podstatné meno
je;Sloveso;je;Sloveso
nevedomosť;Podstatné meno;nevedomosť;Podstatné meno
.;Interpunkcia;.;Interpunkcia
"""";Interpunkcia;"""";Interpunkcia
Je;Sloveso;Je;Sloveso
priveľmi;Príslovka;priveľmi;Príslovka
inteligentný;Prídavné meno;inteligentný;Prídavné meno
.;Interpunkcia;.;Interpunkcia
Vidí;Sloveso;Vidí;Sloveso
priveľmi;Príslovka;priveľmi;Príslovka
jasne;Príslovka;jasne;Príslovka
a;Spojka;a;Spojka
rozpráva;Sloveso;rozpráva;Sloveso
priveľmi;Príslovka;priveľmi;Príslovka
otvorene;Príslovka;otvorene;Príslovka
.;Interpunkcia;.;Interpunkcia
Takých;Zámeno;Takých;Zámeno
ľudí;Podstatné meno;ľudí;Podstatné meno
Strana;Podstatné meno;Strana;Podstatné meno
neobľubuje;Sloveso;neobľubuje;Sloveso
.;Interpunkcia;.;Interpunkcia
Winston;Podstatné meno;Winston;Podstatné meno
dojedol;Sloveso;dojedol;Sloveso
chlieb;Podstatné meno;chlieb;Podstatné meno
so;Predložka;so;Predložka
syrom;Podstatné meno;syrom;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Muž;Podstatné meno;Muž;Podstatné meno
s;Predložka;s;Predložka
prenikavým;Prídavné meno;prenikavým;Prídavné meno
hlasom;Podstatné meno;hlasom;Podstatné meno
po;Predložka;po;Predložka
jeho;Zámeno;jeho;Zámeno
ľavici;Podstatné meno;ľavici;Podstatné meno
bezohľadne;Príslovka;bezohľadne;Príslovka
rozprával;Sloveso;rozprával;Sloveso
ďalej;Príslovka;ďalej;Príslovka
.;Interpunkcia;.;Interpunkcia
Z;Predložka;Z;Predložka
toho;Zámeno;toho;Zámeno
človeka;Podstatné meno;človeka;Podstatné meno
nevravel;Sloveso;nevravel;Sloveso
mozog;Podstatné meno;mozog;Podstatné meno
,;Interpunkcia;,;Interpunkcia
ale;Spojka;ale;Spojka
hrtan;Podstatné meno;hrtan;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Je;Sloveso;Je;Sloveso
to;Zámeno;to;Zámeno
jedno;Číslovka;jedno;Číslovka
z;Predložka;z;Predložka
tých;Zámeno;tých;Zámeno
zaujímavých;Prídavné meno;zaujímavých;Prídavné meno
slov;Podstatné meno;slov;Podstatné meno
,;Interpunkcia;,;Interpunkcia
ktoré;Zámeno;ktoré;Zámeno
majú;Sloveso;majú;Sloveso
dva;Číslovka;dva;Číslovka
protikladné;Prídavné meno;protikladné;Prídavné meno
významy;Podstatné meno;významy;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Niečo;Zámeno;Niečo;Zámeno
mu;Zámeno;mu;Zámeno
chýbalo;Sloveso;chýbalo;Sloveso
:;Interpunkcia;:;Interpunkcia
opatrnosť;Podstatné meno;opatrnosť;Podstatné meno
,;Interpunkcia;,;Interpunkcia
rezervovanosť;Podstatné meno;rezervovanosť;Podstatné meno
,;Interpunkcia;,;Interpunkcia
niečo;Zámeno;niečo;Zámeno
ako;Spojka;ako;Spojka
sebazáchranná;Prídavné meno;sebazáchranná;Prídavné meno
obmedzenosť;Podstatné meno;obmedzenosť;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Povrávalo;Sloveso;Povrávalo;Sloveso
sa;Zvratné zámeno;sa;Zvratné zámeno
,;Interpunkcia;,;Interpunkcia
že;Spojka;že;Spojka
aj;Častica;aj;Častica
samotného;Prídavné meno;samotného;Prídavné meno
Goldsteina;Podstatné meno;Goldsteina;Podstatné meno
tam;Zámeno;tam;Zámeno
pred;Predložka;pred;Predložka
rokmi;Podstatné meno;rokmi;Podstatné meno
a;Spojka;a;Spojka
desiatkami;Podstatné meno;desiatkami;Podstatné meno
rokov;Podstatné meno;rokov;Podstatné meno
niekoľkokrát;Zámeno;niekoľkokrát;Zámeno
videli;Sloveso;videli;Sloveso
.;Interpunkcia;.;Interpunkcia
Oduševnenie;Podstatné meno;Oduševnenie;Podstatné meno
nestačí;Sloveso;nestačí;Sloveso
.;Interpunkcia;.;Interpunkcia
Pravovernosť;Podstatné meno;Pravovernosť;Podstatné meno
je;Sloveso;je;Sloveso
nevedomosť;Podstatné meno;nevedomosť;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Syme;Podstatné meno;Syme;Podstatné meno
zdvihol;Sloveso;zdvihol;Sloveso
zrak;Podstatné meno;zrak;Podstatné meno
.;Interpunkcia;.;Interpunkcia
"""";Interpunkcia;"""";Interpunkcia
Tam;Zámeno;Tam;Zámeno
prichádza;Sloveso;prichádza;Sloveso
Parsons;Podstatné meno;Parsons;Podstatné meno
,;Interpunkcia;,;Interpunkcia
"""";Interpunkcia;"""";Interpunkcia
poznamenal;Sloveso;poznamenal;Sloveso
.;Interpunkcia;.;Interpunkcia
Môj;Zámeno;Môj;Zámeno
mozog;Podstatné meno;mozog;Podstatné meno
by;Kondicionálová morféma;by;Kondicionálová morféma
na;Predložka;na;Predložka
to;Zámeno;to;Zámeno
asi;Častica;asi;Častica
nestačil;Sloveso;nestačil;Sloveso
.;Interpunkcia;.;Interpunkcia
Však;Častica;Však;Častica
vieš;Sloveso;vieš;Sloveso
,;Interpunkcia;,;Interpunkcia
že;Spojka;že;Spojka
sa;Zvratné zámeno;sa;Zvratné zámeno
tá;Zámeno;tá;Zámeno
zbierka;Podstatné meno;zbierka;Podstatné meno
robí;Sloveso;robí;Sloveso
od;Predložka;od;Predložka
domu;Podstatné meno;domu;Podstatné meno
k;Predložka;k;Predložka
domu;Podstatné meno;domu;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Robíme;Sloveso;Robíme;Sloveso
,;Interpunkcia;,;Interpunkcia
čo;Zámeno;čo;Zámeno
môžeme;Sloveso;môžeme;Sloveso
,;Interpunkcia;,;Interpunkcia
aby;Spojka;aby;Spojka
z;Predložka;z;Predložka
toho;Zámeno;toho;Zámeno
vyšlo;Sloveso;vyšlo;Sloveso
fantastické;Prídavné meno;fantastické;Prídavné meno
predstavenie;Podstatné meno;predstavenie;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Obaja;Číslovka;Obaja;Číslovka
sú;Sloveso;sú;Sloveso
to;Zámeno;to;Častica
len;Častica;len;Častica
takí;Zámeno;takí;Zámeno
malí;Prídavné meno;malí;Prídavné meno
sopliaci;Podstatné meno;sopliaci;Podstatné meno
,;Interpunkcia;,;Interpunkcia
ale;Spojka;ale;Spojka
horliví;Prídavné meno;horliví;Prídavné meno
.;Interpunkcia;.;Interpunkcia
Zobrala;Sloveso;Zobrala;Sloveso
ďalšie;Prídavné meno;ďalšie;Prídavné meno
dve;Číslovka;dve;Číslovka
dievčatá;Podstatné meno;dievčatá;Podstatné meno
,;Interpunkcia;,;Interpunkcia
ostatných;Prídavné meno;ostatných;Prídavné meno
nechala;Sloveso;nechala;Sloveso
tak;Zámeno;tak;Zámeno
a;Spojka;a;Spojka
celé;Prídavné meno;celé;Prídavné meno
popoludnie;Podstatné meno;popoludnie;Podstatné meno
špehovali;Sloveso;špehovali;Sloveso
dajakého;Zámeno;dajakého;Zámeno
čudáka;Podstatné meno;čudáka;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Parsons;Podstatné meno;Parsons;Podstatné meno
víťazoslávne;Príslovka;víťazoslávne;Príslovka
pokračoval;Sloveso;pokračoval;Sloveso
:;Interpunkcia;:;Interpunkcia
Postrehla;Sloveso;Postrehla;Sloveso
,;Interpunkcia;,;Interpunkcia
že;Spojka;že;Spojka
má;Sloveso;má;Sloveso
akési;Zámeno;akési;Zámeno
čudné;Prídavné meno;čudné;Prídavné meno
topánky;Podstatné meno;topánky;Podstatné meno
,;Interpunkcia;,;Interpunkcia
vraj;Spojka;vraj;Častica
ešte;Častica;ešte;Častica
nikdy;Zámeno;nikdy;Zámeno
predtým;Príslovka;predtým;Príslovka
také;Zámeno;také;Zámeno
topánky;Podstatné meno;topánky;Podstatné meno
nevidela;Sloveso;nevidela;Sloveso
.;Interpunkcia;.;Interpunkcia
Pravdepodobne;Častica;Pravdepodobne;Častica
to;Zámeno;to;Zámeno
teda;Častica;teda;Spojka
bol;Sloveso;bol;Sloveso
cudzinec;Podstatné meno;cudzinec;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Tentoraz;Príslovka;Tentoraz;Príslovka
to;Zámeno;to;Zámeno
však;Častica;však;Častica
nebolo;Sloveso;nebolo;Sloveso
hlásenie;Podstatné meno;hlásenie;Podstatné meno
o;Predložka;o;Predložka
vojenskom;Prídavné meno;vojenskom;Prídavné meno
víťazstve;Podstatné meno;víťazstve;Podstatné meno
,;Interpunkcia;,;Interpunkcia
ale;Spojka;ale;Spojka
iba;Častica;iba;Častica
oznámenie;Podstatné meno;oznámenie;Podstatné meno
Ministerstva;Podstatné meno;Ministerstva;Podstatné meno
hojnosti;Podstatné meno;hojnosti;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Máme;Sloveso;Máme;Sloveso
pre;Predložka;pre;Predložka
vás;Zámeno;vás;Zámeno
slávnu;Prídavné meno;slávnu;Prídavné meno
správu;Podstatné meno;správu;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Víťazne;Príslovka;Víťazne;Príslovka
sme;Sloveso;sme;Sloveso
vybojovali;Sloveso;vybojovali;Sloveso
zápas;Podstatné meno;zápas;Podstatné meno
o;Predložka;o;Predložka
zvýšenie;Podstatné meno;zvýšenie;Podstatné meno
výroby;Podstatné meno;výroby;Podstatné meno
.;Interpunkcia;.;Interpunkcia
V;Predložka;V;Predložka
poslednom;Prídavné meno;poslednom;Prídavné meno
čase;Podstatné meno;čase;Podstatné meno
ju;Zámeno;ju;Zámeno
Ministerstvo;Podstatné meno;Ministerstvo;Podstatné meno
hojnosti;Podstatné meno;hojnosti;Podstatné meno
veľmi;Príslovka;veľmi;Príslovka
obľubovalo;Sloveso;obľubovalo;Sloveso
.;Interpunkcia;.;Interpunkcia
Začiatkom;Predložka;Začiatkom;Predložka
mája;Podstatné meno;mája;Podstatné meno
sme;Sloveso;sme;Sloveso
vstúpili;Sloveso;vstúpili;Sloveso
do;Predložka;do;Predložka
Európskej;Prídavné meno;Európskej;Prídavné meno
únie;Podstatné meno;únie;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Slávnostne;Príslovka;Slávnostne;Príslovka
,;Interpunkcia;,;Interpunkcia
s;Predložka;s;Predložka
nádejou;Podstatné meno;nádejou;Podstatné meno
v;Predložka;v;Predložka
lepšiu;Prídavné meno;lepšiu;Prídavné meno
budúcnosť;Podstatné meno;budúcnosť;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Neskrývame;Sloveso;Neskrývame;Sloveso
však;Častica;však;Častica
ani;Častica;ani;Častica
obavy;Podstatné meno;obavy;Podstatné meno
a;Spojka;a;Spojka
pochybnosti;Podstatné meno;pochybnosti;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Preto;Zámeno;Preto;Zámeno
neskrývame;Sloveso;neskrývame;Sloveso
obavy;Podstatné meno;obavy;Podstatné meno
,;Interpunkcia;,;Interpunkcia
či;Spojka;či;Spojka
sa;Zvratné zámeno;sa;Zvratné zámeno
nechytí;Sloveso;nechytí;Sloveso
aj;Častica;aj;Častica
nás;Zámeno;nás;Zámeno
táto;Zámeno;táto;Zámeno
nemoc;Podstatné meno;nemoc;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Bez;Predložka;Bez;Predložka
Ducha;Podstatné meno;Ducha;Podstatné meno
Svätého;Prídavné meno;Svätého;Prídavné meno
nebudeme;Sloveso;nebudeme;Sloveso
schopní;Prídavné meno;schopní;Prídavné meno
ničoho;Zámeno;ničoho;Zámeno
.;Interpunkcia;.;Interpunkcia
Amen;Podstatné meno;Amen;Citoslovce
.;Interpunkcia;.;Interpunkcia
"""";Interpunkcia;"""";Interpunkcia
Kto;Zámeno;Kto;Zámeno
vytrvá;Sloveso;vytrvá;Sloveso
do;Predložka;do;Predložka
konca;Podstatné meno;konca;Podstatné meno
,;Interpunkcia;,;Interpunkcia
bude;Sloveso;bude;Sloveso
spasený;Príčastie - Sloveso;spasený;Príčastie - Sloveso
.;Interpunkcia;.;Interpunkcia
Milá;Prídavné meno;Milá;Prídavné meno
cirkev;Podstatné meno;cirkev;Podstatné meno
!;Interpunkcia;!;Interpunkcia
Nie;Častica;Nie;Častica
je;Sloveso;je;Sloveso
to;Zámeno;to;Zámeno
ľahké;Prídavné meno;ľahké;Prídavné meno
.;Interpunkcia;.;Interpunkcia
Veď;Častica;Veď;Spojka
je;Sloveso;je;Sloveso
to;Zámeno;to;Zámeno
cesta;Podstatné meno;cesta;Podstatné meno
plná;Prídavné meno;plná;Prídavné meno
rôznych;Prídavné meno;rôznych;Prídavné meno
prekážok;Podstatné meno;prekážok;Podstatné meno
,;Interpunkcia;,;Interpunkcia
zvodov;Podstatné meno;zvodov;Podstatné meno
a;Spojka;a;Spojka
pokušení;Podstatné meno;pokušení;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Nejedno;Číslovka;Nejedno;Číslovka
dieťa;Podstatné meno;dieťa;Podstatné meno
už;Častica;už;Príslovka
vytklo;Sloveso;vytklo;Sloveso
s;Predložka;s;Predložka
bolesťou;Podstatné meno;bolesťou;Podstatné meno
svojim;Zámeno;svojim;Zámeno
rodičom;Podstatné meno;rodičom;Podstatné meno
:;Interpunkcia;:;Interpunkcia
Vy;Zámeno;Vy;Zámeno
ste;Sloveso;ste;Sloveso
na;Predložka;na;Predložka
vine;Podstatné meno;vine;Podstatné meno
,;Interpunkcia;,;Interpunkcia
že;Spojka;že;Spojka
som;Sloveso;som;Sloveso
sa;Zvratné zámeno;sa;Zvratné zámeno
dostal;Sloveso;dostal;Sloveso
na;Predložka;na;Predložka
zlú;Prídavné meno;zlú;Prídavné meno
cestu;Podstatné meno;cestu;Podstatné meno
,;Interpunkcia;,;Interpunkcia
lebo;Spojka;lebo;Spojka
vy;Zámeno;vy;Zámeno
sami;Zámeno;sami;Zámeno
ste;Sloveso;ste;Sloveso
nebrali;Sloveso;nebrali;Sloveso
Ježiša;Podstatné meno;Ježiša;Podstatné meno
vážne;Príslovka;vážne;Príslovka
a;Spojka;a;Spojka
neviedli;Sloveso;neviedli;Sloveso
ste;Sloveso;ste;Sloveso
ma;Zámeno;ma;Zámeno
k;Predložka;k;Predložka
Nemu;Zámeno;Nemu;Zámeno
.;Interpunkcia;.;Interpunkcia
Konfirmáciou;Podstatné meno;Konfirmáciou;Podstatné meno
sa;Zvratné zámeno;sa;Zvratné zámeno
začína;Sloveso;začína;Sloveso
skutočný;Prídavné meno;skutočný;Prídavné meno
boj;Podstatné meno;boj;Podstatné meno
s;Predložka;s;Predložka
hriechom;Podstatné meno;hriechom;Podstatné meno
,;Interpunkcia;,;Interpunkcia
diablom;Podstatné meno;diablom;Podstatné meno
a;Spojka;a;Spojka
vlastným;Prídavné meno;vlastným;Prídavné meno
telom;Podstatné meno;telom;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Nevytrvali;Sloveso;Nevytrvali;Sloveso
ísť;Sloveso;ísť;Sloveso
za;Predložka;za;Predložka
Pánom;Podstatné meno;Pánom;Podstatné meno
Ježišom;Podstatné meno;Ježišom;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Prišli;Sloveso;Prišli;Sloveso
pokušenia;Podstatné meno;pokušenia;Podstatné meno
,;Interpunkcia;,;Interpunkcia
zvody;Podstatné meno;zvody;Podstatné meno
a;Spojka;a;Spojka
ony;Zámeno;ony;Zámeno
podľahli;Sloveso;podľahli;Sloveso
.;Interpunkcia;.;Interpunkcia
Pekne;Príslovka;Pekne;Príslovka
začali;Sloveso;začali;Sloveso
,;Interpunkcia;,;Interpunkcia
ale;Spojka;ale;Spojka
zle;Príslovka;zle;Príslovka
skončili;Sloveso;skončili;Sloveso
.;Interpunkcia;.;Interpunkcia
Radšej;Prídavné meno;Radšej;Prídavné meno
zomreli;Sloveso;zomreli;Sloveso
,;Interpunkcia;,;Interpunkcia
akoby;Spojka;akoby;Spojka
mali;Sloveso;mali;Sloveso
Krista;Podstatné meno;Krista;Podstatné meno
zradiť;Sloveso;zradiť;Sloveso
a;Spojka;a;Spojka
zaprieť;Sloveso;zaprieť;Sloveso
.;Interpunkcia;.;Interpunkcia
Preto;Spojka;Preto;Zámeno
Pán;Podstatné meno;Pán;Podstatné meno
Ježiš;Podstatné meno;Ježiš;Podstatné meno
vkladá;Sloveso;vkladá;Sloveso
do;Predložka;do;Predložka
vás;Zámeno;vás;Zámeno
nádej;Podstatné meno;nádej;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Nesklamte;Sloveso;Nesklamte;Sloveso
Ho;Zámeno;Ho;Zámeno
.;Interpunkcia;.;Interpunkcia
Cesta;Podstatné meno;Cesta;Podstatné meno
za;Predložka;za;Predložka
Pánom;Podstatné meno;Pánom;Podstatné meno
Ježišom;Podstatné meno;Ježišom;Podstatné meno
je;Sloveso;je;Sloveso
ťažká;Prídavné meno;ťažká;Prídavné meno
.;Interpunkcia;.;Interpunkcia
Vyžaduje;Sloveso;Vyžaduje;Sloveso
mnoho;Číslovka;mnoho;Číslovka
trpezlivosti;Podstatné meno;trpezlivosti;Podstatné meno
,;Interpunkcia;,;Interpunkcia
pokánia;Podstatné meno;pokánia;Podstatné meno
,;Interpunkcia;,;Interpunkcia
sebazapierania;Podstatné meno;sebazapierania;Podstatné meno
a;Spojka;a;Spojka
vernosti;Podstatné meno;vernosti;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Vytrváte;Sloveso;Vytrváte;Sloveso
všetci;Zámeno;všetci;Zámeno
?;Interpunkcia;?;Interpunkcia
Pamätajte;Sloveso;Pamätajte;Sloveso
na;Predložka;na;Predložka
Ježišove;Prídavné meno;Ježišove;Prídavné meno
slová;Podstatné meno;slová;Podstatné meno
:;Interpunkcia;:;Interpunkcia
Kto;Zámeno;Kto;Zámeno
vytrvá;Sloveso;vytrvá;Sloveso
do;Predložka;do;Predložka
konca;Podstatné meno;konca;Podstatné meno
,;Interpunkcia;,;Interpunkcia
bude;Sloveso;bude;Sloveso
spasený;Príčastie - Sloveso;spasený;Príčastie - Sloveso
.;Interpunkcia;.;Interpunkcia
Amen;Značky;Amen;Citoslovce
.;Interpunkcia;.;Interpunkcia
Svetové;Prídavné meno;Svetové;Prídavné meno
ríše;Podstatné meno;ríše;Podstatné meno
,;Interpunkcia;,;Interpunkcia
silné;Prídavné meno;silné;Prídavné meno
krajiny;Podstatné meno;krajiny;Podstatné meno
,;Interpunkcia;,;Interpunkcia
politické;Prídavné meno;politické;Prídavné meno
systémy;Podstatné meno;systémy;Podstatné meno
vznikajú;Sloveso;vznikajú;Sloveso
a;Spojka;a;Spojka
zanikajú;Sloveso;zanikajú;Sloveso
,;Interpunkcia;,;Interpunkcia
nič;Zámeno;nič;Zámeno
netrvá;Sloveso;netrvá;Sloveso
večne;Príslovka;večne;Príslovka
.;Interpunkcia;.;Interpunkcia
Pán;Podstatné meno;Pán;Podstatné meno
Boh;Podstatné meno;Boh;Podstatné meno
je;Sloveso;je;Sloveso
ten;Zámeno;ten;Zámeno
istý;Zámeno;istý;Zámeno
včera;Príslovka;včera;Príslovka
,;Interpunkcia;,;Interpunkcia
dnes;Príslovka;dnes;Príslovka
i;Spojka;i;Spojka
naveky;Príslovka;naveky;Príslovka
.;Interpunkcia;.;Interpunkcia
Milí;Prídavné meno;Milí;Prídavné meno
konfirmandi;Podstatné meno;konfirmandi;Podstatné meno
,;Interpunkcia;,;Interpunkcia
dnes;Príslovka;dnes;Príslovka
sa;Zvratné zámeno;sa;Zvratné zámeno
stanete;Sloveso;stanete;Sloveso
dospelými;Prídavné meno;dospelými;Prídavné meno
členmi;Podstatné meno;členmi;Podstatné meno
nášho;Zámeno;nášho;Zámeno
cirkevného;Prídavné meno;cirkevného;Prídavné meno
zboru;Podstatné meno;zboru;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Zapojte;Sloveso;Zapojte;Sloveso
sa;Zvratné zámeno;sa;Zvratné zámeno
aktívne;Príslovka;aktívne;Príslovka
do;Predložka;do;Predložka
zborového;Prídavné meno;zborového;Prídavné meno
života;Podstatné meno;života;Podstatné meno
,;Interpunkcia;,;Interpunkcia
príjmite;Sloveso;príjmite;Sloveso
pozvanie;Podstatné meno;pozvanie;Podstatné meno
mládeže;Podstatné meno;mládeže;Podstatné meno
,;Interpunkcia;,;Interpunkcia
navštevujte;Sloveso;navštevujte;Sloveso
tento;Zámeno;tento;Zámeno
chrám;Podstatné meno;chrám;Podstatné meno
,;Interpunkcia;,;Interpunkcia
prichádzajte;Sloveso;prichádzajte;Sloveso
k;Predložka;k;Predložka
Večeri;Podstatné meno;Večeri;Podstatné meno
Pánovej;Prídavné meno;Pánovej;Prídavné meno
.;Interpunkcia;.;Interpunkcia
Nech;Spojka;Nech;Častica
ich;Zámeno;ich;Zámeno
srdce;Podstatné meno;srdce;Podstatné meno
stále;Príslovka;stále;Príslovka
viac;Príslovka;viac;Príslovka
a;Spojka;a;Spojka
viac;Príslovka;viac;Príslovka
poznáva;Sloveso;poznáva;Sloveso
hodnotu;Podstatné meno;hodnotu;Podstatné meno
tej;Zámeno;tej;Zámeno
blaženosti;Podstatné meno;blaženosti;Podstatné meno
,;Interpunkcia;,;Interpunkcia
ktorú;Zámeno;ktorú;Zámeno
nám;Zámeno;nám;Zámeno
pripravil;Sloveso;pripravil;Sloveso
Tvoj;Zámeno;Tvoj;Zámeno
jednorodený;Príčastie - Sloveso;jednorodený;Príčastie - Sloveso
Syn;Podstatné meno;Syn;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Zasadalo;Sloveso;Zasadalo;Sloveso
zborové;Prídavné meno;zborové;Prídavné meno
presbyterstvo;Podstatné meno;presbyterstvo;Podstatné meno
V;Predložka;V;Predložka
nedeľu;Podstatné meno;nedeľu;Podstatné meno
18;Číslica;18;Číslica
.;Interpunkcia;.;Interpunkcia
apríla;Podstatné meno;apríla;Podstatné meno
sa;Zvratné zámeno;sa;Zvratné zámeno
konalo;Sloveso;konalo;Sloveso
zasadnutie;Podstatné meno;zasadnutie;Podstatné meno
zborového;Prídavné meno;zborového;Prídavné meno
presbyterstva;Podstatné meno;presbyterstva;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Zasadanie;Podstatné meno;Zasadanie;Podstatné meno
otvoril;Sloveso;otvoril;Sloveso
a;Spojka;a;Spojka
viedol;Sloveso;viedol;Sloveso
predsedajúci;Príčastie - Sloveso;predsedajúci;Príčastie - Sloveso
zborový;Prídavné meno;zborový;Prídavné meno
farár;Podstatné meno;farár;Podstatné meno
brat;Podstatné meno;brat;Podstatné meno
Bakalár;Podstatné meno;Bakalár;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Ďalšie;Prídavné meno;Ďalšie;Prídavné meno
zasadnutie;Podstatné meno;zasadnutie;Podstatné meno
zborového;Prídavné meno;zborového;Prídavné meno
presbyterstva;Podstatné meno;presbyterstva;Podstatné meno
sa;Zvratné zámeno;sa;Zvratné zámeno
konalo;Sloveso;konalo;Sloveso
dňa;Podstatné meno;dňa;Podstatné meno
16;Číslica;16;Číslica
.;Interpunkcia;.;Interpunkcia
5;Číslica;5;Číslica
.;Interpunkcia;.;Interpunkcia
2004;Číslica;2004;Číslica
.;Interpunkcia;.;Interpunkcia
Zasadanie;Podstatné meno;Zasadanie;Podstatné meno
otvoril;Sloveso;otvoril;Sloveso
a;Spojka;a;Spojka
viedol;Sloveso;viedol;Sloveso
predsedajúci;Príčastie - Sloveso;predsedajúci;Príčastie - Sloveso
zborový;Prídavné meno;zborový;Prídavné meno
farár;Podstatné meno;farár;Podstatné meno
brat;Podstatné meno;brat;Podstatné meno
Bakalár;Podstatné meno;Bakalár;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Seniorálny;Prídavné meno;Seniorálny;Prídavné meno
konvent;Podstatné meno;konvent;Podstatné meno
Bratovi;Podstatné meno;Bratovi;Podstatné meno
farárovi;Podstatné meno;farárovi;Podstatné meno
prajeme;Sloveso;prajeme;Sloveso
v;Predložka;v;Predložka
tejto;Zámeno;tejto;Zámeno
funkcii;Podstatné meno;funkcii;Podstatné meno
múdrosť;Podstatné meno;múdrosť;Podstatné meno
,;Interpunkcia;,;Interpunkcia
vytrvalosť;Podstatné meno;vytrvalosť;Podstatné meno
a;Spojka;a;Spojka
Božie;Prídavné meno;Božie;Prídavné meno
vedenie;Podstatné meno;vedenie;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Hospodársky;Prídavné meno;Hospodársky;Prídavné meno
výbor;Podstatné meno;výbor;Podstatné meno
Ing;Značky;Ing;Značky
.;Interpunkcia;.;Interpunkcia
Vladimír;Podstatné meno;Vladimír;Podstatné meno
Ferenc;Podstatné meno;Ferenc;Podstatné meno
Je;Sloveso;Je;Sloveso
to;Zámeno;to;Zámeno
silná;Prídavné meno;silná;Prídavné meno
veta;Podstatné meno;veta;Podstatné meno
.;Interpunkcia;.;Interpunkcia
Len;Častica;Len;Častica
